rank,name,score
1,Kattjouren,30
2,Sverigedemokraterna,29
3,Newsner,28
4,Jessica Stegrud,24
5,Humorbibeln,22
6,Sportbibeln,22
7,SVT Humor,22
8,Henrik Jönsson,22
9,Jimmie Åkesson,22
10,Socialdemokraterna,22
11,Jörgen Astonson,21
12,Expressen,21
13,Newsners bästa,21
14,Magdalena Andersson,21
15,Nöjeslivet,21
16,Niiinis Kitchenlife,20
17,Aftonbladet,20
18,Ulf Kristersson,19
19,Kärlek,19
20,Charlie Weimers MEP,19
21,Frusna Tassar,19
22,Riks,18
23,Gårdsjö Älgpark,18
24,Polisen,18
25,Marcus Oscarsson,18
26,Jonas Sjöstedt,18
27,Kommunal,18
28,Richard Herrey,17
29,Moderaterna,17
30,Vänsterpartiet Stockholms stad,17
31,Ola Möller,17
32,Ulf Wakenius Artist Page,17
33,Alice Teodorescu offentlig,17
34,Att lyfta sig själv och andra - Tomas Gunnarsson,17
35,Framsteg - Jesper Caron,17
36,Vänsterpartiet,16
37,SVT,16
38,Nooshi Dadgostar,16
39,Vid Din Sida - Sverige,16
40,Swedish humor,16
41,Bulletin,16
42,Svingoa Grisar,16
43,Magnus Uggla,16
44,Lena Philipsson,16
45,Newsner Djur,16
46,Polisen Huddinge,16
47,skratta,16
48,Newsner Familj,16
49,Martin Falklind,16
50,Virre CS2,16
51,Thomas Englund,16
52,Jesper Nordberg,16
53,Örebropartiet,16
54,Roliga Skyltar,15
55,Carina Bergfeldt,15
56,Fredrik Andersson,15
57,LO Sverige,15
58,Herregud & Co,15
59,Diyari,15
60,TV4 Nyheterna,15
61,Brynäs IF,15
62,TittaPaVideon,15
63,Madeleine Sandahl,15
64,I allmänhetens tjänst - granskning av public service,15
65,Matbibeln,15
66,Sportbladet,15
67,Expressen Story,15
68,Gilla sidan eller sk*t i det,15
69,TV4,15
70,Svenska kyrkan,15
71,Sports on Max Sverige,15
72,Mikael Berggren,15
73,Frölunda HC,14
74,Nyhetsmorgon,14
75,mackanskost,14
76,Hundstallet,14
77,Carola (Official),14
78,Dagens Nyheter,14
79,Alice Bah Kuhnke,14
80,Lars Lindström,14
81,Ett gott skratt,14
82,Kiwier,14
83,Efterlyst,14
84,Positiv,14
85,Nyheter24,14
86,SHL,14
87,Netflix,14
88,Al Pitcher,14
89,Joakim Lamotte,14
90,Runar Sögaard,14
91,Curioctopus.se,14
92,Vi står inte ut men vi slutar aldrig kämpa,14
93,Hanif Bali,14
94,Arga bibliotekstanten,14
95,Katerina Janouch,14
96,Jerry gillar,14
97,Wisti,14
98,Fräckisar,14
99,Sune ID Hund,13
100,Fredrik Steen Officiell sida,13
101,Newly,13
102,Aldrig Ensam,13
103,TV4 Hockey,13
104,Jacke Sjödin,13
105,SVT Nyheter,13
106,Göteborgs-Posten,13
107,Albin Lee Meldau,13
108,Sveriges Radio P1,13
109,Radiosporten,13
110,HV71,13
111,RIX MorronZoo,13
112,"Helena Lindahl, C, Västerbotten",13
113,isaknyqvist,13
114,Kungahuset,13
115,Nuntium.se,13
116,Grufman Bil AB,13
117,Viralt,13
118,Sebastian Stakset,13
119,Svenska Rovdjursföreningen,13
120,Kan den svenska flaggan få 1 000 000 likes?,13
121,Polisen Stockholm - hundsektionen,13
122,Christian Peterson,13
123,Kalorismart,13
124,Olle Thorell,13
125,Galenskaparna och After Shave,13
126,Ebba Busch,13
127,Black Dog Foundation,13
128,P4 Extra,13
129,Göran Greider,12
130,Existenz.se,12
131,Sveriges Radio,12
132,Sverige inför verkligheten,12
133,SAS - Scandinavian Airlines,12
134,Försvarsmakten,12
135,SportExpressen,12
136,Katrin Sundberg,12
137,Amanda Lind,12
138,Svenska Djurambulansen,12
139,Sonjas sida,12
140,Jill Johnson,12
141,Ungsvenskarna,12
142,Kattkommando Syd - KKS,12
143,Nostalgi2000,12
144,NRJ Morgon,12
145,Goilarn,12
146,Svensk Damtidning,12
147,Dagens ETC,12
148,Brommafrun,12
149,Min värld av teckningar och tavlor,12
150,Vi som älskar kungafamiljen,12
151,Nordiska museet,12
152,Lilla Gumman,12
153,Jon Henrik Fjällgren,12
154,Djurgårdens IF,12
155,Jan Emanuel,12
156,Färjestad BK,12
157,Lisa Nilsson,12
158,HockeyNews.se,12
159,GT,12
160,Gillat24,12
161,Missing People Sweden,12
162,Emanuel Karlsten,12
163,Land,12
164,Aron Flam,12
165,HockeyAllsvenskan,12
166,Gustav Fridolin,11
167,Tjenare mannen,11
168,TV4 Sport,11
169,Fredriks Fika,11
170,Elisabeth Svantesson,11
171,Familjen Lundell,11
172,Expressen Nöje,11
173,Lena Hallengren,11
174,Pågen,11
175,Insikt24,11
176,Kenneth Gregg,11
177,Tullverket,11
178,Medborgerlig Samling,11
179,Ny Teknik,11
180,nwt.se,11
181,Fredrik Kärrholm,11
182,Måns Möller,11
183,Sverigedemokraterna i Europaparlamentet,11
184,Samhällsnytt,11
185,Tobias Baudin,11
186,Luleå Hockey,11
187,Robert Gustafsson,11
188,SVT Dokumentär,11
189,Tre Änglar,11
190,Johannes Cullberg,11
191,Roxette,11
192,Hasse Kvinnaböske Andersson,11
193,Peter Kondrup,11
194,Glada Hudik-teatern,11
195,Lexbase.se,11
196,Morgonpasset i P3,11
197,Erik Grönwall,11
198,Polisen Eskilstuna,11
199,Newsner Guldkorn,11
200,Rebecca Weidmo Uvell,11
