rank,name,score
1,mustigamauri,16
2,expressen,16
3,tv4_nyheterna,14
4,aftonbladet,14
5,emelienilssonnn,14
6,isaostling,13
7,simon.abramsson,12
8,anna.ragnarsson,12
9,oomarazar,12
10,tildurs,12
11,wonderboidead,12
12,svtnyheter,12
13,humoristiskt,12
14,kevinbang,12
15,hermanos1337,11
16,Bille (userbiy6vhshsl),11
17,hollywoodfruarnatiktok,11
18,thequeenpearl123,10
19,sportbladet,10
20,burekreport,10
21,sembloom,10
22,kennyq07,10
23,oscaronisse,10
24,stolpe.22,10
25,taibinho,10
26,tiktokchrille,10
27,henrythefreakofficial,10
28,edbuus,10
29,sannythai,10
30,Riks,9
31,emilallberg,9
32,emilhenrohn,9
33,jockismen123,9
34,missmollymusic,9
35,dariagaripova,9
36,sporttouchen,9
37,milo.ae_,9
38,malinedengard,9
39,alexandra.nguyen7,9
40,javligtrik,9
41,richandfamous8,9
42,goteborgsposten,9
43,BrödernaDuo,9
44,denzoswe,9
45,manszelmerlowofficial,9
46,expressensport,9
47,juliaringblom,9
48,lisaborg,9
49,elinbrynzer,9
50,winsentw,9
51,wesam.k1,9
52,emil_hansius,9
53,kapplastavarna2.0,9
54,benkaktus94,8
55,zorba.asplund,8
56,redheadsverige,8
57,samthemans,8
58,johannaoholm,8
59,svthumor,8
60,svtlillaaktuellt,8
61,nikodemusdromer,8
62,p3nyheter,8
63,ijustwanttobecool,8
64,kebabcarro1,8
65,eliottmalhotra,8
66,karaktarers,8
67,vanjaengstrom,8
68,mysundqvists1,8
69,diyarimahmoud,8
70,officiell_realtalk,8
71,marianatalies,8
72,simonkafi,8
73,adaamtrapsson,8
74,basobackatitagain,8
75,fridajernspetss,8
76,xannyh,8
77,heddasjdin,8
78,sverigedemokraterna,8
79,orjanbossemange,8
80,saabuun.groda,8
81,pontusofficial,8
82,alanmax,8
83,mr.slyndor,8
84,erikssonhenke,8
85,plastmuggen1,8
86,simovic27,8
87,anisdondemina,8
88,fannynoord,8
89,svenskabarndomen,8
90,martinskalander,8
91,ifilip24,8
92,martharasch,8
93,nocco,8
94,humorgruppen.kaj,8
95,hilmastillle,8
96,haga.barber,8
97,zm10zm,8
98,sarabekaduic,8
99,vigato2.0,8
100,normal_sverige,8
101,johansodermalm,8
102,ortenkomediii,8
103,jacobagren,8
104,jungliaofficial,8
105,kulmedhumor,8
106,filipdikmen,8
107,eric_sporrong,8
108,krobbez,8
109,allibabasss,8
110,bruceee.leee,8
111,celinecarlsson,8
112,mutumba42,8
113,filippajuhllin,8
114,hermanoerkano,8
115,dr.tracy,8
116,fabiansvorono,8
117,reinhold.3,8
118,snelabella,7
119,un4nownboss,7
120,helanshabani,7
121,ullabritta3,7
122,dyngbaggegalans,7
123,faktaverket,7
124,f.officiial,7
125,joannatipsar,7
126,stromstedtmatilda,7
127,nyhetsmorgon,7
128,sd_micke,7
129,liakiaaaa,7
130,mandablom,7
131,rittazako,7
132,lydiaaamanda,7
133,hant.se,7
134,darkvader1.1,7
135,rossanaferrari48,7
136,melvinhermansson,7
137,oliverkastell,7
138,julia_isabellaa_,7
139,nailzby.yana,7
140,efterlystse,7
141,williamochamanda,7
142,mimicronquist,7
143,emeliewinrot,7
144,ribecka,7
145,barre_ys,7
146,emiliosofias,7
147,nostalgi_sverige4u,7
148,.atuppmig,7
149,moahalleriksson,7
150,timliljegren,7
151,alva8764,7
152,mackanskost,7
153,rahmani.birre,7
154,henrikborg,7
155,lillaalfadjiii,7
156,hannahappy,7
157,Edvin Löf Wattberg,7
158,foxymamantower,7
159,top5ogonblick,7
160,bergjohanna,7
161,darackerr,7
162,filmstaden,7
163,hihisverige,7
164,ponnesmat,7
165,hitrecord_sam,7
166,yuculacy,7
167,megicmike133,7
168,miiguzz,7
169,ohmans1,7
170,ivohagstrom,7
171,youknowike,7
172,grwm.marta4,7
173,emilrenmarker,7
174,unt.se,7
175,ulrika_e,7
176,lorentz_hedlund,7
177,isabellaochcezar,7
178,bollandekatt34,7
179,bbcflash,7
180,gronalund,7
181,shlofficial,7
182,therese,7
183,hsswe,7
184,santanaclouds1,7
185,jockistiktok,7
186,anderssonmattis,7
187,pimpiinam,7
188,essnce.edp,7
189,meiraomar,7
190,haylieopappa,7
191,urkelturkel,7
192,dagensindustri,7
193,expressensnoje,7
194,vendelasaajakisaa,7
195,svtsport,7
196,oscaronisse2.0,7
197,georgechaho,7
198,celsiussweden,7
199,olivialindegren,7
200,moalindgrenlol,7
