rank,name,score
1,Joakim Lundell 🎥🎞️,55
2,ErnstGöstaSmirrePätkis,47
3,Sveriges Roligaste Barn,38
4,Mauri Hermundsson,33
5,Pernilla Wahlgren,31
6,Jonna Lundell 🎀,31
7,Claesson På Taket,29
8,Ekotipsen du inte vill missa!,27
9,Bianca Ingrosso,26
10,L U C A S S I M O N S S O N,26
11,Dyngbaggen,26
12,Johannes Cullberg,26
13,Emil Hansius,26
14,MammaIrma,25
15,BENJAMIN INGROSSO,25
16,🇸🇪 C A R L D É M A N,25
17,Rickard Söderberg,24
18,Synthet,24
19,Sveriges Roligaste Djur,23
20,Markoolio,23
21,Emil Henrohn,23
22,Aftonbladet,23
23,F,23
24,ZEINA MOURTADA,23
25,ＪＯＮＡＳ ＦＡＧＥＲＳＴＲÖ Ｍ,23
26,Christer Lindarw,23
27,Edvin Törnblom,23
28,Isak Nyqvist,23
29,Marcus Frank,22
30,Emelie Nilsson,22
31,Stina Wollter,22
32,Samuel Stronegger,22
33,Melinda Jacobs,22
34,De Roligaste Bostadsannonserna,22
35,Vivi Wallin - fd. mammasanningar,22
36,HOV1,22
37,Johanna Nordström,22
38,KEVINS KVADRATMETER,22
39,Åsa Jonsson,21
40,Camilla Hamid,21
41,Arga Bibliotekstanten,21
42,Therése Lindgren,21
43,Christian,21
44,Morgonpasset i P3,21
45,Anders Pihlblad,21
46,Sveriges Roligaste Videor,21
47,Sverigedemokraterna,21
48,Klas Eriksson,21
49,RASMUS ”Jack Sparrow” EKLUND,21
50,Keyyo,21
51,PappaPappaDöttrar,21
52,TV4 Nyhetsmorgon,20
53,Jennie Walldèn,20
54,Ben Mitkus,20
55,Anders Bagge,20
56,Jan Emanuel,20
57,Helen Torsgården 🐐,20
58,Steffo Törnquist,20
59,MARCUS DÜBOIS,20
60,Malin Persson Giolito,20
61,Jenny Strömstedt,20
62,Ant Wan,20
63,Marcus Palmkvist,20
64,Camilla Läckberg,20
65,Victor Leksell,20
66,Lena Philipsson,20
67,Ribecka,20
68,F I L I P D I K M E N,20
69,Julia Bergman Everberg,20
70,Christina Schollin,20
71,Kalle Zackari Wahlström,20
72,Magnus Uggla,19
73,🌈 Familjen & Co | Mamma Mamma Barn,19
74,Gurkis,19
75,Levi Zion,19
76,Mia Skäringer Lázár,19
77,Helena Bergström,19
78,Christofer Lundström,19
79,Linn Ahlborg,19
80,TV4 Nyheterna,19
81,Emelie Ringholm,19
82,Brita Zackari,19
83,ortenkomediii,19
84,SVT Nyheter,19
85,Josephine Bornebusch,19
86,Marléne & Desirée Eriksson,19
87,LINDA-MARIE ASSERGÅRD,19
88,Musikhjälpen,19
89,JENNIFER E. ANDERSSON,19
90,SVT Humor,19
91,Castor,19
92,Mjölbypartiet,19
93,Jakob Norrgård,19
94,Martin Knutsson,19
95,Fredrik Andersson,19
96,Samir Abu Eid,19
97,Finn Aldén-Joyce,19
98,Linus Wahlgren,19
99,Carola Häggkvist,19
100,Tan By Klara🖤,19
101,Carina Berg,19
102,Viktor Frisk,19
103,GAD,19
104,Mark Levengood,19
105,Emelie larsson,19
106,stefania malmström,19
107,Max liv med familj,19
108,Katrin Sundberg,18
109,Johanna Berg,18
110,HOOJA,18
111,Joel & Erik,18
112,Baby Idol,18
113,fotbollskanalen,18
114,Kristin Kaspersen,18
115,Lee Christiernsson,18
116,Bror Wilhelm,18
117,Helan Shabani,18
118,Johanna Ottosson,18
119,RandomMakingMovies,18
120,Sportbladet,18
121,Nina Rung,18
122,SVT Sport,18
123,Samir Badran 🇵🇸🫶🏽,18
124,Marie Mandelmann🌾,18
125,Niklas Strömstedt,18
126,LIAMOO,18
127,Sara Grimlund (Goldensohn),18
