rank,name,score
1,Hanif Bali,8
2,Henrik Jönsson,8
3,Richard Jomshof,7
4,Susanna Silfverskiöld,7
5,Gunnar Axén,7
6,Ebba Busch,7
7,Jessica Stegrud,7
8,Jimmie Åkesson,6
9,Chang Frick,6
10,Carl-Oskar Bohlin,6
11,David Roth-Lindberg,6
12,Fredrik Kärrholm,6
13,JensGanman,6
14,Sofie Löwenmark,6
15,Daniel Sonesson (Partiledare MED),5
16,Joakim Lamotte,5
17,Mattias Karlsson,5
18,Peter Wennblad,5
19,Markus Allard,5
20,Johan Forssell,5
21,Lena Malmberg (MED),5
22,Herr Husis,5
23,Alice Teodorescu Måwe,5
24,Mustafa Panshiri,5
25,Richard Herrey,5
26,Jens Nylander,5
27,Benjamin Dousa,5
28,Nils Littorin,5
29,Adam Cwejman,5
30,Erika Ohlson,5
31,Maria M Stenergard,5
32,Rebecca Weidmo Uvell,5
33,Mister Magister Tran,5
34,Gulan Avci,5
35,Joachim H,5
36,Pontus Persson,5
37,Stefan Olsson,5
38,Mats Persson,5
39,Ridefixer,5
40,Niklas Wykman,5
41,Christian Peterson 🇸🇪,5
42,Susanna Birgersson,5
43,Ulf Kristersson,5
44,Aron Flam,5
45,Paulina Brandberg,5
46,HG.Abrahamson,4
47,Slöseriombudsmannen,4
48,Granskning,4
49,Lars Adaktusson,4
50,Jan Ericson 🇸🇪🇺🇦,4
51,Hamid,4
52,Sverigedemokraterna,4
53,Per Lindgren,4
54,Magnus Ranstorp,4
55,Ewan Gelius☕️,4
56,Edward Blom,4
57,Edward Nordén,4
58,Elsa Widding,4
59,Malmgren! 🇺🇦,4
60,Doku,4
61,Johan Ingerö Alias 🇺🇦🇮🇱,4
62,Pontus Abrahamsson — oss/acc,4
63,Omar Makram,4
64,Arin Karapet,4
65,Pontus Andersson Garpvall,4
66,Tobias Andersson,4
67,Josefin Utas,4
68,Ludvig Wiröstrand,4
69,Nick Alinia,4
70,Snofsan,4
71,Din polis i orten,4
72,🇸🇪 Lilla My 🇸🇪 🇪🇸🎗️,4
73,Jörgen Huitfeldt,4
74,Katerina Janouch,4
75,Max Villman,4
76,Gimle Kulturförening,4
77,Douglas Thor,4
78,Robert Hannah,4
79,Mats Rigglöv 🇸🇪 🇺🇦,4
80,Maria Falk,4
81,Elisabeth Svantesson,4
82,widar andersson,4
83,Mattias Albinsson,4
84,oliver forslin,4
85,Anders Lindberg,4
86,Per Gudmundson,4
87,Christer Sfeirكريستر,4
88,ᴅɪᴠɪᴅᴇɴᴅ ʙᴏᴍʙᴇʀ,4
89,Lennart,4
90,GAD,4
91,Ivar Arpi,4
92,Philip Syrén,4
93,Beatrice Timgren,4
94,Nima Gholam Ali Pour,4
95,Moderaterna,4
96,Ann-Sofie Hermansson,4
97,MEMIS,4
98,Josef Fransson,4
99,Pål Jonson,4
100,Adam Danieli,4
101,Christofer Fjellner,4
102,Unni Drougge,4
103,Andreas Gustavsson,4
104,Malin Ekman,4
105,Ida Karlbom,4
106,Rashid Farivar,4
107,Kent Ekeroth,4
108,Bulletin,4
109,Leo Vene,4
110,Reklamprofessorn,4
111,Mats Larsson,4
112,Nike Örbrink,4
113,Teodor Koistinen,4
114,Mattias Svensson,4
115,Ledarsidorna.se,4
116,Christoffer Svanemar,4
117,Ekonomigurun 𝕏 🇸🇪,4
118,Paulina Neuding,4
119,Patrik Kronqvist,4
120,Tove Lifvendahl,4
121,Jullan,4
122,Tobias Baudin,4
123,Daniel Helldén,4
124,PM Nilsson,4
125,Fredrik Malm,4
126,Anel Avdić,4
127,GP ledare,4
128,Isabelle Eriksson,4
129,Jan Eliasson,4
130,Åsa Westlund,4
131,Micke K,4
132,Gunnar Hökmark,4
133,Klaus Bernpaintner 🚁,4
134,Utdelningsjägaren,4
135,Bülent Korucu,4
136,Faw Azzat,4
137,Sofia Nerbrand,3
138,Adam Marttinen,3
139,Naomi Abramowicz,3
140,Muharrem Demirok,3
141,Göran Rosenberg,3
142,Ilan Sadé,3
143,Fredrik Andersson,3
144,Paolo Roberto,3
145,Ludvig Aspling,3
146,Fria Tider,3
147,Carl-Magnus Uggla,3
148,Emanuel Karlsten,3
149,Dennis,3
150,Mjölbypartiet,3
151,Angelica Lundberg 🇸🇪,3
152,Ola Spännar,3
153,Mikael Grev,3
154,Maria Ingerö Alias,3
155,Anders Ygeman,3
156,Jonna Sima Bank,3
157,Johan Pehrson,3
158,Snyggbonde™,3
159,Henrik Sundström,3
160,Ulf Bjereld,3
161,Therese Verdun 🦢👑,3
162,Luai Ahmed,3
163,Mattias Lindberg,3
164,Teresa Carvalho,3
165,Mats Skogkär 👌,3
166,Simon Wakter,3
167,Daniel Suhonen,3
168,Oskar Månsson,3
169,staffan danielsson,3
170,Lothbrok,3
171,Frozen Crown,3
172,Gurra,3
173,Morgan Johansson,3
174,Mikael Damberg,3
175,Anders Lindberg,3
176,Victor Pressfeldt,3
177,Pia Clerté,3
178,Sakine,3
179,Chris Forsne,3
180,AIK Hockey,3
181,Filippa Mannerheim 📖📚✍️,3
182,Niels PaarupPetersen,3
183,Staffan Dopping,3
184,Micael Östlund,3
185,Håkan Boström,3
186,Magda El-Hamas (parodi/satir),3
187,Verkan,3
188,Annika Strandhäll,3
189,Göran Greider,3
190,Agnes Wold,3
191,Expressen Debatt,3
192,Carl Bildt,3
193,Peter Hellman,3
194,JENNY🔪,3
195,Daniel Kristoffersson,3
196,Carolin Dahlman,3
197,camilla brodin,3
198,Operatören Bahnhof,3
199,Fouad Youcefi,3
200,Tomas Tobé,3
