rank,name,score
1,JLC,51
2,IJustWantToBeCool2,45
3,Emil Hansius,45
4,Familjen Lundell,44
5,Burek Report,43
6,Riks,43
7,Uppdrag: Mat,37
8,SamTheMan,37
9,Henrik Jönsson,35
10,Malin Edengård,35
11,Perik,34
12,Taib Sisic,34
13,THE SWEDISH FAMILY,34
14,Random Making Movies,33
15,Anis Don Demina,33
16,SampeV2,33
17,Winsent Thunholm Wikman,33
18,Mauri,33
19,Linnea & Viola,33
20,Tomu,33
21,Konstiga Familjen,32
22,Johanna & Marcus,32
23,Youknowike,31
24,Jonas Fagerström,31
25,Wonderboidead,30
26,IJustWantToBeCool GAMING,30
27,Margareta Grääs,30
28,ANJO,29
29,Matkoma,29
30,@elsaalailaa,29
31,Foxy Mama & Tower,28
32,Elsa,28
33,Gordon Dewoon,28
34,Ribecka,27
35,SportTouchen,27
36,RASK,27
37,Familjen Mitkus,27
38,Fredrik Andersson,27
39,Vad Är Problemet?,26
40,Viktor Klemming,26
41,TeamOdiffat,26
42,FAMILJEN TORSGÅRDEN,25
43,Fabian Svorono,25
44,Let's Feast,25
45,Bianca Ingrosso,25
46,Sverigedemokraterna,25
47,Yumi,25
48,keebabb,25
49,Rickards Garage,25
50,Hermanos,24
51,Fotboll24,24
52,Duno,24
53,Sanny Thai,24
54,KAJ,23
55,Yumi Två,23
56,Prime Video Sverige,23
57,Hairtalkbyemelie,23
58,Tanbyklara,22
59,Mirabell,22
60,Kapten Mat,22
61,ROY NADER,22
62,Nu fan räcker det,22
63,Matgeek,22
64,Masha och Björnen,22
65,Kanal 5 Sverige,22
66,Rasmus Kamerer,22
67,Eveline Blomfeldt,22
68,JeppeGaming,22
69,Inblick med Nick,22
70,3prinsessor,21
71,Max Villman,21
72,Moa Lindgren,21
73,Matinbum,21
74,Carl Déman,21
75,Motornörd,21
76,Tomas och Malin,21
77,Supersagor,20
78,Hampus Hedström,20
79,Liam M,20
80,HaylieOPappa,20
81,Lisa Borg fd Anckarman,20
82,Cluee News,20
83,Frihetsnytt,20
84,Beas liv,20
85,Stefan Hildingsson,20
86,Periks Värld,20
87,kanalgratisdotse,20
88,Ambition Sverige,20
89,LAKI,19
90,MotVikt,19
91,Johanna Ottosson,19
92,BJÖRKARPS GÅRDEN,19
93,Charlotta Rexmark,19
94,Jonkan,19
95,Lustiga Tankar,19
96,ManfredErlandsson,19
97,hannahappy,19
98,Oscaronisse,18
99,Jacke & Sofia,18
100,Familjen Almqvist,18
101,Håkan Bergmark TV,18
102,Anders på landet,18
103,Lennart Matikainen,18
104,Aftonbladet,18
105,CHRIPPA,18
106,Joppe Cooks,18
107,Markus Aujalay,18
108,Försvarsmakten,18
109,Albin Olsson [abbedabb],18
110,STAMSITE,18
111,Martin Björk,18
112,Marcus Dübois,18
113,advokatsnack,18
114,Sportbladet,18
115,SVT Barn,18
116,Lisa & Chris,18
117,KHARMA,18
118,Richards traktor&maskin museum,18
119,LaxTon Ghost Sweden,18
120,Diyari,17
121,Tomu Två,17
122,@bergbana,17
123,Amalia Braunsthal,17
124,DiaLogiskt,17
125,Melodifestivalen,17
126,Filip Poon,17
127,Viktor Berglund,17
128,Världen idag,17
129,Raketforskaren,17
130,Elbilsmagasinet,17
131,Tim Liljegren,17
132,Peter Esse,17
133,Linda Fridland,17
134,Tankesmedjan Timbro,17
135,Ida Halonen Bomban,17
136,Tone Sekelius,17
137,Familjen Reinhold,17
138,Kammi,17
139,Ellie Sandin,17
140,Vinsmart,17
141,Sandra Lindahl,17
142,Stefan Bergman,17
143,BL,17
144,Lilla Aktuellt,16
145,Hanna Friberg,16
146,KulPåHjul,16
147,@lucasstreamonsson,16
148,Snabb Fakta,16
149,Expressen,16
150,Sanna Jörnvik Déman,16
151,Mikaela,16
152,De Fria,16
153,Denise och tjejerna,16
154,Vägen mot skilsmässan,16
155,Felicia Bergström,16
156,Amanda Lundgren,16
157,Mimi Höglin,16
158,Leif Mannerström,16
159,154,16
160,Berts Värld,16
161,Stora Carina,16
162,Simon Lussetti,16
163,Ingrid & Maria,16
164,Maurice Hill,16
165,Oskyddat Samtal,16
166,Pitstop,16
167,Laila Högfeldt,16
168,SwebbTV2,16
169,Christian Peterson,16
170,SVT Humor,15
171,Antonija Mandir,15
172,Olof,15
173,Prime Crime,15
174,Annika Elgeskog,15
175,Liam Mellberg - Kitchen raid,15
176,DieselLinus,15
177,EL Chilli,15
178,Life of SWK,15
179,Vendela Nilsson,15
180,Familjen Arcombe,15
181,L22,15
182,Alice Stenlöf,15
183,Crazy Travels with Fredskronk,15
184,Glenn Lindberg,15
185,Barely Running Sverige,15
186,Lalash,15
187,Simon Kafi,15
188,Spelfred,15
189,BANGÅRDEN CUSTOMS,15
190,Anton och Madde,15
191,Fanny & Patrik,15
192,NZs Garage,15
193,Systrarna Elfstrand,15
194,Fotbollsmorgon,15
195,Paolo Roberto,15
196,Paradrätten,15
197,Denice Andree Showroom,15
198,Eliott Malhotra,15
199,Lulle,15
200,Agneta & Markku Freedom Living - Vårt Liv & Frihet,15
