wordLabel,score,rank,sitelinks,sources
Sverigedemokraterna,229.0,1,380.0,6
aftonbladet,167.0,4,356.0,4
Henrik Jönsson,145.0,2,368.0,4
Riks,160.0,6,333.0,4
Emil Hansius,154.0,3,272.0,3
expressen,142.0,2,282.0,3
Familjen Lundell,180.0,2,196.0,2
JLC,147.0,1,189.0,2
Bianca Ingrosso,111.0,9,222.0,3
Fredrik Andersson,131.0,20,195.0,4
Mauri Hermundsson,130.0,4,187.0,2
SVT,150.0,3,162.0,2
Socialdemokraterna,126.0,9,183.0,2
Polisen,123.0,8,170.0,2
Moderaterna,122.0,10,169.0,3
Ribecka,101.0,34,162.0,3
TV4,128.0,4,129.0,2
Anis Don Demina,90.0,15,151.0,2
Winsent Thunholm Wikman,90.0,17,150.0,2
Vänsterpartiet,90.0,18,148.0,2
Jonas Fagerström,89.0,24,147.0,2
THE SWEDISH FAMILY,88.0,13,145.0,2
Perik,84.0,11,139.0,2
Jessica Stegrud,31.0,4,191.0,2
Malin Edengård,83.0,10,136.0,2
ijustwanttobecool,94.0,14,125.0,2
Jimmie Åkesson,28.0,8,185.0,2
Wonderboidead,42.0,11,166.0,2
Sveriges Roligaste Videor,80.0,29,127.0,2
Sveriges Radio,107.0,6,95.0,1
Viktor Klemming,80.0,40,121.0,2
Margareta Grääs,79.0,27,120.0,2
Jesper Nordberg,74.0,33,117.0,2
Diyari,74.0,30,113.0,2
Oscaronisse,74.0,23,112.0,3
Ben Mitkus,75.0,39,109.0,2
Åsa Jonsson,71.0,39,110.0,2
Johannes Cullberg,70.0,12,110.0,2
KAJ,76.0,47,101.0,2
Richard Herrey,22.0,25,149.0,2
Camilla Hamid,69.0,40,101.0,2
Isak Nyqvist,69.0,28,100.0,2
SportTouchen,36.0,35,131.0,2
Försvarsmakten,82.0,16,85.0,1
Matgeek,75.0,48,91.0,2
Ulf Kristersson,24.0,18,141.0,2
BENJAMIN INGROSSO,67.0,15,97.0,2
Yumi,71.0,47,86.0,2
Hermanos,70.0,50,87.0,2
Newsner (Ny),74.0,19,82.0,1
Joakim Lundell 🎥🎞️,55.0,1,100.0,1
Gordon Dewoon,70.0,33,76.0,2
ErnstGöstaSmirrePätkis,47.0,2,99.0,1
SVT Humor,41.0,7,105.0,2
konstiga bloggen,66.0,21,80.0,1
IJustWantToBeCool2,45.0,2,99.0,1
RandomMakingMovies,64.0,22,79.0,1
sportbladet,25.0,19,117.0,2
Kristdemokraterna,63.0,23,78.0,1
Johanna Berg,63.0,24,77.0,1
Burek Report,43.0,5,96.0,1
Fabian Svorono,68.0,43,71.0,2
Max tidigare discovery,63.0,25,76.0,1
Sampev2 (Ny),62.0,26,75.0,1
Sveriges Roligaste Barn,38.0,3,98.0,1
Örebropartiet,61.0,53,73.0,2
Fotboll24,67.0,51,65.0,2
ICA,59.0,28,73.0,1
Uppdrag: Mat,37.0,7,94.0,1
Hanif Bali,22.0,1,108.0,2
SamTheMan,37.0,8,93.0,1
Kattjouren,30.0,1,100.0,1
Lena Philipsson,36.0,44,92.0,2
Pernilla Wahlgren,31.0,5,96.0,1
Nicks Burek Report,58.0,32,69.0,1
Jonna Lundell 🎀,31.0,6,95.0,1
Newsner,28.0,3,98.0,1
Wonderboi,58.0,34,67.0,1
Taib Sisic,34.0,12,89.0,1
Claesson På Taket,29.0,7,94.0,1
Magnus Uggla,35.0,43,87.0,2
Random Making Movies,33.0,14,87.0,1
Ekotipsen du inte vill missa!,27.0,8,93.0,1
Sam Pettersson,56.0,37,64.0,1
Miljöpartiet de gröna,56.0,38,63.0,1
SampeV2,33.0,16,85.0,1
Humorbibeln,22.0,5,96.0,1
L U C A S S I M O N S S O N,26.0,10,91.0,1
Sportbibeln,22.0,6,95.0,1
Joakim Lamotte,19.0,16,97.0,2
Mauri,33.0,18,83.0,1
Sanny Thai,64.0,53,52.0,2
mustigamauri,16.0,1,100.0,1
Dyngbaggen,26.0,11,90.0,1
Linnea & Viola,33.0,19,82.0,1
Christofer Lundström,62.0,71,53.0,2
Tomu,33.0,20,81.0,1
Centerpartiet,54.0,42,59.0,1
Konstiga Familjen,32.0,21,80.0,1
tv4_nyheterna,14.0,3,98.0,1
MammaIrma,25.0,14,87.0,1
Taib Šišić,54.0,43,58.0,1
Johanna & Marcus,32.0,22,79.0,1
Moa Lindgren,64.0,72,47.0,2
Jörgen Astonson,21.0,11,90.0,1
emelienilssonnn,14.0,5,96.0,1
🇸🇪 C A R L D É M A N,25.0,16,85.0,1
Djurgårdens IF,54.0,45,56.0,1
Youknowike,31.0,23,78.0,1
Ikenna Abika,54.0,46,55.0,1
SHL,60.0,67,49.0,2
Newsners bästa,21.0,13,88.0,1
isaostling,13.0,6,95.0,1
Rickard Söderberg,24.0,17,84.0,1
Magdalena Andersson,21.0,14,87.0,1
Synthet,24.0,18,83.0,1
Nöjeslivet,21.0,15,86.0,1
simon.abramsson,12.0,7,94.0,1
MackansKost,58.0,75,48.0,2
Richard Jomshof,7.0,3,98.0,1
IJustWantToBeCool GAMING,30.0,26,75.0,1
anna.ragnarsson,12.0,8,93.0,1
Sveriges Roligaste Djur,23.0,19,82.0,1
Niiinis Kitchenlife,20.0,16,85.0,1
Susanna Silfverskiöld,7.0,4,97.0,1
oomarazar,12.0,9,92.0,1
Markoolio,23.0,20,81.0,1
Viaplay,52.0,49,52.0,1
Gunnar Axén,7.0,5,96.0,1
tildurs,12.0,10,91.0,1
Emil Henrohn,23.0,21,80.0,1
Ebba Busch,7.0,6,95.0,1
ANJO,29.0,28,73.0,1
Arga Bibliotekstanten,35.0,41,67.0,2
Svenska Fotbollförbundet,51.0,50,51.0,1
Matkoma,29.0,29,72.0,1
svtnyheter,12.0,12,89.0,1
F,23.0,23,78.0,1
Sport touchen,51.0,51,50.0,1
Brynäs IF,56.0,61,45.0,2
Kärlek,19.0,19,82.0,1
@elsaalailaa,29.0,30,71.0,1
humoristiskt,12.0,13,88.0,1
ZEINA MOURTADA,23.0,24,77.0,1
Charlie Weimers MEP,19.0,20,81.0,1
kevinbang,12.0,14,87.0,1
ＪＯＮＡＳ ＦＡＧＥＲＳＴＲÖ Ｍ,23.0,25,76.0,1
Frusna Tassar,19.0,21,80.0,1
Chang Frick,6.0,9,92.0,1
Foxy Mama & Tower,28.0,31,70.0,1
Christer Lindarw,23.0,26,75.0,1
Carl-Oskar Bohlin,6.0,10,91.0,1
Elsa,28.0,32,69.0,1
hermanos1337,11.0,15,86.0,1
Edvin Törnblom,23.0,27,74.0,1
Helen Torsgården,50.0,54,47.0,1
David Roth-Lindberg,6.0,11,90.0,1
Bille (userbiy6vhshsl),11.0,16,85.0,1
TV4 Nyheterna,34.0,60,62.0,2
Gårdsjö Älgpark,18.0,23,78.0,1
Fredrik Kärrholm,6.0,12,89.0,1
hollywoodfruarnatiktok,11.0,17,84.0,1
JensGanman,6.0,13,88.0,1
Marcus Frank,22.0,29,72.0,1
Marcus Oscarsson,18.0,25,76.0,1
Sofie Löwenmark,6.0,14,87.0,1
thequeenpearl123,10.0,18,83.0,1
Emelie Nilsson,22.0,30,71.0,1
Jonas Sjöstedt,18.0,26,75.0,1
RASK,27.0,36,65.0,1
Stina Wollter,22.0,31,70.0,1
Dagens Nyheter Ny,48.0,57,44.0,1
Kommunal,18.0,27,74.0,1
Daniel Sonesson (Partiledare MED),5.0,15,86.0,1
Familjen Mitkus,27.0,37,64.0,1
burekreport,10.0,20,81.0,1
Samuel Stronegger,22.0,32,69.0,1
Lilla Al-Fadji,48.0,58,43.0,1
sembloom,10.0,21,80.0,1
Melinda Jacobs,22.0,33,68.0,1
Christian Peterson,48.0,59,42.0,1
Mattias Karlsson,5.0,17,84.0,1
kennyq07,10.0,22,79.0,1
De Roligaste Bostadsannonserna,22.0,34,67.0,1
Tim Liljegren,48.0,60,41.0,1
Peter Wennblad,5.0,18,83.0,1
Vad Är Problemet?,26.0,39,62.0,1
Vivi Wallin - fd. mammasanningar,22.0,35,66.0,1
Vänsterpartiet Stockholms stad,17.0,30,71.0,1
Markus Allard,5.0,19,82.0,1
stolpe.22,10.0,24,77.0,1
HOV1,22.0,36,65.0,1
The official Foxy Mama,48.0,62,39.0,1
Ola Möller,17.0,31,70.0,1
Johan Forssell,5.0,20,81.0,1
TeamOdiffat,26.0,41,60.0,1
taibinho,10.0,25,76.0,1
Johanna Nordström,22.0,37,64.0,1
Ulf Wakenius Artist Page,17.0,32,69.0,1
Lena Malmberg (MED),5.0,21,80.0,1
tiktokchrille,10.0,26,75.0,1
KEVINS KVADRATMETER,22.0,38,63.0,1
Pia Mattsson,47.0,63,38.0,1
Frölunda HC,54.0,73,31.0,2
Alice Teodorescu offentlig,17.0,33,68.0,1
Herr Husis,5.0,22,79.0,1
FAMILJEN TORSGÅRDEN,25.0,42,59.0,1
henrythefreakofficial,10.0,27,74.0,1
IFK Göteborg,47.0,64,37.0,1
Att lyfta sig själv och andra - Tomas Gunnarsson,17.0,34,67.0,1
Alice Teodorescu Måwe,5.0,23,78.0,1
edbuus,10.0,28,73.0,1
Framsteg - Jesper Caron,17.0,35,66.0,1
Mustafa Panshiri,5.0,24,77.0,1
Let's Feast,25.0,44,57.0,1
sannythai,10.0,29,72.0,1
Max Villman,25.0,71,56.0,2
Simon Thunberg,46.0,66,35.0,1
Jens Nylander,5.0,26,75.0,1
Johanna Ottosson,61.0,91,19.0,2
Therése Lindgren,21.0,42,59.0,1
Benjamin Dousa,5.0,27,74.0,1
emilallberg,9.0,31,70.0,1
Christian,21.0,43,58.0,1
Mirabell Lundgren,46.0,68,33.0,1
Nooshi Dadgostar,16.0,38,63.0,1
Nils Littorin,5.0,28,73.0,1
keebabb,25.0,48,53.0,1
emilhenrohn,9.0,32,69.0,1
Morgonpasset i P3,21.0,44,57.0,1
Vid Din Sida - Sverige,16.0,39,62.0,1
Adam Cwejman,5.0,29,72.0,1
Rickards Garage,25.0,49,52.0,1
jockismen123,9.0,33,68.0,1
Anders Pihlblad,21.0,45,56.0,1
Swedish humor,16.0,40,61.0,1
Erika Ohlson,5.0,30,71.0,1
missmollymusic,9.0,34,67.0,1
Bulletin,16.0,41,60.0,1
Maria M Stenergard,5.0,31,70.0,1
dariagaripova,9.0,35,66.0,1
Team Odiffat,46.0,72,29.0,1
Svingoa Grisar,16.0,42,59.0,1
Rebecca Weidmo Uvell,5.0,32,69.0,1
Klas Eriksson,21.0,48,53.0,1
Tan By Klara,46.0,73,28.0,1
Mister Magister Tran,5.0,33,68.0,1
Duno,24.0,52,49.0,1
milo.ae_,9.0,37,64.0,1
RASMUS ”Jack Sparrow” EKLUND,21.0,49,52.0,1
Gulan Avci,5.0,34,67.0,1
malinedengard,9.0,38,63.0,1
Keyyo,21.0,50,51.0,1
Newsner Djur,16.0,45,56.0,1
Joachim H,5.0,35,66.0,1
alexandra.nguyen7,9.0,39,62.0,1
PappaPappaDöttrar,21.0,51,50.0,1
Liberalerna,45.0,75,26.0,1
Polisen Huddinge,16.0,46,55.0,1
Pontus Persson,5.0,36,65.0,1
javligtrik,9.0,40,61.0,1
skratta,16.0,47,54.0,1
Stefan Olsson,5.0,37,64.0,1
Yumi Två,23.0,55,46.0,1
richandfamous8,9.0,41,60.0,1
TV4 Nyhetsmorgon,20.0,52,49.0,1
Göteborgs-Posten,45.0,77,24.0,1
Newsner Familj,16.0,48,53.0,1
Mats Persson,5.0,38,63.0,1
Prime Video Sverige,23.0,56,45.0,1
goteborgsposten,9.0,42,59.0,1
Jennie Walldèn,20.0,53,48.0,1
Martin Falklind,16.0,49,52.0,1
Ridefixer,5.0,39,62.0,1
Hairtalkbyemelie,23.0,57,44.0,1
BrödernaDuo,9.0,43,58.0,1
Lisa Borg,44.0,78,23.0,1
Virre CS2,16.0,50,51.0,1
Niklas Wykman,5.0,40,61.0,1
denzoswe,9.0,44,57.0,1
Anders Bagge,20.0,55,46.0,1
Thomas Englund,16.0,51,50.0,1
Christian Peterson 🇸🇪,5.0,41,60.0,1
Tanbyklara,22.0,58,43.0,1
manszelmerlowofficial,9.0,45,56.0,1
Jan Emanuel,20.0,56,45.0,1
Susanna Birgersson,5.0,42,59.0,1
Mirabell,22.0,59,42.0,1
expressensport,9.0,46,55.0,1
Helen Torsgården 🐐,20.0,57,44.0,1
RIX FM,44.0,81,20.0,1
Kapten Mat,22.0,60,41.0,1
juliaringblom,9.0,47,54.0,1
Steffo Törnquist,20.0,58,43.0,1
Aron Flam,5.0,44,57.0,1
ROY NADER,22.0,61,40.0,1
lisaborg,9.0,48,53.0,1
MARCUS DÜBOIS,20.0,59,42.0,1
Goilarn,43.0,82,19.0,1
Roliga Skyltar,15.0,54,47.0,1
Paulina Brandberg,5.0,45,56.0,1
Nu fan räcker det,22.0,62,39.0,1
elinbrynzer,9.0,49,52.0,1
Malin Persson Giolito,20.0,60,41.0,1
Carina Bergfeldt,15.0,55,46.0,1
winsentw,9.0,50,51.0,1
Jenny Strömstedt,20.0,61,40.0,1
Simon Kafi,43.0,84,17.0,1
HG.Abrahamson,4.0,46,55.0,1
Masha och Björnen,22.0,64,37.0,1
wesam.k1,9.0,51,50.0,1
Ant Wan,20.0,62,39.0,1
Lovisa Karlsson,43.0,85,16.0,1
LO Sverige,15.0,57,44.0,1
Slöseriombudsmannen,4.0,47,54.0,1
Kanal 5 Sverige,22.0,65,36.0,1
emil_hansius,9.0,52,49.0,1
Marcus Palmkvist,20.0,63,38.0,1
Herregud & Co,15.0,58,43.0,1
Granskning,4.0,48,53.0,1
Rasmus Kamerer,22.0,66,35.0,1
kapplastavarna2.0,9.0,53,48.0,1
Camilla Läckberg,20.0,64,37.0,1
Björkarpsgården,43.0,87,14.0,1
Lars Adaktusson,4.0,49,52.0,1
Eveline Blomfeldt,22.0,67,34.0,1
Victor Leksell,20.0,65,36.0,1
Jan Ericson 🇸🇪🇺🇦,4.0,50,51.0,1
JeppeGaming,22.0,68,33.0,1
benkaktus94,8.0,54,47.0,1
Christofer Berg,43.0,89,12.0,1
Hamid,4.0,51,50.0,1
Inblick med Nick,22.0,69,32.0,1
zorba.asplund,8.0,55,46.0,1
TittaPaVideon,15.0,62,39.0,1
redheadsverige,8.0,56,45.0,1
F I L I P D I K M E N,20.0,68,33.0,1
Madeleine Sandahl,15.0,63,38.0,1
Per Lindgren,4.0,53,48.0,1
3prinsessor,21.0,70,31.0,1
