person,personLabel,sitelinks
http://www.wikidata.org/entity/Q23759917,Alexander Isak,55
http://www.wikidata.org/entity/Q47075606,Viktor Gyökeres,53
http://www.wikidata.org/entity/Q214025,Prinsessan Estelle,51
http://www.wikidata.org/entity/Q4125587,Victor Nilsson Lindelöf,49
http://www.wikidata.org/entity/Q20740797,Armand Duplantis,49
http://www.wikidata.org/entity/Q862460,Bill Skarsgård,48
http://www.wikidata.org/entity/Q5371234,Emil Forsberg,48
http://www.wikidata.org/entity/Q29388200,Lil Peep,47
http://www.wikidata.org/entity/Q12007,Eric Saade,45
http://www.wikidata.org/entity/Q215310,Anna Bergendahl,45
http://www.wikidata.org/entity/Q235315,Sarah Sjöström,45
http://www.wikidata.org/entity/Q973265,Viktor Claesson,42
http://www.wikidata.org/entity/Q372276,John Guidetti,42
http://www.wikidata.org/entity/Q59914139,Dejan Kulusevski,42
http://www.wikidata.org/entity/Q975207,Marcus Ericsson,41
http://www.wikidata.org/entity/Q22997937,Prins Oscar,40
http://www.wikidata.org/entity/Q4806248,Ludwig Augustinsson,38
http://www.wikidata.org/entity/Q6799321,Robin Olsen,38
http://www.wikidata.org/entity/Q5570357,Robin Bengtsson,37
http://www.wikidata.org/entity/Q6190659,Robin Stjernberg,37
http://www.wikidata.org/entity/Q15882395,Stina Blackstenius,37
http://www.wikidata.org/entity/Q27999595,Hanna Öberg,35
http://www.wikidata.org/entity/Q39069621,Mabel,35
http://www.wikidata.org/entity/Q152067,Oscar Hiljemark,34
http://www.wikidata.org/entity/Q81842,Robin Quaison,34
http://www.wikidata.org/entity/Q2946166,Filip Helander,34
http://www.wikidata.org/entity/Q5503587,Fridolina Rolfö,34
http://www.wikidata.org/entity/Q132154,Amy Deasismont,33
http://www.wikidata.org/entity/Q1355390,Pontus Jansson,33
http://www.wikidata.org/entity/Q4889354,Benjamin Ingrosso,33
http://www.wikidata.org/entity/Q18706472,Daniel Ståhl,33
http://www.wikidata.org/entity/Q432909,Sofia Jakobsson,32
http://www.wikidata.org/entity/Q5371332,Emil Krafth,32
http://www.wikidata.org/entity/Q6077213,Isaac Thelin,32
http://www.wikidata.org/entity/Q15281410,Yung Lean,32
http://www.wikidata.org/entity/Q17296474,Magdalena Eriksson,32
http://www.wikidata.org/entity/Q106805131,Anthony Elanga,32
http://www.wikidata.org/entity/Q965455,Alesso,31
