character,characterLabel,sitelinks
http://www.wikidata.org/entity/Q302,Jesus,342
http://www.wikidata.org/entity/Q190,gud,262
http://www.wikidata.org/entity/Q9077,Mose,201
http://www.wikidata.org/entity/Q9181,Abraham,192
http://www.wikidata.org/entity/Q345,Jungfru Maria,183
http://www.wikidata.org/entity/Q11934,Musse Pigg,176
http://www.wikidata.org/entity/Q34201,Zeus,144
http://www.wikidata.org/entity/Q11378,Shiva,141
http://www.wikidata.org/entity/Q70899,Adam,139
http://www.wikidata.org/entity/Q37085,Salomo,139
http://www.wikidata.org/entity/Q4653,Sherlock Holmes,132
http://www.wikidata.org/entity/Q41370,Kung David,131
http://www.wikidata.org/entity/Q315796,jultomten,129
http://www.wikidata.org/entity/Q11380,Vishnu,129
http://www.wikidata.org/entity/Q42891,Krishna,127
http://www.wikidata.org/entity/Q40662,Johannes Döparen,127
http://www.wikidata.org/entity/Q79037,Spider-Man,126
http://www.wikidata.org/entity/Q37090,treenighetsläran,124
http://www.wikidata.org/entity/Q35500,Afrodite,124
http://www.wikidata.org/entity/Q830183,Eva,123
http://www.wikidata.org/entity/Q37122,Athena,123
http://www.wikidata.org/entity/Q37340,Apollon,123
http://www.wikidata.org/entity/Q6674,djävulen,121
http://www.wikidata.org/entity/Q81422,Noa,121
http://www.wikidata.org/entity/Q35230,Satan,120
http://www.wikidata.org/entity/Q11389,Brahma,119
http://www.wikidata.org/entity/Q2695156,Batman,114
http://www.wikidata.org/entity/Q81989,Ärkeängeln Gabriel,114
http://www.wikidata.org/entity/Q39503,Artemis,112
http://www.wikidata.org/entity/Q47652,Venus,111
http://www.wikidata.org/entity/Q41127,Poseidon,110
http://www.wikidata.org/entity/Q79015,Stålmannen,109
http://www.wikidata.org/entity/Q41746,Akilles,109
http://www.wikidata.org/entity/Q289957,Jakob,108
http://www.wikidata.org/entity/Q45792,Kung Artur,108
http://www.wikidata.org/entity/Q41484,Hermes,107
http://www.wikidata.org/entity/Q4649,Jupiter,107
http://www.wikidata.org/entity/Q6550,Kalle Anka,106
http://www.wikidata.org/entity/Q338430,Wonder Woman,106
