company,companyLabel,sitelinks
http://www.wikidata.org/entity/Q163810,Volvo,71
http://www.wikidata.org/entity/Q188326,Hennes & Mauritz,70
http://www.wikidata.org/entity/Q187854,Scandinavian Airlines,64
http://www.wikidata.org/entity/Q52618,Ericsson,60
http://www.wikidata.org/entity/Q731938,Astra Zeneca,53
http://www.wikidata.org/entity/Q215363,Sveriges Television,49
http://www.wikidata.org/entity/Q505922,Electrolux,46
http://www.wikidata.org/entity/Q217493,Paradox Interactive,45
http://www.wikidata.org/entity/Q309865,Tele2,35
http://www.wikidata.org/entity/Q862303,Telia Company,34
http://www.wikidata.org/entity/Q64545,Hasselblad,34
http://www.wikidata.org/entity/Q52846,SKF,33
http://www.wikidata.org/entity/Q899356,Husqvarna,32
http://www.wikidata.org/entity/Q975655,Skandinaviska Enskilda Banken,31
http://www.wikidata.org/entity/Q1145493,Swedbank,30
http://www.wikidata.org/entity/Q1543058,Sveriges Radio,27
http://www.wikidata.org/entity/Q757164,Atlas Copco,26
http://www.wikidata.org/entity/Q157675,Vattenfall,26
http://www.wikidata.org/entity/Q1476113,Systembolaget,26
http://www.wikidata.org/entity/Q1421630,Handelsbanken,25
http://www.wikidata.org/entity/Q1537811,Skanska AB,25
http://www.wikidata.org/entity/Q738421,Assa Abloy,24
http://www.wikidata.org/entity/Q2033642,Volvo Lastvagnar,24
http://www.wikidata.org/entity/Q7053360,Norrlandsoperan,24
http://www.wikidata.org/entity/Q378944,MTG,22
http://www.wikidata.org/entity/Q1753718,Sandvik AB,22
http://www.wikidata.org/entity/Q1422481,Fjällräven,22
http://www.wikidata.org/entity/Q52665,ASEA,22
http://www.wikidata.org/entity/Q52855,Swedish Match,22
http://www.wikidata.org/entity/Q1493667,Gant,22
http://www.wikidata.org/entity/Q1757808,Vadstena slott,22
http://www.wikidata.org/entity/Q30938280,Essity,22
http://www.wikidata.org/entity/Q662174,Securitas,21
http://www.wikidata.org/entity/Q686030,Alfa Laval,21
http://www.wikidata.org/entity/Q1165072,Klarna,20
http://www.wikidata.org/entity/Q891345,Boliden AB,19
http://www.wikidata.org/entity/Q52601,SCA,19
http://www.wikidata.org/entity/Q2298950,Starbreeze,19
http://www.wikidata.org/entity/Q65083539,Embracer Group,19
http://www.wikidata.org/entity/Q1275733,EQT AB Group,19
http://www.wikidata.org/entity/Q54075,SSAB,18
http://www.wikidata.org/entity/Q787044,Autoliv,17
http://www.wikidata.org/entity/Q2723182,Betsson,17
http://www.wikidata.org/entity/Q1073100,Nohab,17
http://www.wikidata.org/entity/Q617322,Volvo Construction Equipment,17
http://www.wikidata.org/entity/Q3482100,Posten,17
http://www.wikidata.org/entity/Q1099064,Clavia,16
http://www.wikidata.org/entity/Q1345441,SAS Group,15
http://www.wikidata.org/entity/Q1703203,Trelleborg AB,15
http://www.wikidata.org/entity/Q10681448,Storytel,15
http://www.wikidata.org/entity/Q892825,Bonnierkoncernen,15
http://www.wikidata.org/entity/Q1801817,Reason Studios,15
http://www.wikidata.org/entity/Q1912172,Max Hamburgerrestauranger,15
http://www.wikidata.org/entity/Q669137,Brio,15
http://www.wikidata.org/entity/Q1571428,Swedavia,14
http://www.wikidata.org/entity/Q129391,Scandic,14
http://www.wikidata.org/entity/Q898992,Pharmacia,14
http://www.wikidata.org/entity/Q294713,Öhlins Racing,14
http://www.wikidata.org/entity/Q55391931,Viaplay Group,13
http://www.wikidata.org/entity/Q276345,Millicom,13
http://www.wikidata.org/entity/Q2347731,Axis AB,13
http://www.wikidata.org/entity/Q1427623,Haglöfs,13
http://www.wikidata.org/entity/Q261375,Industrial and Financial Systems,13
http://www.wikidata.org/entity/Q2743805,Lavasoft,13
http://www.wikidata.org/entity/Q3277165,Acne Studios,13
http://www.wikidata.org/entity/Q820970,Hexagon AB,12
http://www.wikidata.org/entity/Q253423,Orrön Energy,12
http://www.wikidata.org/entity/Q2494842,Esab,12
http://www.wikidata.org/entity/Q10605824,Oatly,12
http://www.wikidata.org/entity/Q1998385,NK,12
http://www.wikidata.org/entity/Q2298302,Wasabröd,12
http://www.wikidata.org/entity/Q3182040,Utbildningsradion,12
http://www.wikidata.org/entity/Q10594777,Nevs,12
http://www.wikidata.org/entity/Q568229,Doro,11
http://www.wikidata.org/entity/Q1337240,Getinge AB,11
http://www.wikidata.org/entity/Q270851,Åhléns,11
http://www.wikidata.org/entity/Q558699,NCC,11
http://www.wikidata.org/entity/Q598835,Preem,11
http://www.wikidata.org/entity/Q47498532,Epiroc,11
http://www.wikidata.org/entity/Q3356220,Clas Ohlson,10
http://www.wikidata.org/entity/Q4994121,Kinnevik AB,10
http://www.wikidata.org/entity/Q422013,Aga,10
http://www.wikidata.org/entity/Q1810141,WESC,10
http://www.wikidata.org/entity/Q1467848,Holmen AB,10
http://www.wikidata.org/entity/Q1569414,Saab Dynamics,10
http://www.wikidata.org/entity/Q1570796,Haldex,10
http://www.wikidata.org/entity/Q2061696,Picsearch,10
http://www.wikidata.org/entity/Q2348496,Aimpoint,10
http://www.wikidata.org/entity/Q2371512,Örbyhus slott,10
http://www.wikidata.org/entity/Q3181430,Postnord,10
http://www.wikidata.org/entity/Q1365713,Palmstruchska banken,9
http://www.wikidata.org/entity/Q830608,Elekta,9
http://www.wikidata.org/entity/Q900289,Kopparbergs Bryggeri,9
http://www.wikidata.org/entity/Q1537901,Lundin Mining,9
http://www.wikidata.org/entity/Q1671623,Intrum Justitia,9
http://www.wikidata.org/entity/Q1179543,Delaval,9
http://www.wikidata.org/entity/Q1786717,Lindex,9
http://www.wikidata.org/entity/Q25387724,Bonava,9
http://www.wikidata.org/entity/Q800355,Bahnhof,8
http://www.wikidata.org/entity/Q1783959,Tradedoubler,8
http://www.wikidata.org/entity/Q2090767,Wallenius Wilhelmsen,8
http://www.wikidata.org/entity/Q3121401,Loomis,8
http://www.wikidata.org/entity/Q4827724,Avanza,8
http://www.wikidata.org/entity/Q305786,Abba Seafood,8
http://www.wikidata.org/entity/Q679172,Com Hem,8
http://www.wikidata.org/entity/Q1452647,Trangia,8
http://www.wikidata.org/entity/Q757358,Atlet AB,8
http://www.wikidata.org/entity/Q2084093,Systemair,8
http://www.wikidata.org/entity/Q3429427,AFRY,8
http://www.wikidata.org/entity/Q1785043,Monark,8
http://www.wikidata.org/entity/Q928178,Västtrafik,8
http://www.wikidata.org/entity/Q16325128,Izettle,8
http://www.wikidata.org/entity/Q1434148,Svenska Naturskyddsföreningen,7
http://www.wikidata.org/entity/Q792486,Axfood,7
http://www.wikidata.org/entity/Q2438127,Tobii,7
http://www.wikidata.org/entity/Q4356297,Peab,7
http://www.wikidata.org/entity/Q498606,Capio,7
http://www.wikidata.org/entity/Q5491900,Scan,7
http://www.wikidata.org/entity/Q372445,Nobina,7
http://www.wikidata.org/entity/Q1129980,Thulinverken,7
http://www.wikidata.org/entity/Q1147367,Cycleurope,7
http://www.wikidata.org/entity/Q616729,Jösse Car,7
http://www.wikidata.org/entity/Q1524904,Gina Tricot,7
http://www.wikidata.org/entity/Q1554820,Gunnebo AB,7
http://www.wikidata.org/entity/Q2061879,Simbin,7
http://www.wikidata.org/entity/Q2376454,VSM Group,7
http://www.wikidata.org/entity/Q3177392,Jernhusen,7
http://www.wikidata.org/entity/Q4349016,Kappahl,7
http://www.wikidata.org/entity/Q5969349,Ica Banken,6
http://www.wikidata.org/entity/Q306810,Östgöta Enskilda Bank,6
http://www.wikidata.org/entity/Q846246,Neonode,6
http://www.wikidata.org/entity/Q1881327,Meda AB,6
http://www.wikidata.org/entity/Q3437039,Cloetta,6
http://www.wikidata.org/entity/Q931233,Cision,6
http://www.wikidata.org/entity/Q105965579,Evolution AB,6
http://www.wikidata.org/entity/Q25110345,Leovegas,6
http://www.wikidata.org/entity/Q4919709,Björn Borg AB,6
http://www.wikidata.org/entity/Q7295902,Ratos,6
http://www.wikidata.org/entity/Q270809,Åbro Bryggeri,6
http://www.wikidata.org/entity/Q287757,AB Flygindustri (Limhamn),6
http://www.wikidata.org/entity/Q1324884,Elanders,6
http://www.wikidata.org/entity/Q2535939,Väderstad AB,6
http://www.wikidata.org/entity/Q3075545,Nynas,6
http://www.wikidata.org/entity/Q6917118,Motala Verkstad,6
http://www.wikidata.org/entity/Q63993633,Kindred Group,6
http://www.wikidata.org/entity/Q10447369,Cevian Capital,6
http://www.wikidata.org/entity/Q10680532,Stockholms Hamnar,6
http://www.wikidata.org/entity/Q5290243,Dometic Group,6
