artist,artistLabel,sitelinks
http://www.wikidata.org/entity/Q383541,Basshunter,221
http://www.wikidata.org/entity/Q505476,Avicii,88
http://www.wikidata.org/entity/Q173144,Agnetha Fältskog,82
http://www.wikidata.org/entity/Q153159,Q153159,78
http://www.wikidata.org/entity/Q483376,Loreen,76
http://www.wikidata.org/entity/Q372460,Måns Zelmerlöw,68
http://www.wikidata.org/entity/Q201908,Anni-Frid Lyngstad,67
http://www.wikidata.org/entity/Q4177928,Zara Larsson,65
http://www.wikidata.org/entity/Q52926,Oscar I,62
http://www.wikidata.org/entity/Q214582,Benny Andersson,62
http://www.wikidata.org/entity/Q179682,Björn Ulvaeus,61
http://www.wikidata.org/entity/Q231345,Jenny Lind,61
http://www.wikidata.org/entity/Q180836,Charlotte Perrelli,59
http://www.wikidata.org/entity/Q2420983,Sanna Nielsen,59
http://www.wikidata.org/entity/Q232059,Ann-Margret,57
http://www.wikidata.org/entity/Q229669,Malin Åkerman,56
http://www.wikidata.org/entity/Q183008,Elena Paparizou,55
http://www.wikidata.org/entity/Q236748,Arash,55
http://www.wikidata.org/entity/Q233951,Birgit Nilsson,54
http://www.wikidata.org/entity/Q127423,Victoria Silvstedt,54
http://www.wikidata.org/entity/Q486059,Anette Olzon,50
http://www.wikidata.org/entity/Q184841,Marie Fredriksson,49
http://www.wikidata.org/entity/Q57312,Peter Weiss,49
http://www.wikidata.org/entity/Q192260,Yngwie Malmsteen,48
http://www.wikidata.org/entity/Q29388200,Lil Peep,47
http://www.wikidata.org/entity/Q212524,Carola Häggkvist,47
http://www.wikidata.org/entity/Q2750368,Maher Zain,46
http://www.wikidata.org/entity/Q15948790,Tove Lo,45
http://www.wikidata.org/entity/Q187210,Malena Ernman,45
http://www.wikidata.org/entity/Q12007,Eric Saade,45
http://www.wikidata.org/entity/Q215310,Anna Bergendahl,45
http://www.wikidata.org/entity/Q230055,Izabella Scorupco,45
http://www.wikidata.org/entity/Q569408,Meshuggah,43
http://www.wikidata.org/entity/Q229445,Robyn,43
http://www.wikidata.org/entity/Q323470,RedOne,42
http://www.wikidata.org/entity/Q295148,Peter Stormare,42
http://www.wikidata.org/entity/Q272258,Jill Johnson,41
http://www.wikidata.org/entity/Q235820,Kikki Danielsson,41
http://www.wikidata.org/entity/Q235440,Lotta Engberg,41
http://www.wikidata.org/entity/Q155141,Eric Prydz,40
