work,workLabel,sitelinks
http://www.wikidata.org/entity/Q6015709,Eurovision Song Contest 2016,71
http://www.wikidata.org/entity/Q10162,Eurovision Song Contest 2013,66
http://www.wikidata.org/entity/Q217189,Det sjunde inseglet,64
http://www.wikidata.org/entity/Q239756,Smultronstället,59
http://www.wikidata.org/entity/Q40083273,A Minecraft Movie,52
http://www.wikidata.org/entity/Q327681,Dogville,51
http://www.wikidata.org/entity/Q474093,The Girl with the Dragon Tattoo,50
http://www.wikidata.org/entity/Q165651,Fanny och Alexander,50
http://www.wikidata.org/entity/Q58884,Melodifestivalen,50
http://www.wikidata.org/entity/Q110365,Dancer in the Dark,48
http://www.wikidata.org/entity/Q165699,Melancholia,46
http://www.wikidata.org/entity/Q211487,Eurovision Song Contest 1992,45
http://www.wikidata.org/entity/Q32303,Jakten,45
http://www.wikidata.org/entity/Q695255,Persona,44
http://www.wikidata.org/entity/Q753141,Jungfrukällan,43
http://www.wikidata.org/entity/Q830874,Viskningar och rop,43
http://www.wikidata.org/entity/Q281988,Offret,42
http://www.wikidata.org/entity/Q97304180,Triangle of Sadness,42
http://www.wikidata.org/entity/Q841274,The Woman in Black,40
http://www.wikidata.org/entity/Q69303989,En runda till,40
http://www.wikidata.org/entity/Q27237522,The Square,40
http://www.wikidata.org/entity/Q55907451,Midsommar,40
http://www.wikidata.org/entity/Q574998,Antichrist,39
http://www.wikidata.org/entity/Q130284179,Sentimental Value,38
http://www.wikidata.org/entity/Q322572,Höstsonaten,37
http://www.wikidata.org/entity/Q538412,Breaking the Waves,37
http://www.wikidata.org/entity/Q370707,Pelle erövraren,35
http://www.wikidata.org/entity/Q837070,Sommarnattens leende,35
http://www.wikidata.org/entity/Q587498,Såsom i en spegel,34
http://www.wikidata.org/entity/Q841958,Festen,34
http://www.wikidata.org/entity/Q56312570,Uncut Gems,33
http://www.wikidata.org/entity/Q111608782,A Man Called Otto,33
http://www.wikidata.org/entity/Q954182,Hämnden,32
http://www.wikidata.org/entity/Q918111,Vargtimmen,32
http://www.wikidata.org/entity/Q464651,Tystnaden,32
http://www.wikidata.org/entity/Q842067,Nattvardsgästerna,32
http://www.wikidata.org/entity/Q304394,Fucking Åmål,32
http://www.wikidata.org/entity/Q21935502,En man som heter Ove,32
http://www.wikidata.org/entity/Q1141731,Manderlay,31
http://www.wikidata.org/entity/Q287708,Searching for Sugar Man,31
http://www.wikidata.org/entity/Q1193655,Körkarlen,31
http://www.wikidata.org/entity/Q27920121,The House That Jack Built,31
http://www.wikidata.org/entity/Q901217,Scener ur ett äktenskap,30
http://www.wikidata.org/entity/Q228937,Min vän Balthazar,30
http://www.wikidata.org/entity/Q144756,Låt den rätte komma in,30
http://www.wikidata.org/entity/Q107300488,Young Royals,29
http://www.wikidata.org/entity/Q1211796,Bron,29
http://www.wikidata.org/entity/Q1825585,Diana,29
http://www.wikidata.org/entity/Q1078890,Ansiktet,29
http://www.wikidata.org/entity/Q1759619,Kon-Tiki,29
http://www.wikidata.org/entity/Q1142950,Lilja 4-ever,29
http://www.wikidata.org/entity/Q276343,Män som hatar kvinnor,29
http://www.wikidata.org/entity/Q316225,Stalingrad,29
http://www.wikidata.org/entity/Q2679094,Only God Forgives,28
http://www.wikidata.org/entity/Q589953,A Royal Affair,28
http://www.wikidata.org/entity/Q564802,Utvandrarna,28
http://www.wikidata.org/entity/Q1438966,Häxan,28
http://www.wikidata.org/entity/Q1331994,Riket,27
http://www.wikidata.org/entity/Q1327845,Efter bröllopet,27
http://www.wikidata.org/entity/Q917248,Sommaren med Monika,27
http://www.wikidata.org/entity/Q111600223,Holy Spider,27
http://www.wikidata.org/entity/Q2368378,Mio min Mio,26
http://www.wikidata.org/entity/Q1242222,Don's Plum,26
http://www.wikidata.org/entity/Q1416607,Luftslottet som sprängdes,26
http://www.wikidata.org/entity/Q1507766,Arn – Tempelriddaren,26
http://www.wikidata.org/entity/Q28318271,The Wife,26
http://www.wikidata.org/entity/Q1342900,Mitt liv som hund,25
http://www.wikidata.org/entity/Q666017,Europa,25
http://www.wikidata.org/entity/Q956446,Brottet,24
http://www.wikidata.org/entity/Q221354,Nära livet,24
http://www.wikidata.org/entity/Q775356,Idioterna,24
http://www.wikidata.org/entity/Q1382421,Ondskan,24
http://www.wikidata.org/entity/Q569281,Direktören för det hele,24
http://www.wikidata.org/entity/Q10527185,Hundraåringen som klev ut genom fönstret och försvann,24
http://www.wikidata.org/entity/Q10483256,En duva satt på en gren och funderade på tillvaron,24
http://www.wikidata.org/entity/Q63800585,And Then We Danced,24
http://www.wikidata.org/entity/Q53736577,Gräns,24
http://www.wikidata.org/entity/Q1415082,Interdevotjka,23
http://www.wikidata.org/entity/Q169322,Psalmer från köket,23
http://www.wikidata.org/entity/Q318827,Gycklarnas afton,23
http://www.wikidata.org/entity/Q195593,Maskulinum - femininum,23
http://www.wikidata.org/entity/Q388846,Ansikte mot ansikte,23
http://www.wikidata.org/entity/Q784465,Skammen,23
http://www.wikidata.org/entity/Q106371709,Lamm,23
http://www.wikidata.org/entity/Q112977212,Bastarden,23
http://www.wikidata.org/entity/Q1675604,Lust och fägring stor,22
http://www.wikidata.org/entity/Q1066211,Kris,22
http://www.wikidata.org/entity/Q912049,Så som i himmelen,22
http://www.wikidata.org/entity/Q1169861,Flickan från tändsticksfabriken,22
http://www.wikidata.org/entity/Q1165090,Flickan som lekte med elden,22
http://www.wikidata.org/entity/Q425669,Sommarlek,22
http://www.wikidata.org/entity/Q976061,Elvira Madigan,22
http://www.wikidata.org/entity/Q3019162,TPB AFK,22
http://www.wikidata.org/entity/Q643847,Fröken Smillas känsla för snö,22
http://www.wikidata.org/entity/Q643268,Italienska för nybörjare,22
http://www.wikidata.org/entity/Q1536123,Hon dansade en sommar,22
http://www.wikidata.org/entity/Q14371870,The Salvation,22
http://www.wikidata.org/entity/Q16159056,Kung Fury,21
http://www.wikidata.org/entity/Q677912,Ur marionetternas liv,21
http://www.wikidata.org/entity/Q941053,Pippi Långstrump,21
http://www.wikidata.org/entity/Q2301516,Sånger från andra våningen,21
http://www.wikidata.org/entity/Q763615,Into the White,21
http://www.wikidata.org/entity/Q428617,Djävulens öga,21
http://www.wikidata.org/entity/Q1471325,Fröken Julie,21
http://www.wikidata.org/entity/Q387727,Du levande,21
http://www.wikidata.org/entity/Q3219758,Pelle Svanslös,20
http://www.wikidata.org/entity/Q1309886,Abba – the Movie,20
http://www.wikidata.org/entity/Q1651543,Trollflöjten,20
http://www.wikidata.org/entity/Q1245864,Mifune,20
http://www.wikidata.org/entity/Q705893,Ormens ägg,20
http://www.wikidata.org/entity/Q265203,Kvinnodröm,20
