game,gameLabel,sitelinks
http://www.wikidata.org/entity/Q49740,Q49740,151
http://www.wikidata.org/entity/Q2918660,Duolingo,100
http://www.wikidata.org/entity/Q17452,Q17452,94
http://www.wikidata.org/entity/Q71910,Tetris,91
http://www.wikidata.org/entity/Q83265,Q83265,88
http://www.wikidata.org/entity/Q692989,Q692989,83
http://www.wikidata.org/entity/Q94671,Grand Theft Auto: Vice City,78
http://www.wikidata.org/entity/Q131007,Q131007,78
http://www.wikidata.org/entity/Q11168,Super Mario Bros.,76
http://www.wikidata.org/entity/Q94797,Grand Theft Auto IV,76
http://www.wikidata.org/entity/Q149106,Grand Theft Auto III,75
http://www.wikidata.org/entity/Q20966579,Pokémon Go,75
http://www.wikidata.org/entity/Q28937399,PlayerUnknown's Battlegrounds,74
http://www.wikidata.org/entity/Q279744,Q279744,72
http://www.wikidata.org/entity/Q382108,Q382108,72
http://www.wikidata.org/entity/Q165929,Starcraft,71
http://www.wikidata.org/entity/Q173626,Pac-Man,71
http://www.wikidata.org/entity/Q349375,Q349375,71
http://www.wikidata.org/entity/Q223341,Q223341,69
http://www.wikidata.org/entity/Q13399098,Clash of Clans,68
http://www.wikidata.org/entity/Q323862,The Elder Scrolls V: Skyrim,67
http://www.wikidata.org/entity/Q163628,Q163628,64
http://www.wikidata.org/entity/Q96417649,Among Us,64
http://www.wikidata.org/entity/Q193581,Half-Life 2,62
http://www.wikidata.org/entity/Q76255,Call of Duty 4: Modern Warfare,60
http://www.wikidata.org/entity/Q771541,Dota 2,60
http://www.wikidata.org/entity/Q65059474,Genshin Impact,60
http://www.wikidata.org/entity/Q23648408,Q23648408,60
http://www.wikidata.org/entity/Q216293,Pong,59
http://www.wikidata.org/entity/Q200864,Assassin's Creed,59
http://www.wikidata.org/entity/Q274897,Q274897,59
http://www.wikidata.org/entity/Q842146,Q842146,59
http://www.wikidata.org/entity/Q1986744,The Last of Us,59
http://www.wikidata.org/entity/Q27438121,Q27438121,59
http://www.wikidata.org/entity/Q184816,The Sims,58
http://www.wikidata.org/entity/Q3182559,Q3182559,57
http://www.wikidata.org/entity/Q94501,Grand Theft Auto,55
