name,score
Sverigedemokraterna,142
Familjen Lundell,136
SVT,134
TV4,113
Aftonbladet,110
Sveriges Radio,107
Expressen,105
Polisen,105
Socialdemokraterna,104
Moderaterna,101
Mauri Hermundsson,97
JLC,96
Riks,90
IJustWantToBeCool,86
Emil Hansius,83
Försvarsmakten,82
Henrik Jönsson,80
Newsner Ny,74
Vänsterpartiet,74
Fredrik Andersson,70
konstiga bloggen,66
RandomMakingMovies,64
Kristdemokraterna,63
Max tidigare discovery,63
Johanna Berg,63
Sampev2 Ny,62
Bianca Ingrosso,60
ICA,59
Diyari,59
Sveriges Roligaste Videor,59
Wonderboi,58
Jonas Fagerström,58
Nicks Burek Report,58
Jesper Nordberg,58
Winsent Thunholm Wikman,57
Anis Don Demina,57
Miljöpartiet de gröna,56
Sam Pettersson,56
Joakim Lundell,55
Ben Mitkus,55
Centerpartiet,54
Ribecka,54
Ikenna Abika,54
Djurgårdens IF,54
Taib Šišić,54
Viktor Klemming,54
The Swedish Family,54
Matgeek,53
KAJ,53
Viaplay,52
Sport touchen,51
Svenska Fotbollförbundet,51
Perik,50
Helen Torsgården,50
Åsa Jonsson,50
Margareta Grääs,49
Malin Edengård,48
Camilla Hamid,48
The official Foxy Mama,48
Lilla Al-Fadji,48
Christian Peterson,48
Tim Liljegren,48
Dagens Nyheter Ny,48
ErnstGöstaSmirrePätkis,47
Pia Mattsson,47
IFK Göteborg,47
Mirabell Lundgren,46
Oscaronisse,46
SHL,46
Yumi,46
Tan By Klara,46
Simon Thunberg,46
Isak Nyqvist,46
Hermanos,46
Team Odiffat,46
Örebropartiet,45
IJustWantToBeCool2,45
Liberalerna,45
Göteborgs-Posten,45
Johannes Cullberg,44
MackansKost,44
RIX FM,44
Lisa Borg,44
Lovisa Karlsson,43
Goilarn,43
Simon Kafi,43
Fabian Svorono,43
Burek Report,43
Christofer Berg,43
Christofer Lundström,43
Björkarpsgården,43
Moa Lindgren,43
Fotboll24,43
Gordon Dewoon,42
Alternativ för Sverige,42
Benjamin Ingrosso,42
Johanna Ottosson,42
Brynäs IF,41
Amalia Braunsthal,41
AIK,41
Matkoma,40
Sanny Thai,40
Newly,40
Frölunda HC,40
Marcus Dubois,40
NRJ,40
Magnus Uggla,40
HANNA HAPPY,40
Dobb TV,40
Prime Video,40
Lets Feast,39
Medborgerlig Samling,39
Luleå Hockey,39
Emelie Johansson,39
Freudian Slip Productions,39
LINNEA VIOLA,39
Tomu,39
Ronny och Ragge,39
Filip Poon,39
Hampus Hedström,38
Miriam Bryant,38
Hermanoerkano M.O DD,38
Småstadsliv,38
Leif Mannerström,38
Sveriges Roligaste Barn,38
Zeinas Kitchen,38
Maurice Hill,38
Keebabb,38
Vid Din Sida,38
