game,gameLabel,sitelinks
http://www.wikidata.org/entity/Q71910,Tetris,91
http://www.wikidata.org/entity/Q692989,Roblox,83
http://www.wikidata.org/entity/Q11168,Super Mario Bros.,76
http://www.wikidata.org/entity/Q20966579,Pokémon Go,75
http://www.wikidata.org/entity/Q279744,Half-Life,72
http://www.wikidata.org/entity/Q382108,Team Fortress 2,72
http://www.wikidata.org/entity/Q349375,Fortnite,71
http://www.wikidata.org/entity/Q323862,The Elder Scrolls V Skyrim,67
http://www.wikidata.org/entity/Q771541,Dota 2,60
http://www.wikidata.org/entity/Q274897,Portal,59
http://www.wikidata.org/entity/Q34852,Age of Empires II The Age of Kings,55
http://www.wikidata.org/entity/Q486351,Call of Duty Modern Warfare 2,53
http://www.wikidata.org/entity/Q796529,Far Cry 3,52
http://www.wikidata.org/entity/Q275950,Resident Evil 4,50
http://www.wikidata.org/entity/Q279446,Portal 2,50
http://www.wikidata.org/entity/Q12384,Donkey Kong,50
http://www.wikidata.org/entity/Q486233,Call of Duty Modern Warfare 3,49
http://www.wikidata.org/entity/Q548203,Red Dead Redemption,49
http://www.wikidata.org/entity/Q276217,Halo Combat Evolved,47
http://www.wikidata.org/entity/Q337865,Far Cry,46
http://www.wikidata.org/entity/Q12395,The Legend of Zelda,45
http://www.wikidata.org/entity/Q380918,Call of Duty Black Ops II,44
http://www.wikidata.org/entity/Q271062,Age of Mythology,43
http://www.wikidata.org/entity/Q308961,Call of Duty 3,43
http://www.wikidata.org/entity/Q317620,Tomb Raider,43
http://www.wikidata.org/entity/Q368286,Sid Meier's Civilization,43
http://www.wikidata.org/entity/Q752835,Silent Hill 2,43
http://www.wikidata.org/entity/Q791454,Battlefield 3,43
http://www.wikidata.org/entity/Q34869,Age of Empires III,43
http://www.wikidata.org/entity/Q275960,Mass Effect,42
http://www.wikidata.org/entity/Q287637,The Witcher,42
http://www.wikidata.org/entity/Q471803,Rome Total War,42
http://www.wikidata.org/entity/Q472909,Left 4 Dead 2,42
http://www.wikidata.org/entity/Q725057,Mass Effect 2,41
http://www.wikidata.org/entity/Q739654,Assassin's Creed Revelations,41
http://www.wikidata.org/entity/Q2385,Civilization V,41
http://www.wikidata.org/entity/Q37123,Sonic the Hedgehog,41
http://www.wikidata.org/entity/Q782919,Spacewar,40
http://www.wikidata.org/entity/Q327594,Final Fantasy XII,39
http://www.wikidata.org/entity/Q126194,Minröj,39
http://www.wikidata.org/entity/Q726190,Need for Speed Underground 2,39
http://www.wikidata.org/entity/Q739784,Resident Evil 3 Nemesis,39
http://www.wikidata.org/entity/Q370055,The Legend of Zelda A Link to the Past,38
http://www.wikidata.org/entity/Q725902,Star Wars Knights of the Old Republic,38
http://www.wikidata.org/entity/Q474573,Final Fantasy IX,38
http://www.wikidata.org/entity/Q732943,The Legend of Zelda Majora's Mask,38
http://www.wikidata.org/entity/Q753164,Silent Hill,38
http://www.wikidata.org/entity/Q746228,Batman Arkham Asylum,38
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,38
http://www.wikidata.org/entity/Q715292,Prince of Persia The Sands of Time,37
http://www.wikidata.org/entity/Q719960,Harry Potter och de vises sten,37
http://www.wikidata.org/entity/Q729074,Dead Space,37
http://www.wikidata.org/entity/Q735613,The Legend of Zelda Twilight Princess,37
http://www.wikidata.org/entity/Q736040,Max Payne 3,37
http://www.wikidata.org/entity/Q1046604,Mario Kart 64,37
http://www.wikidata.org/entity/Q18951,Half-Life 2 Episode One,37
http://www.wikidata.org/entity/Q281246,Need for Speed The Run,36
http://www.wikidata.org/entity/Q336177,EVE Online,36
