"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Investor AB","INVE-B.ST","114742851585","37.4522","Sweden"
"2","Spotify","SPOT","100670283776","488.97","Sweden"
"3","Atlas Copco","ATCO-B.ST","82376860557","15.5765","Sweden"
"4","Volvo Group","VOLV-A.ST","66354365579","32.6314","Sweden"
"5","Sandvik","SAND.ST","48535968497","38.693","Sweden"
"6","Assa Abloy","ASSA-B.ST","40480760014","36.4437","Sweden"
"7","Ericsson","ERIC","39090167808","11.62","Sweden"
"8","Swedbank","SWED-A.ST","38050094932","33.8669","Sweden"
"9","SAAB AB","SAAB-B.ST","36566944293","67.7973","Sweden"
"10","Skandinaviska Enskilda Banken","SEB-A.ST","36394892922","18.5703","Sweden"
"11","EQT","EQT.ST","35469089064","30.2764","Sweden"
"12","Epiroc","EPI-A.ST","29678941029","24.5316","Sweden"
"13","H&amp;M","HM-B.ST","29321770572","18.3517","Sweden"
"14","Svenska Handelsbanken","SHB-A.ST","26866579358","13.401","Sweden"
"15","Hexagon AB","HEXA-B.ST","25218282588","9.39446","Sweden"
"16","Alfa Laval","ALFA.ST","22417909492","54.2378","Sweden"
"17","Industrivarden","INDU-A.ST","21381933238","49.5068","Sweden"
"18","Telia Company","TELIA.ST","19881850834","5.05628","Sweden"
"19","Essity","ESSITY-B.ST","17611994265","25.8517","Sweden"
"20","Boliden","BOL.ST","15077264402","53.0973","Sweden"
"21","Swedish Orphan Biovitrum","SOBI.ST","14697958954","42.3258","Sweden"
"22","Tele2","TEL2-B.ST","14338463463","20.6243","Sweden"
"23","Lundbergföretagen","LUND-B.ST","13919769082","56.1281","Sweden"
"24","Investment AB Latour","LATO-B.ST","13617584830","21.3002","Sweden"
"25","Lifco","LIFCO-B.ST","13190840680","29.0409","Sweden"
"26","Evolution Gaming","EVO.ST","12715952771","63.8266","Sweden"
"27","SKF (Svenska Kullagerfabriken)","SKF-B.ST","10752148322","23.6129","Sweden"
"28","Skanska","SKA-B.ST","10474050224","25.2814","Sweden"
"29","Securitas AB","SECU-B.ST","9861814487","17.2133","Sweden"
"30","Addtech AB","ADDT-B.ST","9139770563","33.8564","Sweden"
"31","Sagax","SAGA-B.ST","8828546866","18.998","Sweden"
"32","Trelleborg AB","TREL-B.ST","8259500265","36.8403","Sweden"
"33","NIBE Industrier","NIBE-B.ST","8143542259","4.03932","Sweden"
"34","Indutrade","INDT.ST","8133334927","22.3245","Sweden"
"35","Svenska Cellulosa Aktiebolaget (SCA)","SCA-B.ST","8121572143","11.5636","Sweden"
"36","Nordnet AB","SAVE.ST","8042587518","32.3357","Sweden"
"37","SSAB","SSAB-B.ST","7916523209","7.93502","Sweden"
"38","Autoliv","ALV","7882241024","105.29","Sweden"
"39","Axfood","AXFO.ST","7428899277","34.4055","Sweden"
"40","Fastighets AB Balder","BALD-B.ST","7111433441","5.99615","Sweden"
"41","Beijer Ref","BEIJ-B.ST","6965563381","13.7413","Sweden"
"42","Volvo Car","VOLCAR-B.ST","6878329700","2.3201","Sweden"
"43","AAK","AAK.ST","6649952522","25.5227","Sweden"
"44","Avanza Bank","AZA.ST","6086882581","38.5663","Sweden"
"45","Castellum","CAST.ST","5678221646","11.9173","Sweden"
"46","Getinge","GETI-B.ST","5499504236","20.1913","Sweden"
"47","Holmen","HOLM-B.ST","5449637195","35.4827","Sweden"
"48","Sweco","SWEC-A.ST","5048405751","13.9924","Sweden"
"49","Klarna","KLAR","5039730688","13.35","Sweden"
"50","Sectra AB","SECT-B.ST","4783385531","24.8272","Sweden"
"51","Mycronic","MYCR.ST","4500566435","23.0479","Sweden"
"52","NOBA Bank Group AB","NOBA.ST","4332371686","8.66474","Sweden"
"53","Pandox AB","PNDX-B.ST","3711456820","19.0719","Sweden"
"54","Catena AB","CATE.ST","3156641325","47.5426","Sweden"
"55","Loomis AB","LOOMIS.ST","3099675478","46.3176","Sweden"
"56","Munters Group AB","MTRS.ST","3080458331","16.8754","Sweden"
"57","BioArctic AB","BIOA-B.ST","3064734032","34.5745","Sweden"
"58","Peab","PEAB-B.ST","2880529933","10.2118","Sweden"
"59","Wihlborgs Fastigheter AB","WIHL.ST","2848826993","9.26668","Sweden"
"60","Asker Healthcare Group AB","ASKER.ST","2762727126","7.2127","Sweden"
"61","Corem Property Group AB","CORE-PREF.ST","2644967141","25.028","Sweden"
"62","Asmodee Group AB","ASMDEE-B.ST","2616276316","11.1954","Sweden"
"63","HEXPOL AB","HPOL-B.ST","2600714608","7.55063","Sweden"
"64","Fabege AB","FABG.ST","2531390355","8.04696","Sweden"
"65","Clas Ohlson AB","CLAS-B.ST","2511840360","39.5167","Sweden"
"66","Hufvudstaden AB","HUFV-A.ST","2456176058","12.6407","Sweden"
"67","Thule Group AB","THULE.ST","2405157134","22.3034","Sweden"
"68","Röko AB","ROKO-B.ST","2368402868","161.953","Sweden"
"69","Husqvarna","HUSQ-A.ST","2267293058","3.9654","Sweden"
"70","Elekta AB","EKTA-B.ST","2197014165","5.75009","Sweden"
"71","Bravida Holding","BRAV.ST","2168878039","10.6026","Sweden"
"72","NCC","NCC-B.ST","2129465964","21.7754","Sweden"
"73","Bufab AB","BUFAB.ST","2084907402","10.9933","Sweden"
