word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
sverigedemokraterna,celebrity,1396.000000,380.000000,229.000000,true,-0.001452,1.542116,-0.078678,1.240314,-0.070305,0.199954,-0.135966,-0.915427,-0.942737,0.754618,0.543007,0.412196,-0.339659,-0.325906,-0.474335,0.529426,0.122376,0.138637,0.121921,-0.630738,-0.027560,-0.707299,0.656693,-0.518653,-0.669286,0.352110,0.302429,0.055948,-0.144608,0.579470,0.051043,-0.417229,-0.315016,0.030587,0.148681,-0.337106,-0.226918,0.373959,-0.021632,0.006276,-0.238899,0.285837,0.007137,0.099322,-0.051896,0.152608,0.345065,-0.077324,0.353824,0.062818,-0.189833,-0.053602,-0.361156,0.037320,-0.203154,0.238954,-0.083245,-0.234483,-0.230639,0.226836,0.243887,0.005486,0.042608,-0.099532,-0.142909,-0.327777,0.076366,-0.034393,-0.187102,-0.476921,0.175776,0.320084,-0.120197,-0.161074,0.128019,-0.147949,-0.100250,-0.270763,-0.141041,0.037691,0.314731,0.193274,-0.082079,-0.227629,0.101297,0.242608,-0.005080,-0.359413,-0.070183,-0.230461,-0.033683,-0.084173,-0.002355,-0.188502,-0.347205,-0.286869,-0.007178,-0.051627,-0.017775,-0.051015
aftonbladet,celebrity,1121.000000,356.000000,167.000000,true,0.218457,0.630896,-0.429708,-0.021649,0.108808,-0.291129,0.093277,0.142253,0.288303,0.564742,-0.826088,0.390210,-0.024313,-0.003065,0.132874,0.280333,0.017262,0.018668,-0.094517,0.362045,-0.209581,-0.400538,0.107629,0.030361,-0.067352,-0.248267,0.465335,-0.132462,0.016029,-0.118117,-0.130759,-0.062688,-0.083379,-0.069236,0.053183,0.050796,0.277450,0.074373,-0.076414,0.036811,-0.073409,0.275933,0.329522,0.272256,-0.139164,-0.132953,-0.092906,-0.103186,-0.145973,-0.468146,-0.156089,0.486000,-0.193624,0.027918,0.165642,0.068838,0.169547,0.035963,-0.131471,0.233993,-0.124945,-0.331988,-0.008662,0.215274,-0.414301,0.255548,0.021581,-0.405595,-0.123011,0.420115,-0.147539,-0.103215,0.063846,-0.035749,0.036386,-0.017464,-0.231400,0.175185,0.101028,0.175378,0.109592,-0.165569,0.413882,0.199240,-0.305683,0.235925,0.077428,0.349271,-0.532737,-0.025793,0.102478,-0.085691,0.095630,0.165432,-0.042264,0.328725,-0.371202,-0.149845,0.078373,0.073539
riks,celebrity,1068.000000,333.000000,160.000000,true,-0.101900,1.251570,-0.206477,0.582308,-0.145194,-0.334784,0.096096,-0.346196,0.039717,0.535244,0.225079,0.431631,-0.032542,-0.258261,-0.081549,0.003126,0.302329,0.387509,0.229307,-0.220891,-0.087803,0.020724,0.192989,0.062068,-0.050295,0.325124,0.369660,0.191285,0.054148,0.005758,0.214770,-0.027254,-0.303234,-0.064381,0.060454,0.245256,-0.058591,0.663525,0.174363,0.169026,-0.520322,0.201382,-0.067837,-0.019207,-0.011235,-0.133208,0.267642,0.209987,0.192883,-0.115240,0.282116,-0.140018,-0.200598,0.209356,-0.351995,-0.163100,0.208342,0.114032,0.077880,0.164226,-0.152111,0.026411,0.058162,-0.366349,-0.602769,0.047767,-0.156790,-0.083743,-0.022277,-0.161609,0.245620,0.424676,0.192158,-0.172371,0.043372,0.162006,0.031399,0.052021,0.263873,0.049249,0.114810,0.163071,0.350944,0.311623,-0.520622,0.440629,-0.074685,0.012022,-0.138980,-0.089452,0.149774,-0.153199,0.043025,-0.355359,-0.097755,-0.012580,-0.066744,-0.017596,0.142479,0.239949
henrik jönsson,celebrity,1047.000000,368.000000,145.000000,true,1.348874,-0.143708,-0.341123,0.066562,0.504840,-0.271219,0.236775,0.280944,0.194228,0.000643,-0.332794,-0.010279,0.168769,-0.029684,0.350975,-0.086773,-0.083539,-0.461622,0.006049,-0.087624,-0.094692,-0.079199,0.108914,-0.122936,-0.384249,0.149593,-0.263175,-0.153731,0.225954,-0.294030,-0.040258,-0.338508,0.242248,0.196343,-0.318574,0.253789,-0.154068,-0.035308,0.014879,0.183723,-0.052767,-0.184946,-0.446663,0.076754,0.057666,0.306408,0.091427,0.000220,0.156032,-0.131296,-0.033642,-0.074037,-0.046739,-0.013093,-0.108420,-0.148818,-0.220780,-0.199651,0.345622,-0.069535,-0.068281,-0.005133,0.033861,0.207860,0.126792,-0.008610,0.073178,-0.166058,-0.302657,0.089302,-0.069229,0.158005,0.067468,0.102754,0.068734,0.218246,-0.066378,0.112122,-0.309789,-0.282716,-0.068254,0.229456,0.089661,0.065073,0.064052,-0.032442,-0.152765,0.053172,0.036667,-0.241023,-0.032888,-0.040875,-0.031074,-0.244170,0.315339,0.105874,-0.086337,0.017519,0.436860,0.083021
familjen lundell,celebrity,1015.000000,196.000000,180.000000,true,0.064872,0.335693,-0.815022,0.643168,-0.254169,0.029934,0.485396,-0.239310,-0.029734,-0.140794,-0.095941,-0.140870,0.298880,0.027168,-0.132538,-0.263571,0.447627,0.155132,-0.368362,0.183919,0.148690,-0.181552,0.202783,-0.035095,0.134577,-0.646940,0.082457,0.205930,0.157373,0.473993,-0.192098,-0.020301,-0.353209,-0.188623,0.398643,-0.114785,-0.332854,-0.183429,-0.294856,0.125229,-0.154352,-0.367422,0.025373,0.249715,0.224209,-0.083976,0.201412,0.145601,0.112856,-0.249855,0.154313,-0.240866,-0.182519,0.025779,0.133434,-0.410596,-0.019757,-0.142795,-0.057201,0.184402,0.182674,-0.260513,-0.029733,-0.134947,0.084899,-0.255603,0.051122,0.027944,0.005598,-0.335531,0.044933,0.070510,-0.061442,-0.064404,-0.163645,0.101609,0.167657,0.112440,-0.113814,0.270854,-0.258896,-0.203079,0.111793,-0.173631,-0.189793,0.082426,-0.048913,-0.074956,0.309275,0.010251,0.048151,-0.135908,0.114174,-0.255992,-0.158966,-0.134258,0.134335,0.055743,-0.078456,-0.304565
emil hansius,celebrity,986.000000,272.000000,154.000000,true,1.110111,-0.680915,-0.288655,0.241741,0.044511,0.103390,0.218888,-0.099204,-0.026707,-0.192976,-0.322797,0.026084,0.623298,0.032158,0.120045,-0.642274,0.571548,-0.210855,-0.531135,-0.346774,-0.051755,-0.080625,-0.233318,-0.117571,-0.076634,0.512619,-0.068391,0.383560,-0.417055,-0.076227,0.396812,-0.272825,-0.484530,-0.106527,-0.403017,0.415477,-0.381474,-0.129607,0.065122,0.446106,-0.363408,0.182276,-0.181945,-0.124666,-0.093691,-0.013288,0.185425,-0.114533,-0.300760,0.172210,0.018949,0.398576,0.405857,-0.814879,0.605081,0.616283,0.041819,0.052253,0.287521,0.115811,-0.295967,0.282912,-0.254030,0.408751,0.174171,0.252751,-0.210857,-0.467200,0.144687,-0.268283,-0.006706,-0.264913,-0.012715,-0.049014,0.188617,-0.073307,0.120476,-0.510300,-0.219231,-0.102798,-0.148337,0.046044,0.005181,-0.425246,-0.196235,-0.020589,0.189453,-0.389861,0.156264,-0.326841,-0.175941,-0.281921,0.603192,0.084872,0.312382,0.021006,0.129704,0.263390,-0.376851,-0.263783
expressen,celebrity,949.000000,282.000000,142.000000,true,0.044287,0.830341,-0.340727,0.669949,0.343402,-0.045928,0.554932,0.347069,-0.103107,0.438179,-0.577864,0.440668,0.247514,0.382804,0.096943,0.602046,0.149654,0.129063,0.050101,0.221539,-0.572644,0.057477,0.022226,0.035375,0.251210,-0.299588,-0.535250,0.080362,-0.166769,-0.816399,0.051409,0.339241,-0.435065,-0.491853,-0.167022,0.413282,0.284688,-0.074133,0.355174,0.235323,-0.137463,0.019166,0.244616,0.415974,-0.418193,0.400902,-0.293120,0.056989,0.270448,0.017898,0.130735,-0.039865,0.348223,0.057319,-0.246673,-0.154460,0.165678,-0.181033,-0.133707,0.479802,0.177467,-0.419910,-0.319132,0.399558,-0.395925,0.342798,-0.038181,-0.326578,-0.419069,-0.007524,-0.023469,0.005171,-0.281608,0.135677,-0.117750,0.213926,-0.181702,0.380454,-0.125918,-0.565600,-0.222545,-0.060037,-0.037721,0.391066,-0.281743,-0.095148,-0.018575,-0.001721,0.080831,0.095664,0.067619,0.252486,0.267466,0.144158,-0.196206,0.179543,0.069459,-0.202628,-0.314689,-0.206852
jlc,celebrity,877.000000,189.000000,147.000000,true,-0.151831,0.468419,-0.039041,0.269823,0.072789,0.070692,0.170928,-0.341662,-0.089173,0.117783,0.012265,0.060113,1.186291,-0.145822,0.399905,-0.349932,0.138454,0.635240,-0.050479,0.185128,-0.489590,-0.700757,-0.204510,0.110524,0.293613,-0.000994,0.281117,0.211230,0.327988,0.098744,0.696334,-0.487645,-0.448954,0.114806,0.127045,0.452007,0.543638,-0.123183,-0.377844,-0.294308,-0.405121,0.200378,-0.174971,0.019160,-0.081008,-0.640489,0.051205,-0.200628,-0.120426,0.274895,-0.621789,-0.512726,-0.225177,0.182492,0.384226,-0.358944,0.741958,-0.322482,0.146200,0.270112,-0.065512,-0.283619,0.206886,0.075354,0.503421,-0.457320,-0.047504,-0.194561,-0.031401,0.225237,0.146123,-0.361699,-0.198148,-0.275912,0.393271,0.654446,-0.387739,0.190565,-0.407017,0.109830,-0.469765,0.095550,-0.203582,-0.079055,0.247944,-0.037148,-0.013284,0.090437,0.085630,-0.609412,0.341880,0.404862,0.325943,-0.160038,-0.262717,0.016294,-0.042163,-0.082845,0.402349,0.439968
svt,celebrity,860.000000,162.000000,150.000000,true,-0.053993,0.447085,-0.436159,0.707492,-0.104141,-0.315748,0.214679,0.038174,-0.054292,0.495020,-0.317267,0.030561,0.542263,0.337365,0.131348,0.160104,0.003927,-0.027986,-0.186334,-0.143066,0.121514,-0.133074,-0.063547,0.118816,0.018887,-0.232161,-0.134688,0.134077,-0.025178,-0.558152,0.006154,-0.006496,0.158144,-0.353737,0.052491,-0.378108,-0.252123,0.132447,-0.043655,0.365863,0.120713,0.089526,-0.186770,0.040159,-0.170205,-0.007195,-0.081287,0.141242,0.000103,-0.107223,-0.077448,0.033411,-0.114332,-0.087105,0.119785,-0.076361,0.026862,-0.054242,-0.245298,-0.195020,-0.137771,0.167675,0.342939,0.024392,-0.006209,-0.297394,-0.145408,-0.277484,0.214990,0.176204,-0.125249,0.029779,-0.123402,0.536014,-0.035931,-0.001002,-0.081707,-0.265429,0.139663,0.057840,-0.376306,0.146226,-0.125179,0.232261,-0.004830,0.154354,0.011488,0.157604,0.024874,-0.140262,-0.192123,-0.088194,-0.403026,0.233433,0.120361,-0.016897,-0.276938,0.224096,0.170277,0.384131
mauri hermundsson,celebrity,804.000000,187.000000,130.000000,true,0.023909,-0.215966,-0.448419,0.234216,-0.274736,1.062706,0.132111,-0.585075,-0.406873,0.113001,-0.637300,0.092284,0.570354,1.296878,1.572439,0.146729,1.097286,0.747467,0.050256,1.502946,-0.097401,1.361717,-0.797224,-0.493956,0.454848,0.810375,-0.668410,1.108414,0.015560,0.302357,0.476227,0.264091,0.387607,-0.335281,0.551361,-1.277093,-0.885143,0.426919,-0.434654,-0.729490,-0.175440,0.070834,0.778270,-0.044353,0.286475,0.348893,-0.705259,-1.196742,0.085389,-0.141301,-0.585993,0.353243,0.407608,-0.228022,-0.161184,-0.102798,-0.227867,-0.430822,0.015853,0.651744,0.724066,-0.430681,-0.545359,-0.066767,0.011643,0.046745,-0.354763,-0.184760,0.295353,0.062390,0.108515,-0.317151,-0.173977,0.023514,-0.063924,-0.523631,0.020201,0.664467,0.021054,-0.497408,0.824486,0.410015,0.205200,0.121980,0.308040,0.232412,0.353048,-0.234446,-0.201563,-0.107719,0.457214,0.421636,0.184635,-0.033022,-0.148580,0.030400,-0.706215,-0.472656,-0.226461,-0.365396
