word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
volvo,company,72.000000,72.000000,0.000000,true,-0.964307,1.227277,0.412350,-0.051158,0.793605,0.592161,-0.125835,-0.251851,-0.189853,0.224853,0.659044,-0.273155,0.148405,0.428752,0.673751,0.160308,-0.377717,-0.484090,0.140533,-0.358281,-0.081543,-0.222938,0.105082,0.775955,0.441365,0.026539,-0.103381,-0.149720,0.072189,0.508576,0.541338,-0.211604,0.260664,0.512182,0.140002,-0.090042,-0.304996,-0.199082,-0.514948,0.092940,-0.273511,-0.544746,-0.332476,0.171924,-0.165184,0.269657,0.020859,0.079813,-0.096359,-0.360727,-0.488745,-0.250975,-0.077191,-0.372039,-0.206568,-0.298932,-0.032180,-0.498855,-0.327238,0.065327,0.286923,0.062855,-0.266389,-0.112787,-0.498661,-0.258663,0.418116,0.026112,-0.216967,0.488494,0.290335,-0.308565,-0.284041,0.119971,-0.077507,-0.238551,0.623720,0.100212,0.231210,0.074790,-0.396808,0.154268,0.073459,-0.256021,-0.103297,-0.586648,-0.429408,0.490279,-0.317414,0.510265,-0.102130,0.008152,-0.028329,-0.268539,0.290078,0.460315,-0.144372,-0.036681,-0.096963,-0.082312
hennes & mauritz,company,70.000000,70.000000,0.000000,true,0.220624,0.548841,-0.546530,0.364125,-0.134235,-0.239800,0.183905,-0.269934,0.166286,-0.335413,0.534034,-0.190403,-0.053312,-0.220302,-0.273832,-0.088118,-0.347262,0.224151,0.038807,0.287749,0.186504,0.315532,-0.188603,0.207428,-0.320390,-0.115325,-0.462804,-0.313155,0.012137,-0.135230,-0.105562,-0.277211,-0.165705,-0.153422,0.065744,-0.092673,-0.083999,0.034465,-0.051084,0.152222,0.185504,-0.037835,0.252926,-0.208088,0.164281,-0.002781,0.225289,-0.268468,-0.253721,-0.272791,0.073422,0.138914,0.065672,-0.206485,0.018450,0.047542,0.269234,0.062025,0.235557,0.101566,-0.126095,-0.042209,-0.241968,0.202524,0.140641,0.037858,0.140757,-0.195943,0.150791,-0.151312,0.054621,-0.161146,0.308517,0.033997,0.009098,0.108484,0.130480,0.010282,-0.013875,-0.088466,-0.112647,-0.160941,0.017530,0.192109,-0.066748,-0.103761,-0.264136,0.113967,-0.055234,0.115093,0.190687,0.239846,-0.115348,0.134052,-0.130953,0.079644,-0.096845,-0.101889,0.109891,0.151623
scandinavian airlines,company,64.000000,64.000000,0.000000,true,-1.084903,0.556092,0.445124,-0.329227,0.509186,-0.165815,-0.794381,0.209106,-0.103126,-0.227875,-0.262441,-0.921333,0.521828,-0.069383,0.313524,0.269263,0.310683,-0.454650,0.441448,0.477053,-0.519993,0.072281,0.205053,0.273339,0.151466,0.044970,-0.105860,-0.596125,0.135229,0.276992,-0.098251,-0.086326,0.222082,-0.321448,-0.232833,0.022225,0.205403,0.702728,-0.098887,0.199463,0.172263,-0.096085,-0.478967,0.123648,0.105337,0.263882,-0.108552,-0.317927,0.201313,-0.083851,-0.273888,0.253614,-0.164869,-0.330925,-0.192084,0.287235,0.193679,-0.299111,-0.181948,0.444556,-0.028411,-0.277209,-0.444957,0.249615,0.190265,0.462579,-0.262895,0.200946,0.146051,0.298298,0.328425,-0.267398,0.334401,0.049301,0.420065,0.441376,0.573579,0.138511,0.099375,-0.692644,0.090454,0.241360,0.152520,-0.146385,-0.248827,-0.131748,0.128948,0.164097,-0.290888,0.314816,-0.209883,-0.290079,0.087409,-0.242268,0.094053,-0.448559,0.190349,0.096493,0.382640,-0.115545
ericsson,company,60.000000,60.000000,0.000000,true,0.890317,0.137686,-0.124282,-0.498854,1.384552,0.308087,-0.156573,-0.119839,-0.061240,-0.100240,-0.074736,-0.166540,0.480530,0.169524,0.308317,0.516080,0.030696,0.224674,0.182960,-0.659184,-0.174417,0.367355,0.210671,0.236359,0.160114,-0.199982,-0.150769,-0.331716,-0.129308,0.249083,0.320006,0.741170,0.095534,0.180296,-0.056392,-0.188344,0.229566,0.216237,0.162275,-0.027434,0.418405,-0.038346,-0.556981,0.326008,0.154638,-0.500218,0.118486,0.097856,-0.358882,0.251952,-0.022049,0.129196,0.104202,0.276438,-0.228997,0.005699,0.206372,-0.254360,0.369331,-0.034780,0.227433,0.108584,0.326734,0.027792,0.065138,0.762719,0.238518,0.113158,-0.184314,0.361782,0.619039,0.436072,-0.437200,-0.166591,-0.219828,-0.122276,-0.255888,-0.153048,0.154423,0.114674,0.321884,0.429062,0.064439,-0.028430,0.569782,0.375081,-0.612798,0.253702,-0.065698,0.035177,-0.123901,0.305391,0.254827,0.382871,-0.213631,0.092150,0.101451,0.023499,0.153988,-0.151398
astra zeneca,company,54.000000,54.000000,0.000000,true,-0.560997,1.108837,0.164305,0.054708,-0.046131,0.470468,-0.949452,-0.120902,0.329619,-0.163194,0.729948,-0.198936,-0.090742,0.441870,0.030694,0.131532,-0.137204,0.161096,0.266274,-0.470641,-0.107198,-0.402299,-0.320568,-0.243931,0.573846,0.195069,-0.249818,0.290446,-0.608357,-0.231264,0.112970,-0.499690,0.103630,0.125193,-0.554814,-0.058687,0.544641,0.058455,-0.591978,-0.491094,0.266238,-0.162350,-0.315679,-0.113497,0.064097,0.282316,-0.533263,-0.044390,-0.114752,-0.505529,-0.098639,0.396463,-0.153374,0.164601,-0.132174,0.828915,-0.111373,0.180008,-0.111377,-0.086382,-0.371267,0.326968,0.584194,-0.267574,-0.210787,0.251935,0.162930,0.180235,0.059068,0.362407,0.187532,-0.018643,-0.072943,-0.214053,-0.214850,0.131896,0.226864,0.488507,0.252281,0.556443,-0.604206,0.362521,0.253185,-0.322035,-0.059421,-0.071597,-0.304592,-0.227937,0.150410,0.267343,0.165976,0.031144,-0.599204,0.367878,0.057723,-0.127093,0.395709,-0.175277,-0.390006,0.123916
sveriges television,company,49.000000,49.000000,0.000000,true,-0.424268,0.890401,-0.572602,0.337428,0.156893,-0.654397,-0.009419,-0.111094,0.052382,0.666468,-0.567163,0.357488,0.682100,-0.417941,0.091048,-0.726617,-0.091721,0.321140,-0.677401,0.129515,0.325143,0.231952,0.456316,-0.183972,0.075755,-0.052864,-0.203401,0.055561,-0.152103,0.207861,0.241060,0.274429,0.139843,-0.003263,0.635511,-0.035903,-0.166566,0.313780,0.285633,0.111193,0.304335,-0.199517,0.395774,-0.009322,-0.230702,-0.378560,0.169018,-0.189436,-0.313099,0.306277,-0.090423,0.321360,0.453078,0.050625,-0.318224,-0.136780,-0.282263,0.168757,0.012596,-0.152207,-0.051470,-0.477121,0.665042,-0.194318,-0.065364,-0.407053,-0.422014,0.098599,-0.443343,0.547174,-0.083290,-0.022869,0.067105,-0.036147,0.112874,0.333978,0.228919,0.378920,-0.042592,0.206354,0.335564,0.065447,0.035603,0.352695,0.203988,0.257686,-0.015709,-0.086473,0.047284,0.340950,-0.092783,0.113051,-0.400786,0.350666,0.021465,-0.069442,0.231326,-0.010724,-0.104558,0.082264
electrolux,company,46.000000,46.000000,0.000000,true,-0.857717,1.435765,0.434544,-1.027515,0.333433,0.914343,-0.061099,-0.067799,-0.175759,-0.662144,-0.385778,-0.221470,-0.056467,1.077541,0.776789,0.335985,-0.283859,-0.025595,0.361987,-1.076642,-0.073160,0.023385,-0.260655,0.356262,-0.383486,0.873970,-0.757762,-0.636690,-0.129819,-0.022780,-0.151694,0.590013,-0.017853,0.219840,0.057198,0.843509,-0.022033,-0.234007,-0.383103,-0.499672,-0.140639,-0.079351,0.120257,0.048247,-0.032664,-0.477886,-0.073169,0.023265,-0.328093,-0.046790,-0.382570,-0.133056,-0.025655,0.122911,-0.267505,-0.005620,0.316867,0.048136,-0.441881,-0.648441,0.522405,0.127504,-0.404724,-0.367191,0.354137,0.335354,0.785557,-0.640453,-0.189481,0.177348,-0.359863,-0.333114,0.063790,0.017055,-0.567009,0.525352,0.105385,0.486745,-0.031651,-0.186780,-0.598731,-0.344345,-0.001903,-0.463918,-0.058472,0.261847,-0.447819,-0.208250,-0.088676,0.025236,-0.284424,-0.632136,-0.171521,-0.624267,-0.188482,0.026410,-0.072647,-0.497285,-0.038409,0.159668
paradox interactive,company,45.000000,45.000000,0.000000,true,-1.365182,0.323694,0.131739,0.189091,0.720756,0.357652,-0.466336,0.243502,-0.407511,-0.409680,-0.097338,0.341492,-0.714776,0.070976,0.081450,-0.473519,0.141747,0.290598,0.234522,-0.156050,0.851960,-0.598219,0.637155,0.448659,0.440364,0.011240,-0.245159,0.163531,-0.207638,-0.485465,-0.225585,-0.097854,0.113474,-0.011164,-0.160982,-0.277557,-0.307449,-0.056851,0.119447,0.104919,-0.358163,0.301712,-0.395868,0.441903,-0.337942,-0.307864,-0.047547,0.340008,-0.066242,1.204221,0.130327,-0.062720,-0.073137,0.031454,0.157436,0.444895,-0.085761,-0.253453,0.140251,-0.296910,-0.086739,0.263428,0.275316,0.231707,-0.390162,-0.478291,-0.311975,-0.096704,-0.017396,-0.035669,0.151569,0.055109,0.012314,0.046930,0.218838,0.251258,0.188472,0.102218,0.151486,0.034813,0.251687,-0.053846,-0.013416,0.352897,-0.147281,0.092047,0.289828,-0.088769,-0.122884,-0.126290,-0.179250,0.065492,0.115856,-0.145739,-0.038389,0.137552,0.500295,0.066025,0.329525,-0.322975
tele2,company,35.000000,35.000000,0.000000,true,-0.711862,0.906430,0.236318,-0.063165,-0.170334,0.228695,-0.012657,-0.065214,0.417572,-0.005740,-0.226490,0.142327,-0.383858,0.194267,0.515744,0.182650,-0.166082,-0.273377,-0.126641,-0.599753,0.431133,0.458750,-0.214472,0.223720,0.376270,-0.026615,0.071944,-0.220348,-0.034414,0.055606,0.272330,0.626489,-0.065906,0.058735,-0.250006,-0.347933,-0.380237,0.162592,0.629532,0.472368,0.063463,0.093318,0.527450,-0.049961,-0.031713,0.065431,-0.034237,-0.010748,-0.449540,0.530710,-0.020982,0.360562,-0.362868,0.298845,0.129104,0.130468,-0.014684,0.067941,-0.066518,-0.231121,0.267582,-0.535883,0.042759,0.219718,0.351592,-0.224922,0.250052,0.152160,-0.285435,0.267450,0.539779,0.754718,0.000438,-0.066702,0.041565,-0.124056,0.365143,-0.072451,-0.035642,-0.507844,-0.571740,0.172948,0.340269,0.006319,-0.354497,-0.058511,0.003466,-0.149471,0.018208,-0.062391,-0.016946,-0.102026,0.315499,0.190200,-0.024079,0.361162,0.012608,-0.052694,-0.133100,0.079793
hasselblad,company,34.000000,34.000000,0.000000,true,-0.068960,0.679806,-0.035210,0.024173,0.107408,0.122450,0.057192,0.372947,-0.825240,-0.635138,0.337111,-0.162365,-0.472198,-0.157383,0.200004,-0.527456,0.127901,-0.148754,-0.028113,0.113613,0.524103,0.056594,0.424906,0.592819,0.329046,0.484347,-0.611826,-0.306142,-0.527464,0.330457,0.148429,0.363542,0.004716,0.160460,-0.065805,-0.260144,-0.102463,0.672880,-0.074871,-0.234853,-0.626678,-0.109582,-0.325792,0.019792,0.192562,0.411981,0.113157,0.439159,-0.009381,0.481901,0.193427,0.244319,0.000188,-0.126729,0.086902,0.575845,0.535949,-0.386636,-0.316593,-0.018154,-0.302588,-0.058218,0.271306,0.474883,-0.122477,-0.591192,0.740784,-0.323951,-0.591944,0.309698,1.076349,-0.002882,0.739285,-0.170820,-0.342710,-0.237594,0.034935,-0.391640,0.019233,-0.161827,0.395726,-0.247504,-0.000268,0.246895,0.436225,0.429956,0.348521,0.245303,-0.209831,0.282070,-0.282652,0.359729,0.022557,-0.149191,-0.191405,0.295063,-0.296679,-0.060044,-0.264670,0.063651
