word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
fika,general,1.000000,0.000000,0.000000,true,-0.411411,0.548042,-0.495874,0.177649,-0.707714,0.477128,0.518401,-0.211178,0.317413,0.015207,-0.382656,-0.137026,-0.236262,-0.237737,0.038245,-0.513660,0.394893,-0.151640,-0.220723,0.270091,-0.659511,0.173567,-0.149265,-0.276829,0.652176,0.016053,-0.270547,0.366199,-0.164330,0.216814,0.243591,0.029732,0.230310,0.249518,-0.499652,-0.175770,-0.072582,0.262945,0.101054,0.171078,-0.939295,-0.146852,0.661460,0.645501,-0.777914,-0.170218,-0.603760,0.086886,0.166428,-0.450745,-0.215626,-0.243410,-0.040783,0.508803,0.072667,-0.212711,0.096107,0.109866,0.474219,-0.078519,-0.345060,-0.364349,-0.117759,-0.207487,-0.067204,-0.073717,0.088743,0.100315,0.048980,-0.242268,0.085130,-0.110833,0.249596,0.259161,0.196495,-0.327388,0.111937,0.017249,-0.089606,0.224795,0.485425,-0.305642,-0.045505,-0.181160,-0.079373,0.144434,-0.145081,-0.021654,0.194880,0.088674,-0.359343,0.351895,0.240475,-0.084265,-0.051770,0.283455,-0.230822,0.362832,0.120574,0.117195
fredagsmys,general,1.000000,0.000000,0.000000,true,-0.466401,0.703709,-0.640830,0.712235,-0.633405,0.420785,0.742473,-0.372578,-0.094216,0.298968,-0.694802,0.082096,-0.155732,-0.460176,0.211913,0.017682,0.394168,-0.521918,-0.170071,-0.148250,0.090976,-0.386007,0.146956,-0.606669,0.094017,-0.117062,0.239510,0.080924,0.188529,0.150497,-0.308026,0.086742,0.154234,0.110721,-0.422209,-0.317855,-0.523708,-0.303665,0.091259,-0.171564,0.052319,0.084596,-0.034263,0.409429,-0.031277,0.076935,0.191635,0.099616,0.048775,-0.173545,0.087532,0.302731,-0.226948,0.133745,0.478304,-0.340760,0.163547,0.071347,0.019928,-0.146650,-0.117267,-0.035525,-0.349242,-0.272515,0.220063,-0.367090,0.118672,0.211730,0.078523,0.159167,-0.147690,0.214513,0.013385,0.198845,0.119834,0.057233,-0.072813,0.091186,-0.374192,0.118848,0.003835,0.077414,-0.608970,-0.101692,-0.242776,0.190424,0.050696,0.043852,0.362597,-0.255561,0.059245,0.257988,-0.014233,0.085558,-0.187306,0.377043,0.021700,0.090377,-0.063908,0.012217
lagom,general,1.000000,0.000000,0.000000,true,-0.549689,0.354234,-0.068227,0.689881,-0.502427,0.190387,0.935387,0.024525,0.520344,0.402947,-0.369809,-0.291770,-0.211454,-0.050179,0.198698,-0.103974,-0.022259,-0.107321,0.128194,-0.125644,0.223411,-0.016662,0.207453,-0.093597,0.099067,0.062577,-0.394133,0.125812,-0.287591,0.082627,0.001980,-0.031685,-0.130419,0.119111,-0.217223,-0.377611,-0.153247,-0.336664,0.368335,0.455406,-0.255502,-0.288361,-0.184964,-0.133351,0.523247,0.018596,0.084910,0.299592,-0.184083,0.104603,-0.222126,-0.261585,-0.090606,0.314420,-0.065380,-0.165158,-0.315142,0.084163,0.025866,-0.099867,-0.438066,0.009093,0.086806,-0.208295,-0.023945,0.208317,-0.145240,-0.185842,0.017439,0.080194,0.124320,0.114931,-0.256628,0.112541,-0.285000,-0.023838,-0.442570,-0.000860,0.287949,0.115948,-0.084449,-0.217167,-0.110931,-0.342077,-0.241566,0.067534,-0.228229,0.031934,0.591044,0.007579,0.475973,-0.318130,0.044045,-0.219651,-0.167587,0.160256,0.199857,0.089549,-0.147942,-0.126644
mello,general,1.000000,0.000000,0.000000,true,-0.261287,-0.137434,-0.426419,0.779988,-0.803233,0.690608,0.212604,-0.017077,-0.107547,0.009620,-0.117777,0.221127,0.918251,-0.084587,0.395575,0.467196,-0.018481,0.094416,-0.536287,-0.241794,0.681581,-0.656384,-0.224852,-0.326991,0.331378,-0.248922,0.315685,0.484838,0.081259,0.402206,-0.017222,0.210105,0.224762,-0.125321,0.235137,-0.260039,0.409796,0.190371,-0.405621,0.454454,0.141630,0.116090,-0.288043,-0.642174,-0.136757,0.065593,-0.002334,-0.329162,0.181925,0.111288,0.146587,-0.280086,-0.093769,0.336225,0.138072,0.060496,-0.032047,0.220552,0.149509,-0.033554,0.292699,0.426966,-0.007091,0.121833,-0.291222,0.001662,0.078175,0.023226,0.194147,0.347907,-0.081526,-0.177303,0.168782,0.280017,-0.088217,0.101513,0.217733,0.115629,0.254285,0.008197,0.051067,0.230560,-0.079003,-0.264565,0.070642,-0.162495,-0.243364,0.241341,-0.158786,0.002175,0.265106,0.001552,-0.223799,-0.062880,0.312009,0.113983,-0.023875,0.123669,-0.119889,0.140376
midsommarstång,general,1.000000,0.000000,0.000000,true,-0.366831,0.705070,-0.423421,0.258238,-1.221800,0.134453,1.401008,-0.291418,0.059504,-0.288738,0.038519,-0.349601,-0.098164,-0.768277,-0.157761,-0.327298,-0.476818,-0.715308,-0.347555,0.014578,-0.628521,-0.338546,0.339354,0.176922,0.354314,0.055520,-0.010336,0.588253,0.306801,0.376150,-0.164545,0.256616,0.527924,0.460689,0.016725,0.033428,-0.385825,-0.016993,0.070261,0.462444,0.059214,0.329258,0.268245,-0.313964,0.272196,0.741491,0.312979,-0.123992,0.236999,-0.496692,0.199211,0.545371,-0.068248,0.016000,0.402814,0.246620,-0.291375,-0.380697,0.298909,-0.326040,-0.178335,0.822251,-0.653968,-0.430630,-0.308273,-0.274264,-0.579289,0.168694,0.699611,-0.104027,-0.048262,0.218994,-0.688931,0.145793,0.241514,-0.020356,0.100025,0.197982,-0.072066,-0.237424,0.221513,0.050732,-0.454089,-0.572072,0.117813,0.344388,-0.427914,0.148239,0.090187,-0.308341,0.143802,0.615364,0.228704,0.226228,-0.003419,0.228319,0.055152,-0.206625,0.550875,-0.544756
pappaledig,general,1.000000,0.000000,0.000000,true,0.352995,0.595182,-0.413512,0.703839,-0.316934,0.120937,0.515248,-0.735704,-0.117848,0.170915,-0.391605,0.206479,-0.029356,0.144738,0.767444,-0.009431,0.043251,-0.233294,-0.615717,-0.432715,-0.094203,-0.197415,0.139652,0.113287,-0.103981,-0.714534,0.269558,-0.065489,0.043686,0.255266,-0.009830,0.104754,0.377616,0.260166,0.141578,0.188159,-0.372340,-0.108623,-0.147103,-0.867768,-0.980528,-0.015355,0.326666,-0.008999,0.180324,0.219022,0.600650,0.467849,0.314029,0.073465,0.342762,0.066203,0.161629,0.230075,-0.354187,0.362135,0.491145,0.125396,-0.367823,0.243110,-0.116855,0.308706,-0.130893,-0.276814,0.314237,0.401331,0.031879,0.174248,-0.418345,0.325978,-0.625697,-0.205962,0.339038,0.860446,-0.429986,-0.282341,0.099978,-0.136442,-0.025024,-0.032949,0.037698,0.306982,-0.181768,-0.281151,-0.690664,0.166133,-0.365531,0.308120,0.414629,-0.090398,-0.091320,0.150274,-0.448956,-0.067024,-0.000825,0.248855,0.140555,0.232504,0.177998,0.333299
snus,general,1.000000,0.000000,0.000000,true,-0.427809,1.049464,-0.147561,0.650920,-0.335541,0.348813,0.344117,-0.566794,0.318350,0.374352,-0.146857,0.024834,-0.630750,-0.321011,0.289043,0.005563,0.353361,-0.696479,0.536552,-0.072058,0.096081,-0.130863,-0.418619,-0.662911,-0.061564,-0.027294,-0.286733,0.182598,-0.326768,0.267954,-0.084018,-0.465353,0.323536,0.385194,0.052581,0.040798,0.435261,0.187661,-0.063623,-0.106827,0.321575,0.451095,-0.195293,0.124225,-0.098080,-0.053429,0.048308,0.106119,-0.578870,0.097822,0.479609,-0.084265,0.198732,0.237080,0.448495,-0.166113,-0.150337,-0.028751,0.069312,0.077985,-0.449966,-0.000576,-0.106627,-0.323749,0.118938,0.034195,-0.135000,0.281818,0.407306,0.133001,0.263338,-0.258241,-0.030688,-0.172757,0.229040,-0.046533,0.054514,0.080259,0.094530,0.193402,-0.184139,0.375454,-0.138237,-0.004068,-0.044402,-0.236809,-0.182938,-0.102016,-0.274341,0.039240,-0.168492,-0.143848,-0.127402,0.146764,-0.182270,0.288321,0.067308,0.235435,-0.034736,-0.403759
swish,general,1.000000,0.000000,0.000000,true,-0.736469,0.847226,0.134542,-0.308994,0.000355,1.106165,-0.639563,-0.153231,0.472943,0.377114,-0.623775,0.369540,-0.541315,-0.439001,-0.720392,-0.070937,-0.102783,0.544629,-0.980742,-0.022737,0.354267,0.009697,-0.356683,0.822002,-0.254147,0.408214,0.503903,0.423763,0.097671,0.443649,-0.519402,-0.959634,-0.161911,0.137320,0.621093,0.150936,1.742977,0.548998,-0.440364,0.602711,0.354740,0.250743,1.095253,1.221354,-0.000354,0.295664,-1.322489,-0.626129,0.075448,-0.247078,0.647996,0.150911,-0.985723,0.008257,0.421003,0.199186,0.321532,0.021347,0.914801,0.635902,-0.322494,0.667781,0.198119,-0.153472,-0.257059,0.403749,0.109001,0.187027,0.665422,0.285815,0.799100,-0.463864,-0.186673,0.305370,0.062521,0.947308,0.269285,0.687541,-0.631903,0.994711,0.265824,0.261448,0.635901,-0.281249,0.234536,-0.391673,0.961228,-0.789291,0.141545,-0.025380,-0.183660,-0.194598,0.340967,0.098288,0.108389,0.860335,0.164277,-0.326652,-0.303315,0.660006
systembolaget,general,1.000000,0.000000,0.000000,true,-0.811683,1.504264,0.148333,-0.148619,0.107452,0.837474,-0.007345,-0.286279,-0.049665,-0.341581,-0.985433,-0.022749,-0.902548,-0.769454,0.189925,0.351134,0.770911,-0.130104,0.121989,-0.093556,-0.874207,-0.502117,0.024990,-0.680757,0.002432,0.042576,-0.340615,0.410173,-0.674232,-1.018639,0.425208,-0.037146,0.127691,0.082476,0.508910,0.427080,0.073019,0.859837,-0.039159,0.045991,0.287567,0.275459,-0.049875,0.755574,0.233152,-0.077196,-0.225575,-0.417327,-0.255224,-0.250780,0.705757,-0.179639,0.717025,-0.147215,0.412117,-0.162394,-0.100038,-0.178345,-0.091926,0.233757,0.382213,-0.376406,0.103636,-0.522968,-0.318781,-0.292666,0.329590,-0.444263,-0.509075,0.040272,0.095663,-0.134961,-0.758363,0.005690,0.218102,-0.019168,-0.031895,-0.135090,-0.045020,-0.507100,-0.549114,0.387182,0.278934,-0.083629,-0.153664,-0.401110,-0.019482,-0.042043,0.134510,-0.222161,-0.294301,0.191148,-0.185385,-0.131026,-0.113325,0.257056,0.149486,-0.161458,-0.190599,-0.236288
vabba,general,1.000000,0.000000,0.000000,true,-0.046241,0.916438,-0.122202,0.882100,-0.522002,0.574024,0.172107,0.024379,-0.154913,0.608024,-0.306833,-0.060268,-0.336001,0.323515,-0.033222,-0.188425,0.517387,0.439045,-0.382032,-0.183285,-0.316042,0.491499,0.169364,-0.514859,-0.011924,-1.357691,0.040515,-0.152590,0.906006,-0.021250,0.126655,-0.106406,1.134441,0.468664,-0.285082,-0.350670,0.397776,0.359369,-0.485765,-0.368770,-0.263596,0.054798,0.449105,-0.161738,-0.663687,-0.167298,0.107635,0.076857,-0.311944,-0.396505,0.433691,-0.195891,-0.419355,0.228558,-0.711188,-0.086891,0.359689,-0.170523,-0.082353,-0.284514,0.211151,0.281891,-0.639848,0.061410,0.666364,0.398028,0.525421,0.278231,-0.156515,0.301742,-0.816101,-1.184740,0.180835,0.185071,-0.169396,0.188898,-0.330567,-0.295275,0.295417,0.103402,0.230987,0.338345,0.225438,-0.422322,-0.164852,0.184185,-0.285957,0.287750,0.051360,-0.221719,-0.313856,0.371359,-0.177842,0.142272,0.319035,0.306715,-0.307164,-0.173386,-0.328328,0.554740
