word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
tetris,game,91.000000,91.000000,0.000000,true,-1.238819,-0.883141,-0.041426,0.237742,0.324178,1.401083,0.335699,0.208775,0.161384,0.068815,0.575675,0.161469,-0.419772,-0.679020,-0.205225,-0.613128,-0.719536,-0.135854,0.041374,0.519012,0.496867,0.652026,0.311008,0.437564,0.343056,0.177395,-0.043911,-0.032738,0.767434,-0.572325,-0.060575,-0.244245,-0.043964,0.169400,-0.617840,-0.893723,0.012939,-0.356283,0.250004,-0.306984,0.002001,0.634175,-0.085259,0.476714,-0.377049,-0.291066,-0.269880,-0.126535,-0.340755,0.360293,-0.452047,0.292624,-0.419157,-0.254079,0.154356,0.361226,-0.278365,-0.248702,0.251562,-0.235738,-0.131797,-0.041199,0.081000,-0.055539,-0.221045,-0.207570,0.445414,0.542825,0.714703,-0.053333,0.082471,-0.144389,0.134705,0.105525,0.072449,-0.054476,-0.472210,0.269922,0.605306,-0.296693,-0.413086,-0.125758,-0.381131,-0.332357,-0.274938,-0.003060,0.240863,0.349284,-0.083203,-0.136917,-0.014331,0.264165,-0.143995,0.676657,-0.557544,-0.177747,-0.467485,-0.191430,0.029585,0.366943
super mario bros,game,76.000000,76.000000,0.000000,true,-0.824251,-0.874985,0.045568,0.381948,0.569810,0.368589,0.084947,0.511767,0.038959,0.050987,0.103539,-0.123462,-0.415041,0.169740,0.192435,0.167750,-0.068085,-0.319869,-0.037150,0.202616,0.393370,0.237329,-0.057813,-0.133125,0.085021,-0.365361,0.108729,0.060631,0.343031,-0.140255,0.455885,-0.158324,-0.195408,0.050343,-0.076995,-0.556253,0.326466,0.046762,-0.010502,-0.142601,-0.120300,0.337479,-0.419948,0.167788,0.066516,0.246575,-0.216002,-0.378152,-0.484987,0.219342,0.194309,0.136839,-0.012756,0.166941,-0.216468,0.149531,-0.198390,0.184405,-0.010811,0.276423,-0.209262,-0.582155,0.529992,0.004417,0.183550,-0.205164,-0.193463,-0.157694,-0.079490,-0.109603,-0.210656,-0.086220,-0.176629,0.097291,0.187119,0.164225,0.106925,0.288210,0.052278,0.170149,0.151493,0.037323,0.085863,0.210882,-0.032616,-0.052459,-0.137566,0.084360,-0.034542,0.107462,-0.098545,-0.061643,-0.098629,-0.041702,-0.135686,-0.053320,-0.136885,-0.198063,-0.064276,0.069443
pokémon go,game,75.000000,75.000000,0.000000,true,-0.423479,-0.117803,-0.271013,0.371011,-0.216129,0.068882,0.256054,0.009945,0.818649,0.352052,-0.117313,0.244365,0.002399,0.314964,0.091244,0.118816,0.190020,0.072510,0.227723,0.019972,0.060054,-0.118774,-0.020242,-0.086721,-0.153535,0.351916,-0.117194,0.003766,0.023482,-0.061679,0.076382,0.160786,-0.041285,-0.018292,-0.103882,0.070196,-0.045292,-0.019921,0.118792,0.147324,-0.160163,-0.077041,-0.218759,-0.059968,0.158365,-0.214757,-0.181222,0.004112,0.033962,0.011871,0.051954,0.033184,0.048167,0.092388,0.226784,0.029975,-0.045697,0.273150,0.165666,-0.162458,-0.038138,-0.005090,0.087783,0.000735,0.174795,0.095426,-0.075757,-0.064837,0.055152,-0.141057,-0.152910,-0.071839,0.027001,0.069460,0.125974,0.107150,-0.166290,-0.082965,-0.158353,-0.114227,0.172232,-0.040796,0.022794,-0.022422,-0.123762,-0.280298,0.160160,-0.153866,-0.159231,0.120668,-0.028687,-0.329191,0.023305,0.127150,-0.193225,-0.255918,-0.021124,0.032493,0.164649,0.305193
the elder scrolls v: skyrim,game,67.000000,67.000000,0.000000,true,-1.253189,-0.575184,0.283826,0.350411,0.498918,0.261737,0.362907,0.324333,-0.262187,0.046437,-0.075764,0.139085,-0.578975,0.089988,0.298461,0.130010,-0.339964,0.145272,-0.110673,0.124989,-0.087811,-0.087576,0.093341,-0.336859,0.036922,-0.234112,0.215706,0.051513,-0.129482,-0.123940,-0.195027,0.185184,0.060501,0.040960,0.227535,-0.021755,0.031520,0.233947,-0.068349,0.074125,0.020260,0.063470,0.120421,0.174931,0.293629,0.329334,-0.042609,-0.000148,0.105771,0.278266,-0.080629,0.066275,-0.164706,0.219212,-0.066665,-0.162485,-0.071887,-0.038544,0.012148,-0.108839,-0.177916,-0.007597,-0.105731,-0.086991,-0.062163,-0.044149,0.100727,0.035653,0.059727,0.017707,-0.034385,-0.167342,-0.047491,0.054009,0.374151,0.167112,0.044073,0.023025,-0.033840,0.060491,-0.049654,-0.172818,0.078454,0.049265,-0.219272,-0.081014,-0.093587,-0.090852,-0.263797,-0.091648,0.096347,0.166251,0.064399,-0.392724,-0.280266,0.454678,-0.006807,0.016259,-0.085602,0.134639
dota 2,game,60.000000,60.000000,0.000000,true,-0.823832,-0.305155,0.495247,0.345939,0.885125,0.410024,-0.243195,0.248967,-0.722649,0.261436,0.337697,-0.271040,0.194627,0.294770,0.879946,-0.444296,-0.616044,0.268095,-0.200507,0.396161,0.344057,0.416709,0.097665,-0.287974,-0.117962,-0.290564,0.067201,0.064329,-0.490644,0.403013,-0.651529,0.258180,0.698776,-0.447149,0.201232,-0.267824,0.029205,0.401528,0.518699,-0.450605,0.224635,-0.236161,-0.735679,0.126625,-0.142976,-0.847656,0.386196,0.170580,0.282853,-0.492979,0.421924,-0.018265,-0.019401,0.438794,0.361690,-0.261204,0.153279,-0.050337,0.620988,0.333800,-0.784525,0.295643,-0.193412,-0.521528,-0.589138,-0.111566,-0.044074,0.265841,0.114981,0.460031,0.570853,0.141668,-0.047296,0.352546,0.673209,0.473083,-0.401895,-0.105989,0.431155,-0.431352,0.128557,0.094528,0.142048,-0.506161,-0.268392,-0.234221,0.551342,0.045728,-0.222619,0.056572,-0.367391,-0.255536,-0.446319,-0.377539,0.160059,-0.417597,-0.048336,-0.176440,0.467292,1.079207
call of duty: modern warfare 2,game,53.000000,53.000000,0.000000,true,-1.566328,-0.730649,0.069856,0.335148,0.518913,-0.092764,0.231856,0.487499,-0.299645,0.143367,0.012382,0.017408,-0.430271,0.285246,0.193951,-0.041521,-0.025368,0.043418,0.051196,0.188344,-0.093291,-0.044282,0.096044,-0.194009,-0.010950,-0.059472,-0.018088,0.232016,0.340149,-0.065639,-0.058450,0.354527,-0.044662,0.039509,0.294261,0.019744,-0.097685,-0.036954,-0.037508,0.055777,0.194618,-0.058768,-0.052517,0.016626,0.398672,0.113937,-0.317518,0.147444,-0.040445,-0.011910,0.067359,-0.359628,0.345803,-0.163307,-0.297454,0.110132,0.001931,0.040845,-0.193868,0.129019,-0.134086,-0.064819,-0.260769,-0.176653,0.041847,0.034778,-0.022621,0.194863,0.424091,0.051867,-0.090516,-0.207594,-0.306765,-0.139715,-0.081000,-0.204986,-0.065386,0.065587,-0.050575,0.115425,0.086602,-0.088152,0.136884,0.067756,0.149499,-0.102920,-0.020493,-0.104791,-0.186404,0.277528,-0.063623,-0.178586,0.044327,-0.216163,-0.202769,0.128977,-0.053463,0.072649,0.037828,0.018436
far cry 3,game,52.000000,52.000000,0.000000,true,-0.688551,-0.251306,-0.140429,0.397232,0.059984,-0.016326,0.436934,0.085117,0.437897,-0.010405,0.302770,0.107848,-0.090359,0.134566,-0.292031,0.278146,-0.184657,0.168537,-0.063204,-0.084873,0.297670,-0.227362,-0.148517,-0.288178,0.294189,-0.174503,-0.032225,-0.049709,-0.162904,-0.082563,-0.015515,-0.116971,0.047795,0.102548,0.018605,-0.267300,0.121363,0.163143,-0.111102,-0.062323,0.061195,-0.000778,-0.199850,-0.149813,-0.054226,-0.183407,0.175932,0.266381,0.012366,-0.237981,0.445369,-0.230970,0.204624,0.073111,0.200049,-0.151290,0.096273,0.122137,-0.172774,0.051894,-0.085986,0.160406,-0.238938,0.143371,-0.032475,0.213186,-0.180645,-0.123742,-0.027775,-0.163715,0.069523,-0.058304,0.112056,-0.142306,-0.003441,-0.102095,0.032423,-0.185069,0.320248,-0.160446,-0.295661,-0.120532,0.266131,-0.051858,-0.011215,-0.020829,0.084563,-0.050385,0.088882,0.058394,0.032124,0.094524,-0.145358,-0.367300,0.198891,-0.076316,-0.295139,0.137099,-0.119100,0.170020
donkey kong,game,50.000000,50.000000,0.000000,true,-1.364740,-0.814176,0.190377,0.360528,0.273812,0.009502,0.138212,0.018833,-0.500558,-0.208891,0.505205,-0.164245,-0.452519,0.178684,-0.050683,0.014381,-0.911575,-0.647047,-0.336271,0.642677,-0.218682,0.164154,-0.302314,-0.261562,0.490984,-0.284307,-0.002257,-0.343078,0.103493,-0.125355,0.272728,-0.424399,-0.745478,0.318038,-0.569331,-0.218420,0.088772,1.080535,0.615858,-0.412353,0.146353,-0.000264,0.181418,-0.653417,0.305906,0.212890,-0.173306,0.359260,-0.516073,-0.095330,-0.074651,0.233675,0.147653,0.029732,0.041348,0.354812,0.403441,0.271157,0.126382,-0.390426,0.188756,0.064660,0.220671,-0.499414,0.303482,0.180804,-0.183466,-0.049750,0.287935,0.523486,0.173621,0.224989,-0.262706,-0.300980,0.116141,-0.277966,-0.002278,0.036135,0.390192,0.522450,-0.254297,0.031983,-0.047094,0.037879,-0.080380,-0.101289,0.040581,0.121061,-0.277626,-0.027079,0.081576,-0.004780,0.028823,-0.185334,0.238520,0.213762,-0.207380,-0.019054,0.051048,0.546807
portal 2,game,50.000000,50.000000,0.000000,true,-0.855186,-0.542408,0.065133,0.496531,-0.121706,-0.235513,0.214617,-0.369912,-0.457836,-0.510961,-0.301801,0.169580,-1.326185,-0.884062,1.292951,0.068686,-0.197328,0.063889,-0.283504,0.076839,-0.294209,0.489885,-0.081395,0.162407,0.587178,-0.135528,0.755773,0.126980,-0.582149,-0.725882,-0.409705,0.205864,0.186038,0.404412,0.153135,0.459580,-0.275685,0.658939,-0.037327,1.000068,-0.310073,-0.277987,-0.207905,0.451054,0.106258,-0.808683,-0.387699,-0.361673,-0.013770,0.509181,0.626869,0.113210,0.032449,0.577907,-0.272422,0.345035,0.070529,-0.328556,-0.266752,-0.194531,-0.018830,-0.359667,-0.066206,-0.233366,-0.053154,0.237265,-0.355628,-0.246522,-0.549087,-0.459732,0.198954,-0.352393,-0.288504,0.230941,0.468092,0.989629,0.359281,-0.433193,0.724564,0.085144,-0.198142,0.112386,-0.065444,0.370872,0.174078,0.430984,0.243712,0.051262,0.221522,-0.032561,0.431229,0.172259,0.204382,-0.089142,0.234246,-0.147336,-0.408598,0.170283,-0.423232,-0.170564
resident evil 4,game,50.000000,50.000000,0.000000,true,-1.860484,-1.180860,-0.359446,0.258303,0.501768,-0.062068,0.123688,0.352653,-0.688152,0.194726,0.146994,0.037002,-0.333833,0.682643,-0.673259,-0.213812,-0.420219,0.214781,-0.253280,-0.056068,-0.168462,-0.405861,-0.287897,-0.676244,0.072691,0.334458,0.501962,-0.192406,-0.587195,0.258281,0.383794,-0.100439,-0.142426,-0.011597,0.072192,-0.290630,0.302329,0.103374,-0.169902,-0.369905,-0.129580,0.226381,0.416540,-0.642186,0.157770,-0.401944,0.509813,0.027052,0.385779,0.434653,-0.194188,-0.542254,-0.119120,-0.296247,-0.203391,0.193714,-0.338517,0.430434,0.240315,-0.034816,0.071941,-0.310495,-0.013100,-0.350999,0.114232,-0.001947,0.039612,0.177891,-0.611300,0.118640,0.283980,-0.395002,0.013189,0.140011,0.086654,-0.008454,-0.068339,-0.134666,0.128083,0.218753,0.102642,-0.159817,0.060916,0.102065,-0.350189,0.350385,-0.428772,0.481699,0.366230,0.168913,0.229794,-0.179048,-0.515451,0.254694,-0.176961,-0.387366,0.700024,0.182255,-0.557715,-0.226890
