word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
sverigedemokraterna,celebrity,1396.000000,380.000000,229.000000,true,1.621039,0.873037,0.208836,-0.906588,-0.001099,-0.614861,0.976783,0.306016,0.606278,0.613807,-0.520471,-0.658974,0.034676,0.831679,0.076099,-0.225091,-0.333096,0.241581,0.230288,0.161240,-0.288431,0.031612,0.271808,0.326175,-0.185741,-0.356038,-0.061251,-0.211334,-0.092110,-0.408952,-0.280087,0.069959,0.021440,0.279617,0.136010,-0.136213,-0.273615,-0.087669,0.192861,-0.123224,0.072503,-0.103875,0.035043,0.038994,-0.358937,-0.362338,-0.043815,0.159556,0.127219,0.002629,0.377661,-0.095542,-0.201925,-0.508013,-0.117368,-0.135485,-0.107152,0.030192,-0.232537,0.154597,0.005567,-0.111070,-0.225804,0.001133,-0.023464,0.315909,0.052689,-0.138360,-0.063392,0.152213,0.233383,0.101947,0.147437,0.085579,0.200993,-0.305003,0.143952,-0.039567,0.121514,-0.023200,0.210645,0.254439,-0.120923,-0.085765,-0.080717,-0.037130,-0.375701,0.222863,-0.208629,0.076415,0.137247,0.098814,-0.042861,-0.001843,0.080809,0.060796,-0.009571,0.070085,-0.075343,0.206489
aftonbladet,celebrity,1121.000000,356.000000,167.000000,true,-0.408268,0.729971,-0.101561,0.097659,-0.041695,0.276614,0.154300,0.280617,-0.073563,-0.495020,0.219857,-0.502589,-0.219571,-0.168380,0.470937,0.218143,0.122904,0.284386,0.032299,-0.097274,0.052568,0.419587,-0.135767,0.286921,0.096515,-0.007407,-0.175475,0.026209,-0.038472,-0.148932,0.021101,0.218747,-0.327832,-0.124468,-0.383730,0.131845,0.189228,0.043346,0.036607,-0.055144,-0.128685,-0.333795,0.170400,-0.284227,-0.109125,0.223856,0.236449,0.279207,0.253762,0.272627,-0.115781,0.183757,-0.363708,0.069206,-0.070977,0.044696,0.023130,-0.030705,-0.096348,-0.136675,0.095418,0.224651,-0.257809,-0.058642,0.098796,-0.093910,0.290857,0.099615,-0.510600,0.140054,0.187002,-0.121640,-0.069609,-0.190328,0.157680,-0.214476,-0.082497,-0.227183,-0.067717,0.017909,-0.150225,-0.131535,-0.028884,-0.199305,0.061808,-0.213799,0.202517,-0.264741,-0.268607,0.266017,-0.323091,-0.023758,0.360197,0.166539,0.078945,-0.049326,0.035136,-0.122537,0.176414,0.341799
aftonblaaet,celebrity,130.622634,41.482300,19.459393,false,-0.912498,0.590562,-0.021303,-0.400331,-0.245141,0.407968,-0.020120,0.759308,0.267821,-0.751202,-0.088228,-0.755436,0.098358,0.014379,-0.263520,0.472609,-0.012756,0.233974,0.370295,-0.318716,-0.574623,0.514606,0.056868,0.683323,-0.079153,0.167339,-0.682207,0.506435,-0.073331,-0.495435,0.161439,0.400598,-0.332981,-0.374605,-0.254927,-0.199228,0.532261,0.517219,-0.092092,-0.152245,-0.377522,-0.162370,0.429669,-0.242360,0.308743,0.410005,0.417534,0.333132,0.208782,0.661219,-0.040417,0.158682,-0.009753,0.339994,0.144135,0.134216,-0.200132,-0.011047,-0.420677,0.314256,-0.122702,0.098682,-0.082736,0.149716,0.278999,-0.200952,0.132856,0.332628,-0.563275,0.114714,0.283911,-0.264235,-0.357368,-0.299981,0.292051,-0.793525,0.232139,-0.357440,-0.069902,-0.375833,0.143069,-0.028785,-0.093176,0.188007,-0.499418,0.038206,-0.447706,-0.634124,-0.387633,0.021236,0.033172,0.334531,0.503164,0.099189,-0.306482,-0.180835,0.299551,-0.114245,0.437626,0.209251
henrik jönsson,celebrity,1047.000000,368.000000,145.000000,true,-1.207856,1.299703,0.437602,0.044940,-0.368941,0.052871,-0.377215,0.202806,0.049862,0.060986,-0.186248,0.266724,-0.300851,-0.122168,0.309318,0.239534,-0.008473,0.201158,0.092694,0.054163,-0.028670,-0.132156,-0.100343,0.230728,-0.038684,0.229381,0.364902,0.101095,-0.362245,0.084039,0.053667,0.116592,-0.078427,0.272170,0.071567,0.125573,-0.009278,-0.110030,0.034247,-0.048555,0.078975,-0.130452,-0.083525,-0.245457,0.094217,0.037726,-0.191477,0.149314,0.022885,-0.004457,0.106855,-0.190356,-0.212250,-0.066805,-0.181551,-0.029384,0.012379,-0.057053,0.173533,-0.001194,0.067323,0.157010,-0.159316,-0.250956,-0.192929,0.115681,0.246618,-0.017568,0.107301,0.122848,-0.068332,0.058103,-0.013689,0.043832,-0.012962,-0.167537,-0.338883,-0.248059,0.463027,-0.067030,-0.341199,0.126871,-0.010169,0.053272,-0.258027,-0.023093,0.138660,0.168768,-0.104069,-0.174925,0.157396,0.272928,-0.060196,0.151521,-0.116224,0.109285,-0.013733,0.087707,-0.066779,-0.280221
jönsson,celebrity,177.158157,62.267624,24.534797,false,-1.297691,1.414268,0.429954,0.089285,-0.488300,0.060757,-0.426220,0.175455,-0.053053,0.041007,-0.196309,0.283936,-0.306063,0.131206,0.259470,0.311547,0.001306,0.325526,0.104235,0.258506,0.088928,0.046648,0.032638,0.128791,-0.028055,0.352611,0.411811,0.144469,-0.431475,0.163956,0.015528,0.074823,-0.331917,0.151848,0.003986,0.078991,0.359104,-0.108356,0.055421,0.050516,0.182324,0.051643,-0.147324,-0.218853,0.009438,-0.016363,-0.412688,0.132932,0.046259,0.093972,-0.061987,-0.235476,-0.262444,0.112629,-0.391200,0.222787,-0.176240,-0.197599,0.232679,-0.156013,-0.095438,0.288965,-0.296338,-0.321187,0.041534,0.087905,0.307810,0.121289,0.039691,0.167233,-0.084522,0.126569,-0.086658,0.126802,-0.141072,-0.130480,-0.451372,-0.329187,0.473096,-0.069425,-0.666541,0.177823,0.062953,-0.073740,-0.122315,0.117441,0.216291,0.175961,-0.170311,-0.067584,0.195239,0.434310,-0.020327,0.223342,0.063701,-0.146818,0.179880,0.250862,-0.069542,-0.387191
jonsson,celebrity,121.578581,42.732491,16.837530,false,-1.465750,1.389206,0.246958,0.049407,-0.270702,-0.032714,-0.140467,0.528359,-0.095549,0.203493,0.214911,0.369766,-0.643543,-0.100307,0.253819,-0.109346,0.457395,0.108700,-0.021586,0.284480,-0.024246,0.287038,0.095240,0.322656,0.212587,0.367634,0.128901,-0.400675,-0.300911,0.171367,-0.106269,0.385419,-0.483019,0.013746,0.111775,0.083937,-0.025906,0.102585,0.075392,-0.170735,-0.161905,0.027164,0.186129,-0.104822,0.115570,-0.066883,-0.297591,-0.009814,-0.171060,0.237000,0.189209,-0.180573,-0.320053,0.109411,-0.018026,0.238730,-0.018721,-0.059759,0.313374,0.326975,-0.109855,0.238372,0.221980,-0.254809,-0.161010,0.010247,0.146483,0.189845,-0.008711,0.100673,-0.170038,-0.035171,-0.132499,-0.061314,-0.472967,0.100790,-0.231764,-0.039342,0.179479,0.125798,-0.466624,-0.049403,0.299415,0.025345,-0.427129,0.302825,-0.214370,-0.007905,-0.391968,0.137913,0.124165,0.058943,0.169488,-0.033875,-0.048164,-0.098901,-0.015692,0.327357,-0.321463,-0.203342
svensson,celebrity,119.591060,42.033916,16.562277,false,-1.479681,1.302500,0.236448,0.008447,-0.347514,-0.136655,0.107927,0.413790,0.002059,0.186928,0.216929,0.307444,-0.600214,-0.059229,0.382957,0.199977,0.339630,0.325076,0.152887,0.315211,-0.048865,0.003490,-0.438568,0.312752,0.119515,0.018232,0.276976,-0.231260,-0.259425,0.217334,0.130482,0.247661,-0.145388,0.140212,0.011200,-0.033203,0.425282,0.005747,0.019585,-0.321284,-0.001482,-0.052095,0.184239,-0.144040,0.199439,0.298560,0.040553,-0.035672,-0.048149,0.168170,0.077052,-0.296135,-0.104355,-0.190135,-0.217002,0.079227,0.165559,-0.123522,0.492187,-0.011300,-0.194620,0.127625,-0.128712,-0.331578,-0.010595,0.083442,0.153593,0.139082,0.203492,-0.293074,-0.286348,0.657830,-0.095761,0.140323,-0.371460,-0.055358,-0.320562,-0.373765,0.222596,0.120735,-0.180199,0.079274,0.206816,-0.028115,-0.166642,0.061762,0.172984,0.085876,-0.207690,0.111855,-0.034331,-0.292114,0.128727,-0.120851,-0.006212,0.138975,0.314456,0.411299,0.172777,-0.393683
andreasandersson,celebrity,117.106875,41.160773,16.218240,false,-1.678517,1.327796,-0.208516,-0.142201,-0.442512,-0.260382,-0.333169,-0.024444,-0.092793,0.188996,0.004265,-0.081231,0.311894,0.226153,0.072126,-0.347086,0.170136,0.037414,0.238875,0.140128,-0.256565,-0.277032,-0.256407,-0.039503,0.077160,0.213490,0.057803,-0.099427,-0.163012,0.043650,0.019155,0.075603,0.042929,0.082632,-0.333938,0.256762,0.181937,-0.266270,-0.171171,0.076817,0.131270,-0.273250,-0.010151,-0.235691,0.027404,0.022618,0.037364,-0.378196,0.029640,0.215497,-0.011676,-0.302295,0.253783,-0.120099,0.003701,-0.140243,-0.243357,-0.049844,-0.155721,-0.426335,0.011704,-0.010417,0.004070,-0.150579,-0.355912,0.012039,-0.086185,0.300023,-0.169748,-0.275559,0.120657,0.048461,-0.107610,0.215017,-0.131469,-0.137678,-0.062522,0.216011,-0.147756,0.277530,-0.036649,-0.258127,0.027757,0.062624,-0.165486,-0.184186,0.122744,0.236377,-0.175820,0.103270,0.106371,0.346282,-0.015134,0.122682,0.123448,0.097307,0.259597,0.050775,0.097542,0.106700
nilsson,celebrity,112.412503,39.510794,15.568112,false,-1.356788,1.345493,0.264573,0.022481,-0.210439,0.096416,-0.281685,0.321936,-0.087886,0.236329,0.065249,0.454607,-0.706654,-0.124656,0.485182,0.210886,0.360938,0.144075,0.216693,0.413799,0.170294,0.016486,-0.071170,0.268955,-0.037634,0.159466,0.075402,-0.089565,-0.288387,0.293244,-0.339181,0.085644,-0.163013,-0.019868,0.152207,0.035843,0.331881,0.164689,-0.060128,-0.292583,-0.082021,0.157177,0.109973,0.016869,-0.050812,0.143806,-0.157571,-0.090469,0.019601,0.155674,0.005663,-0.018734,-0.036616,0.104823,0.078642,0.043300,-0.045752,-0.515285,0.209269,0.036099,0.143725,0.340428,-0.175963,-0.030552,-0.094262,0.301827,-0.089800,0.213905,-0.050963,-0.248349,0.083887,0.210002,-0.041144,-0.025385,-0.139712,0.061053,-0.126116,0.033167,-0.025683,0.279684,-0.191156,-0.079751,0.071535,0.214201,0.027074,0.296169,-0.212080,0.017364,-0.416342,0.259110,0.152365,0.302778,-0.120612,0.278794,0.054031,0.178275,0.186246,0.001489,0.092625,-0.216624
iönsson,celebrity,110.895824,38.977711,15.358065,false,-0.884226,1.943474,-0.786062,-0.104283,-0.806067,0.124829,-0.180342,0.186141,-0.030949,-0.121781,-0.504122,-0.146263,-0.503618,-0.045058,0.213505,0.368860,-0.117437,0.580501,-0.108564,0.228424,0.078437,0.020172,-0.079320,0.690304,-0.038781,0.278338,-0.218692,0.165490,-0.230719,0.194230,0.033689,0.386999,-0.466126,0.072127,-0.154193,-0.114255,-0.006373,0.154515,0.179207,0.248068,-0.234082,-0.093848,-0.192464,-0.486411,-0.086066,-0.041266,0.203701,-0.015902,0.119315,0.246211,-0.138016,-0.219419,0.418705,0.214562,-0.367975,0.047791,-0.154488,0.039225,-0.411150,0.217439,0.152885,0.214994,-0.301050,-0.382823,-0.184068,0.160560,0.070071,0.298339,0.081752,0.302847,0.108522,-0.009546,-0.285327,-0.046374,-0.079462,0.109724,0.052569,-0.073417,0.067559,-0.133055,-0.590097,0.198124,-0.070810,-0.246684,0.535506,0.259472,-0.027046,-0.115812,-0.082123,0.000992,0.476037,0.056665,0.115115,0.292740,0.338158,-0.172452,-0.089802,0.387165,0.027704,-0.205999
