word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
volvo,company,72.000000,72.000000,0.000000,true,0.217071,-0.189463,-1.307089,-0.009358,-0.133276,-0.137237,0.201108,0.123732,-0.391962,0.215642,-0.850008,0.152386,-0.461221,0.275609,-0.090329,-0.440173,-0.401876,-0.154994,-0.160970,-0.821959,-0.176015,0.216491,0.361763,-0.077504,0.095840,0.178321,0.585801,0.295187,-0.482466,0.225320,-0.153427,0.251266,-0.607609,0.519745,0.054837,0.442192,0.231945,-0.459457,0.219710,-0.410620,-0.004277,0.167491,0.370212,0.145228,0.234414,-0.369704,-0.102522,-0.007934,-0.415690,0.052304,-0.063071,-0.167933,0.068616,-0.122355,-0.161700,-0.362519,0.476444,-0.053438,-0.250450,0.104017,0.352427,0.249451,-0.310736,-0.123342,0.041091,-0.108706,-0.199976,0.127133,0.205298,-0.100501,0.240235,0.127209,-0.128959,-0.126542,0.411614,-0.191300,-0.190056,0.104939,-0.416328,-0.370668,0.261545,-0.549906,0.216784,0.599072,0.111627,-0.356192,-0.588213,0.036790,-0.028929,0.190905,0.257401,0.190009,-0.623118,0.159983,-0.207256,0.602841,-0.083029,0.137943,0.206519,-0.195937
hennes & mauritz,company,70.000000,70.000000,0.000000,true,-0.150408,0.502406,0.444465,0.135539,0.841677,0.513509,0.007645,0.104762,-0.526538,0.141416,-0.108440,0.260058,-0.097970,-0.512040,-0.179528,-0.131449,0.092538,0.291693,-0.157807,-0.032413,-0.113269,-0.063700,0.138852,0.266011,0.421254,-0.155869,-0.063659,-0.059647,-0.096783,-0.064257,-0.063458,0.128173,-0.260120,-0.237374,0.107661,-0.271690,0.077990,0.002430,0.167887,0.092114,0.042242,0.050247,-0.178540,0.209424,0.024057,0.217343,-0.305453,-0.137269,-0.122180,-0.191714,0.095587,-0.125695,-0.004542,-0.265474,-0.109633,-0.058348,0.051492,0.168508,-0.302576,-0.126373,0.091936,0.088814,0.045285,0.079286,0.041584,-0.244830,0.258448,0.327825,0.260038,0.118886,0.100854,0.006373,0.199713,0.131499,-0.134502,-0.008980,0.004814,0.148317,0.260925,-0.171222,-0.123911,-0.160155,0.148638,0.099281,0.031903,0.208310,0.140008,-0.002980,0.084705,-0.113279,0.051706,-0.387599,0.181614,0.180984,0.095496,0.203646,0.029562,-0.240594,-0.052538,-0.158777
oredssons,company,6.934545,6.934545,0.000000,false,0.319908,0.831692,0.341936,0.155476,1.171343,0.463251,-0.424353,-0.451637,-0.776101,-0.090345,-0.245169,-0.346585,0.415744,-0.458471,0.305519,-0.538598,0.137336,0.896202,-0.840536,-0.061443,-0.205969,-0.404930,0.004482,1.203445,0.505180,-0.552138,0.100696,-0.631127,-0.522038,0.360783,-0.458971,0.374422,0.149484,-0.209354,0.505986,-0.072247,0.235062,0.083819,0.806237,0.473017,-0.245797,0.065873,0.117127,-0.112953,0.403389,0.408489,-0.113563,0.233025,-0.390741,-0.283851,-0.195085,-0.108665,-0.198602,-0.009176,-0.173849,0.092174,0.395776,0.064032,-0.114712,0.279745,-0.401963,-0.133626,-0.055038,0.041893,0.228620,-0.385253,0.049533,0.038439,-0.115433,0.145566,-0.117330,-0.149087,0.422329,-0.131450,-0.199622,0.041095,-0.097410,0.258755,0.218345,-0.157073,0.253207,0.508817,-0.488474,0.006673,-0.125828,0.090364,-0.073810,0.302864,0.205913,-0.362838,0.108833,-0.132343,-0.117540,0.117436,0.540122,0.532302,-0.171692,0.257355,-0.275814,-0.063429
lindbergs,company,6.231920,6.231920,0.000000,false,-0.488921,0.557537,0.326214,0.231914,0.592278,0.584795,-0.890697,0.762954,-1.088819,0.329529,0.063299,-0.469776,-0.149749,-0.068281,0.244949,-0.158993,0.258958,0.109194,-0.267734,0.284645,-0.282119,0.067630,0.119185,0.747226,0.251297,-0.355362,-0.115256,-0.517408,-0.565554,0.298981,0.057329,0.017636,-0.195824,0.071863,0.140121,-0.042981,0.386531,0.307527,0.223461,0.277522,-0.199919,0.152422,0.145379,-0.068144,-0.027782,0.397244,0.436103,0.251043,-0.703726,-0.094178,0.067207,-0.251783,-0.087056,-0.528839,-0.319327,-0.206185,0.387863,-0.028095,-0.539976,0.103844,0.179074,0.431830,-0.131411,-0.269484,0.399015,-0.597393,0.223003,-0.048556,0.023849,-0.398566,-0.553403,0.287775,-0.026133,-0.106014,-0.377587,0.123574,0.178735,0.005819,-0.245959,-0.246689,0.046531,-0.124560,-0.307271,0.068320,-0.030820,0.132007,0.130945,0.092664,0.186036,-0.055691,-0.030614,-0.186418,-0.274389,-0.071767,0.037738,0.581569,0.143057,0.206060,-0.073419,-0.048657
christines,company,5.998622,5.998622,0.000000,false,0.019606,-0.111332,0.377292,-0.029567,1.307096,0.566636,-0.294122,0.428197,-0.575260,0.240645,0.306557,-0.527064,-0.384697,-0.786155,-0.563876,-0.269356,-0.325328,0.141718,-0.476459,-0.126930,0.459885,0.177156,0.325291,-0.134272,-0.022612,-0.278345,-0.214402,0.059190,-0.029939,-0.637947,0.130547,-0.182920,-0.113346,0.304059,0.377725,-0.157481,0.236582,-0.230360,0.409021,-0.111022,0.093153,0.233840,0.117023,-0.110350,0.269381,-0.072669,0.042144,0.303990,-0.275922,0.226570,0.011165,-0.095702,0.305309,-0.740302,-0.447805,0.075461,0.375153,0.127348,-0.740791,-0.108415,0.013326,-0.045879,-0.096791,0.174312,-0.570433,-0.017660,-0.401660,0.135776,0.104315,-0.215025,-0.211432,-0.570861,-0.068657,0.533262,-0.082945,-0.017580,0.111862,-0.139604,0.221425,-0.164367,0.024749,-0.133804,0.186243,0.183266,0.217550,0.392589,-0.138141,0.056912,-0.202784,-0.123256,0.401080,0.360863,0.161989,0.332920,-0.358195,-0.318255,0.263955,-0.029558,0.300983,-0.012137
scandinavian airlines,company,64.000000,64.000000,0.000000,true,-0.666461,-0.358958,-1.419904,-0.395972,0.253515,0.512370,-0.235327,-0.237576,0.176650,-0.100971,-0.588522,-0.089893,-0.035909,0.111058,0.315428,0.537293,-0.353066,0.174098,-0.721801,0.089326,-0.106836,0.116531,0.159424,0.257007,0.243109,0.062963,0.345547,0.576213,0.162733,-0.152716,-0.520056,0.536800,0.045091,0.490416,0.073176,-0.041594,-0.030026,0.004187,-0.086739,0.327925,0.654260,-0.256636,0.073597,0.164804,0.127836,-0.189308,-0.311925,-0.227638,-0.433633,-0.097184,0.201993,0.336257,-0.113780,-0.015420,0.108718,-0.206833,0.534132,0.137489,-0.144469,-0.308937,0.212014,-0.147690,-0.301862,0.102100,0.178688,0.104986,-0.100097,0.425348,-0.246997,-0.544135,-0.031448,-0.108220,0.114763,0.188082,-0.170448,0.232748,-0.029990,0.005602,0.332585,0.407427,0.100404,-0.012735,-0.171007,0.123543,0.213837,-0.099644,-0.219195,0.223715,-0.095929,-0.063861,-0.234243,0.557384,-0.296819,0.549995,0.116057,0.181733,-0.376669,-0.153712,0.039645,0.267015
icelandair,company,6.410664,6.410664,0.000000,false,-0.166222,-0.443350,-1.630366,0.169757,0.444129,0.594120,-0.252078,0.131896,0.006214,0.006414,-0.601839,0.117871,-0.057612,0.188090,0.165746,0.499590,-0.749967,0.138445,-0.864786,-0.251170,-0.096033,0.117353,-0.073871,0.105737,0.104160,-1.000883,0.790723,0.419484,0.158628,-0.188185,-0.271469,0.548912,-0.606216,0.690740,-0.012825,-0.274696,-0.306917,0.647229,-0.082962,0.144222,1.127498,0.065276,0.127618,0.062420,-0.294380,0.055600,-0.349473,-0.140741,-0.445258,0.075163,0.791776,0.011698,-0.249510,0.583694,0.004864,0.490690,0.715880,0.013104,-0.159236,-0.069917,-0.457220,0.495089,0.224296,-0.494670,0.189989,0.389485,0.351831,0.210226,-0.055040,-0.175665,0.286893,-0.574061,-0.182978,0.149337,0.326198,-0.340893,-0.331676,0.089599,-0.157263,0.262459,0.040545,0.356780,-0.460426,-0.171630,0.227978,0.208688,0.336240,-0.216276,0.157189,0.232919,-0.595663,0.536816,0.218425,0.219881,0.176363,0.636860,-0.332555,0.009242,-0.173217,0.328868
wizzair,company,5.892027,5.892027,0.000000,false,-0.526317,0.297343,-1.914358,0.354803,0.116612,-0.320634,0.529420,-0.490525,0.713157,0.290791,-0.773963,-0.422486,0.467539,0.406334,0.090013,0.207314,-0.710345,0.292924,-0.638737,-0.278826,0.594120,0.003880,0.196169,0.511986,0.532359,-0.682819,0.530053,1.266096,0.401635,0.009070,-0.382622,0.504013,-0.066953,0.672145,-0.047424,-0.338053,0.182360,0.562856,0.080153,0.385375,0.399303,0.329417,0.249331,0.571100,-0.384670,0.209426,0.023361,-0.189734,-1.042788,-0.540704,0.246514,-0.201045,-0.406702,0.631303,0.379036,0.171967,0.491716,0.621661,-0.219389,-0.065675,-0.696920,-0.466643,-0.173041,-0.851358,-0.000900,0.422887,0.206298,0.186541,-0.342943,-0.559144,0.094747,-0.404401,-0.212625,0.047828,0.110174,0.090011,0.207946,-0.337033,0.177209,0.359061,0.421671,0.145005,-0.362698,-0.023632,-0.116848,0.190126,0.415840,-0.206295,-0.071931,0.051189,-0.196589,0.439462,0.627226,0.164176,0.086647,0.670735,-0.662855,0.446807,-0.156758,0.481550
internationals,company,5.736122,5.736122,0.000000,false,0.129035,-0.028213,-0.774607,-0.818320,0.299696,0.542404,-0.461328,0.256008,0.220027,-0.500421,-0.694777,-0.234176,-0.032665,-0.074183,0.472192,0.959903,-0.153650,0.355585,-0.471418,0.676939,0.071127,0.191120,0.326609,0.350177,0.312091,-0.289339,0.065836,0.153497,0.299820,0.028645,0.070635,0.095840,0.048933,0.084826,-0.015848,-0.593463,-0.036059,-0.214838,0.462307,-0.027733,-0.127253,0.255806,-0.062198,0.150073,-0.049562,0.612684,-0.378275,-0.082927,-0.227772,0.062873,-0.199713,0.256632,0.057849,0.182536,0.230982,0.287488,0.219798,-0.078625,-0.319003,-0.414548,-0.297560,0.136886,0.192309,0.135144,0.059747,0.345618,-0.392574,-0.211299,-0.100926,-0.013786,0.144029,-0.097791,-0.158128,0.317789,0.023841,0.315086,-0.292133,-0.012178,0.033055,-0.120680,-0.027158,0.045412,-0.137018,0.080632,0.141218,0.000094,-0.221629,0.197510,-0.034291,0.183646,0.011687,0.015300,0.000773,0.481249,-0.124864,-0.010791,0.118294,0.043932,0.316345,-0.012598
ericsson,company,60.000000,60.000000,0.000000,true,-1.168760,1.237984,-0.581010,-0.210416,-0.327582,0.375406,-0.166680,0.329610,-0.195688,0.348548,-0.391168,0.434352,-0.409101,0.017832,0.253973,-0.267036,0.079874,-0.034528,-0.003626,-0.004123,-0.007790,0.190123,0.017986,0.032397,-0.136678,0.062542,0.723206,0.131754,-0.355089,0.311589,-0.140338,0.725426,-0.203650,-0.031068,0.166746,0.050176,-0.271424,-0.368326,-0.220511,0.025630,0.325429,-0.065811,0.429123,-0.316086,-0.202757,0.139377,0.119684,-0.140679,-0.053189,0.111780,-0.178613,-0.085282,-0.139004,-0.484013,-0.059070,-0.117410,0.234060,-0.090089,0.035928,-0.172266,0.232174,-0.022162,-0.018732,0.017521,0.576254,0.400541,0.033182,0.267084,-0.016482,-0.107547,-0.057994,0.099683,0.201582,0.151619,-0.461267,0.209599,0.249436,0.140650,-0.316475,-0.099368,0.175694,0.286029,-0.175637,-0.045029,0.004888,-0.780746,0.391014,-0.138089,-0.111577,0.040262,0.268831,0.104285,-0.307032,-0.236827,0.183647,-0.408906,0.118732,0.334720,-0.240673,-0.130228
