word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
fredagsmys,general,1.000000,0.000000,0.000000,true,0.156788,-0.309094,0.360143,0.864960,-0.130237,-0.237307,0.721039,0.867339,0.583692,-0.029748,-0.322139,-0.544056,-0.178285,-0.038843,-0.268456,0.289370,-0.552830,0.243570,-0.285348,0.406530,-0.083282,0.076054,-0.331517,-0.158070,-0.162090,0.593449,0.453555,-0.085984,-0.377964,0.162871,0.169444,-0.070434,0.122074,-0.147291,-0.184704,-0.228474,0.218366,0.426472,0.373697,-0.010244,-0.140267,-0.177536,0.592603,-0.066901,-0.557144,-0.298658,-0.105112,-0.556543,0.188354,0.270760,0.445046,0.131100,-0.374877,0.078797,-0.364361,-0.093584,-0.010058,-0.321500,-0.027296,0.161322,0.234027,-0.065751,-0.138937,0.063967,-0.252727,0.046746,-0.064301,-0.008370,0.192352,0.182426,-0.179664,-0.509484,-0.266897,0.050563,-0.404250,-0.131311,-0.025711,0.041062,-0.251994,-0.203561,-0.095428,-0.035924,0.133406,-0.532774,-0.085530,0.082823,-0.074303,-0.028443,0.246535,-0.273104,-0.036055,-0.176465,0.002945,-0.085972,0.048258,-0.004231,-0.126510,-0.116937,0.120310,0.020697
fika,general,1.000000,0.000000,0.000000,true,-0.324446,-0.172079,-0.189866,1.164852,0.255742,-0.162200,0.475579,0.586941,0.474583,-0.297026,0.050704,-0.124314,0.022029,-0.080953,-0.064836,0.131403,-0.310246,-0.182281,-0.197771,0.489763,-0.244671,0.377254,-0.757522,-0.174769,-0.081917,0.825558,0.108516,-0.177569,-0.252269,-0.158410,-0.299217,-0.333082,0.127363,0.084401,-0.039090,-0.037575,-0.000341,0.074436,0.110825,0.510476,-0.299642,0.274411,0.485451,0.668175,-0.092736,-0.152133,-0.246002,0.319145,0.011770,-0.264586,0.126561,0.275205,0.463236,-0.150567,-0.429124,0.436448,-0.368535,-0.028287,0.258991,-0.140654,-0.470765,0.189284,0.456950,-0.174177,0.353639,-0.311036,-0.045904,-0.224225,-0.228861,0.617174,-0.241082,-0.017504,-0.110077,0.038839,0.017517,-0.346842,-0.096931,0.155416,-0.446358,-0.379724,0.173238,-0.036216,-0.001880,0.438475,-0.155686,0.324477,-0.122129,-0.293455,-0.268177,-0.123967,-0.189549,0.272080,-0.286532,-0.062722,-0.119676,0.219960,0.056629,-0.120327,-0.175303,0.217086
mello,general,1.000000,0.000000,0.000000,true,-0.632243,-0.183698,0.494009,0.193148,-0.266652,0.309514,0.434002,0.438657,0.389819,0.368338,-0.599347,-0.728440,-0.295045,-0.108976,-0.011805,0.221628,-0.242813,-0.442315,0.223332,0.240311,0.533563,0.302655,0.618810,-0.534443,-0.227023,-0.036757,-0.409446,0.155945,-0.059171,0.110675,0.258702,0.473579,0.533870,-0.439872,0.125724,-0.075933,-0.264491,-0.105568,0.380742,-0.123450,-0.151014,-0.028660,0.008046,0.264377,0.011563,-0.359627,0.048738,-0.156011,-0.160592,-0.093432,-0.393779,0.107331,-0.411005,0.234553,0.100711,-0.007939,-0.259019,0.251423,0.110363,0.184222,0.157546,-0.183186,0.003300,0.455821,-0.339131,-0.488482,-0.060364,-0.186770,-0.276101,-0.131943,0.023327,-0.353791,-0.055391,-0.159316,0.085069,0.220709,-0.242853,0.054447,-0.335058,-0.121993,0.414318,-0.197353,-0.503452,-0.240475,-0.003588,-0.109015,-0.318304,-0.065836,-0.045626,0.443523,-0.191170,0.037748,-0.249784,0.225496,0.070595,0.520392,0.194321,-0.129637,0.250202,-0.080881
eurovisions,general,1.000000,0.000000,0.000000,false,0.437816,-0.077510,0.052608,-0.788332,0.626238,0.649704,-0.572556,0.398029,0.177096,0.046603,-1.196712,-0.802562,-0.262284,0.085956,0.335114,0.390175,0.092096,-0.152439,-0.798910,0.298109,1.028448,0.305037,0.861481,-0.400678,0.059356,-0.155560,-0.265358,0.326655,0.520961,0.187408,0.522684,0.064985,0.952273,-0.485752,0.176165,-0.047042,-0.371215,0.266401,0.136795,-0.729380,0.070002,0.065512,-0.386514,0.005348,0.006099,-0.412712,0.037459,0.002278,0.292988,0.028243,0.014380,-0.121209,-0.330737,0.325276,0.079304,-0.165218,-0.210310,0.106682,-0.011651,0.241780,0.463783,-0.135556,0.320528,0.020194,0.073517,-0.203432,0.246081,-0.476572,-0.106420,-0.270808,-0.137554,-0.313733,0.096199,-0.094879,-0.089999,0.764959,-0.372142,0.256576,-0.207610,0.396316,0.269909,-0.420305,0.110972,-0.216299,-0.008931,-0.058555,-0.065324,-0.167570,-0.176697,0.298645,0.114112,0.377631,-0.438847,0.080996,-0.132121,0.318186,-0.121767,-0.385249,0.286968,-0.176038
mellons,general,1.000000,0.000000,0.000000,false,-0.466857,0.082973,0.623391,-0.459291,0.583275,0.195878,-0.463793,0.198986,-0.396380,0.536685,-0.684691,-0.950278,-0.526178,0.054560,-0.048974,0.141986,-0.057305,0.214529,-0.328752,0.409951,0.638845,0.589059,0.526477,-0.725853,-0.460860,0.012699,-0.469908,-0.501112,0.008021,0.819062,0.370281,0.367265,0.652284,-0.436852,0.281880,0.040406,-0.223500,-0.345389,0.078462,-0.344062,-0.073493,-0.326273,-0.360431,-0.287925,-0.349966,-0.315711,0.090789,0.045891,0.009794,0.100195,-0.349979,-0.257248,-0.475335,-0.101666,0.102252,0.084432,-0.062669,0.418099,0.286127,0.090099,-0.162489,0.004045,-0.145626,0.518282,-0.316128,-0.017514,-0.306719,0.062492,-0.120666,-0.167116,-0.150996,-0.787090,-0.242614,0.604469,-0.014119,-0.067806,-0.413144,-0.478434,0.146325,0.020049,0.414754,-0.330147,-0.071785,0.069245,-0.050626,0.156736,-0.005252,0.326774,0.085080,0.328302,0.121547,-0.071408,0.309488,0.199392,0.328638,0.208235,0.179672,-0.409981,-0.140326,-0.419057
schlagerminne,general,1.000000,0.000000,0.000000,false,-0.409166,-0.177222,0.521220,0.373866,-0.173101,-0.328305,0.321910,0.674806,0.252357,0.222076,-0.587020,-0.758469,-0.348751,-0.139852,-0.568583,0.433345,-0.157600,0.513275,0.476312,0.075611,0.655385,0.483430,0.665701,-0.267697,-0.477764,-0.488866,0.137208,-0.043466,-0.148521,0.204660,0.183892,0.506713,0.652282,-0.041313,-0.060625,-0.304082,0.006801,0.339766,0.106348,-0.162488,-0.286439,0.323893,-0.493802,0.019920,-0.041114,-0.576521,0.294094,0.159056,0.560377,0.494932,0.319124,-0.497789,-0.256598,-0.264784,0.165040,0.053170,0.388993,-0.069430,0.004641,0.071354,0.073191,0.205556,-0.013252,0.458293,-0.112555,-0.157081,0.318549,-0.054116,0.160328,-0.412980,-0.329754,-0.379636,-0.033901,0.039046,-0.067865,0.250881,-0.091201,0.329881,0.027154,0.391574,0.112964,0.073388,-0.104005,-0.050300,-0.071770,0.309709,0.129389,0.088242,-0.053150,-0.048146,0.085263,-0.115075,-0.178479,0.182939,0.005900,0.165274,-0.054762,-0.513389,0.084608,0.445817
snus,general,1.000000,0.000000,0.000000,true,0.479843,-0.126710,-0.284578,0.848105,-0.409082,-0.403517,0.789704,0.151663,-0.182766,0.171833,-0.194452,-0.075846,-0.065455,-0.095386,0.646758,0.434515,-0.040796,0.582235,-0.154964,0.294512,0.240963,-0.676051,0.028819,0.060306,-0.019739,0.358667,-0.092580,0.144848,-0.452036,0.219021,0.140360,0.029366,0.005304,-0.157587,0.730777,-0.325277,-0.180315,0.293140,0.461987,-0.357736,-0.185445,-0.063443,0.042975,0.028737,0.185483,0.288443,-0.469446,-0.103165,0.343908,0.060945,0.026904,-0.426848,0.440264,-0.091191,-0.171998,0.307187,0.009549,0.060527,-0.197741,0.012550,-0.033576,0.134449,-0.153702,0.389045,-0.220985,-0.126560,-0.314614,0.114393,-0.026018,-0.340845,-0.252202,-0.007834,0.059194,-0.310282,-0.071936,-0.200406,0.278877,-0.136697,-0.317292,0.171135,-0.091680,-0.168773,-0.313928,0.275002,0.024923,0.024714,0.125462,-0.048952,0.058735,-0.262859,-0.271630,-0.071677,-0.078823,0.036758,-0.059082,-0.133713,0.020509,0.107768,0.329758,0.498740
nikotinsnus,general,1.000000,0.000000,0.000000,false,1.195351,-0.301943,-0.354749,0.154723,-0.568357,-0.037429,0.605847,0.396649,-0.068793,0.441225,0.516666,-0.250497,0.223687,0.364315,0.259665,1.470787,-0.503114,0.461422,-0.200616,0.627278,-0.245245,-0.718357,0.315880,-0.276578,0.031799,-0.876532,-0.146412,0.007114,-0.821791,0.586561,0.382985,-0.674382,0.388293,-0.033160,0.611093,-0.540118,-0.146348,-0.350768,0.883889,-0.374341,0.219582,-0.189983,0.217407,0.238601,0.338861,0.407231,-0.135769,-0.225077,0.239294,0.054837,-0.014725,-0.427048,0.363141,0.064874,0.258548,0.496465,-0.261814,0.234357,-0.019399,0.093827,0.232748,0.294942,-0.202875,0.343061,0.546366,-0.139464,-0.302178,-0.124416,0.147210,-0.282148,-0.403010,-0.118782,0.217644,0.277013,0.063365,0.044009,0.581008,-0.107364,-0.562851,-0.040038,-0.456072,-0.265968,-0.160112,0.243254,-0.061970,0.030450,0.324802,-0.121542,-0.097714,-0.645364,-0.306726,-0.153698,-0.324890,0.159509,0.180508,-0.067906,-0.065510,0.088793,0.372218,-0.015573
dioxin,general,1.000000,0.000000,0.000000,false,1.073955,-0.274819,-0.693997,0.902635,-0.061007,-0.998180,0.812708,-0.086510,-0.201163,0.421149,0.859842,-0.027891,-0.709200,-0.015664,0.759764,0.724580,0.037437,0.307031,0.068029,0.229406,-0.139796,-1.335899,0.422300,-0.633224,0.032075,-0.465290,-0.477481,0.042484,-0.635565,-0.283977,0.240901,-0.048041,1.121372,-0.132110,-0.421544,-0.134560,-0.065573,0.651207,0.150184,-0.778545,0.265304,0.142813,-0.423327,-0.329679,-0.047182,-0.061108,0.021861,-0.438704,0.321482,0.090974,0.288631,-0.162351,0.163327,-0.342271,0.364085,-0.665254,0.218185,0.433818,0.042626,-0.905777,0.233584,0.228291,-0.180366,0.696754,-0.103959,-0.396386,-0.098259,0.397038,0.336532,-0.467251,-0.184777,0.180252,-0.000396,-0.946811,-0.002558,0.285487,-0.260687,-0.090050,-0.335717,0.301475,-0.260200,-0.162587,-0.095024,0.260942,-0.100430,0.390332,0.160981,0.149434,0.867957,0.136403,-0.120883,-0.606033,0.424205,-0.104374,0.265021,0.145014,-0.047703,0.097948,0.507713,-0.062477
swish,general,1.000000,0.000000,0.000000,true,-0.069585,-0.073473,-1.444512,0.083338,-0.164923,-0.181612,0.810217,0.313540,-0.436474,-0.079703,0.428492,-0.090116,0.939062,-0.615204,0.644849,-0.412421,-0.259300,0.347385,0.893506,0.372878,0.395591,1.207353,0.069124,-0.009985,-0.433867,-1.110171,0.277785,-0.334694,-0.127784,-0.038561,-0.147923,-0.140853,0.475310,0.338201,0.112628,0.289504,0.022487,0.334928,-0.187612,-0.124177,-0.062587,0.077105,-0.633913,0.484270,-0.668536,0.405333,0.021810,1.080728,0.707875,0.349685,0.076113,-0.403291,-0.588749,-0.012336,-0.384270,0.090529,0.175537,0.366524,0.448354,-0.768812,-0.488583,0.542726,0.252596,0.449196,-0.520248,-0.690741,-0.099671,0.619318,-0.563965,-0.343827,0.308761,-0.381383,-0.047792,-0.704370,0.381972,0.673961,-0.441385,-0.433616,-0.117473,-0.720748,-0.086012,0.049947,-0.065941,-0.243549,-0.404530,-0.025232,0.218291,-0.659377,0.449028,-0.602986,-0.284902,0.408124,-0.408761,-0.076868,0.032530,0.669150,-0.002954,0.344825,-0.304844,0.757003
