word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
tetris,game,91.000000,91.000000,0.000000,true,-0.996739,-1.480542,0.051925,0.067173,-0.223047,0.362402,-0.075248,0.286081,-0.578526,0.915774,-0.295396,0.463434,-0.077368,0.018976,0.375730,-0.474155,0.423491,-0.163357,0.499443,-0.144408,-0.471094,0.920114,-0.350228,0.084750,0.210647,-0.061981,-0.013249,0.177767,0.097151,0.508439,-0.093188,-0.565585,0.291525,-0.080055,-0.308627,0.148912,-0.136175,0.660180,0.608028,0.303699,0.171074,0.125336,0.264934,0.351059,-0.207986,0.297615,-0.409307,0.237151,-0.091229,0.044366,0.026229,-0.500802,-0.055972,-0.361371,-0.590377,0.446717,0.403016,-0.070302,-0.574128,-0.264132,-0.263789,0.285909,-0.092191,-0.086690,0.101728,-0.342946,-0.283026,0.226380,0.544254,-0.067859,-0.420809,-0.062130,0.040317,-0.126448,-0.214258,-0.217894,0.344578,-0.315663,-0.293438,0.063747,-0.168238,0.207628,-0.177281,-0.735876,-0.054920,-0.134992,-0.340022,-0.143681,0.030327,0.116835,0.074221,-0.225654,0.313729,0.217295,0.037476,0.471322,-0.264636,0.213464,-0.667996,0.515759
västerboflashdance,game,6.583252,6.583252,0.000000,false,-1.804840,-0.492779,-0.583121,-0.315652,0.099097,-0.655685,0.756486,0.799141,-0.339668,0.927139,0.431281,0.141690,-0.380408,0.086484,-0.022565,-0.632858,0.926401,-0.235789,0.367486,0.743831,-0.519109,0.590448,-0.703111,-0.689576,1.152586,-0.380553,-0.626239,-0.107071,-0.255851,-0.295432,-0.293010,-0.428411,0.264485,0.295191,-0.398183,0.165112,-0.090346,-0.131100,-0.021019,0.293667,0.162933,-0.007782,0.280370,0.266717,-0.033327,0.505490,-0.146019,-0.151374,-0.133767,0.186972,0.712323,0.017822,0.147166,0.111275,0.236159,0.147158,0.746864,-0.312342,0.692477,0.033486,-0.096882,-0.133247,-0.303950,0.157072,-0.018111,-0.298464,0.590634,0.166031,-0.182618,-0.162906,0.144225,-0.203513,0.134512,-0.351925,-0.354280,-0.284927,0.228774,0.157845,-0.150403,0.030844,0.140292,-0.023397,-0.036702,-0.661767,0.245740,-0.215235,0.163114,-0.283907,-0.108262,0.192713,0.167344,-0.178730,0.770110,-0.344567,-0.100401,0.213846,-0.244660,-0.041822,0.222770,-0.177295
super mario bros,game,76.000000,76.000000,0.000000,true,-1.205234,-0.580616,-0.229780,-0.450897,-0.434202,0.503804,0.095878,-0.145824,0.007541,0.183182,-0.446070,0.190956,-0.302594,-0.069694,0.170072,-0.068496,-0.083206,0.018633,0.146617,0.171558,-0.437942,-0.038415,-0.275448,0.107267,0.145362,0.059780,-0.154287,0.033641,0.003968,-0.136160,-0.246328,-0.583657,0.114961,-0.373155,0.032334,0.101476,-0.242142,0.007823,0.046038,-0.168938,0.024217,0.158230,0.065888,0.002850,-0.019906,-0.004613,0.110502,-0.179755,-0.080579,0.265108,-0.308824,-0.155231,-0.218724,-0.030905,-0.079579,0.139051,0.149242,0.253352,0.016256,-0.053696,0.028164,0.507614,0.148723,0.047437,-0.005903,-0.130399,-0.180186,0.084063,-0.161701,0.212152,-0.236513,0.092166,0.261692,-0.183920,-0.010153,-0.257703,-0.139993,-0.013449,0.011931,0.338738,-0.013538,0.129034,-0.216379,0.268573,-0.167780,0.047517,0.158947,0.184690,-0.048556,-0.234506,0.074701,-0.208659,0.023559,-0.065776,0.108714,0.377735,0.052382,0.478447,-0.200980,0.398855
earthspark,game,6.246731,6.246731,0.000000,false,-0.872226,-1.301204,-0.420141,-0.661306,0.061329,-0.019299,0.016135,-0.822492,0.311440,-0.231527,0.187961,-0.082270,-0.394978,0.482690,-0.063460,-0.225327,-0.140639,0.037540,-0.245430,-0.592098,-0.713349,-0.289609,-0.094460,0.181838,-0.618646,0.127015,-0.541569,0.438979,0.098585,0.129538,-0.465238,-0.187130,0.522823,0.109644,-0.586269,-0.135489,-0.461580,0.100030,-0.590162,0.123496,0.059828,0.091733,-0.318752,-0.401648,-0.044068,0.362846,-0.386218,-0.134198,-0.478749,-0.062876,0.144065,0.180389,0.095956,-0.003396,-0.455583,0.059648,0.182805,-0.047962,0.325691,0.285136,-0.005362,0.174620,-0.977408,-0.313882,-0.081788,-0.215653,-0.024699,0.351979,-0.192551,-0.088117,-0.115742,0.342246,-0.180426,-0.352355,0.067019,0.158715,-0.468089,0.211619,0.106392,-0.475352,0.242623,-0.154868,0.191878,-0.075089,-0.118306,0.025953,-0.063766,-0.253453,-0.025378,0.094609,-0.150690,-0.280648,-0.227369,-0.000521,0.177587,-0.008760,-0.105790,-0.513500,-0.051890,0.280387
pokémon go,game,75.000000,75.000000,0.000000,true,-0.558863,-0.313145,0.315704,0.009280,-0.394506,-0.082812,0.166366,0.084879,-0.170570,-0.276913,-0.240004,-0.164544,-0.250059,-0.176199,0.229005,0.131362,0.076420,0.208830,0.046006,0.172838,-0.105795,0.155530,-0.057824,-0.236327,0.026059,-0.041422,0.034843,-0.152066,0.333775,-0.282269,0.044932,0.020628,0.052733,-0.219729,0.187372,-0.054337,0.178801,-0.255435,-0.225907,0.152879,-0.397088,-0.179937,0.144165,0.119571,0.313733,-0.029170,0.063873,-0.050066,0.054839,-0.016838,-0.122684,-0.045396,0.062808,0.024891,-0.236079,-0.006565,0.071451,0.004337,0.208680,-0.024106,-0.104648,-0.011621,-0.017522,0.114500,-0.080704,0.095246,-0.085951,0.081604,-0.066037,-0.057105,-0.071692,-0.077259,-0.042301,-0.033718,-0.144061,0.133369,-0.092104,0.044321,-0.052589,0.112322,-0.231682,-0.065120,-0.099507,0.058204,-0.094412,-0.205340,-0.033355,0.106600,-0.045658,-0.241418,0.101953,0.271313,0.075777,-0.003407,0.137613,-0.021247,-0.048298,-0.096749,-0.126439,-0.131589
mescalin,game,5.998201,5.998201,0.000000,false,-1.357459,-1.194097,0.105471,-0.319281,0.277723,-0.074810,0.531600,-0.121230,0.328394,0.357923,0.781323,-0.145196,-0.650540,0.217764,0.423401,-0.008013,0.475175,0.283043,-0.372075,0.240825,-0.149344,-0.475569,-0.230647,-0.397046,0.248641,0.160183,0.072819,-0.080899,-0.118013,0.050840,-0.092601,-0.046959,0.274336,0.105478,0.495916,0.083936,0.158658,0.338846,0.037542,0.104836,0.176813,-0.305928,0.152233,-0.243773,0.242523,-0.113597,-0.045244,0.197997,0.326327,-1.070579,0.100901,0.354500,0.037405,-0.248539,-0.179704,-0.162764,0.415116,-0.206439,0.591844,0.481950,-0.406206,0.257335,0.060356,0.247113,0.010640,0.209996,0.643970,-0.248460,-0.298410,0.014759,0.412052,0.240439,0.241412,-0.464327,-0.178130,0.597450,0.595815,-0.047721,-0.161881,-0.249448,0.117747,-0.177119,-0.406495,-0.004393,-0.399814,-0.389423,-0.050995,-0.579506,-0.736580,-0.400002,-0.130198,-0.285380,-0.212564,0.066154,0.336577,0.401950,0.048233,0.291719,0.017584,-0.486536
mostpeoplearegood,game,5.426510,5.426510,0.000000,false,-1.783151,-0.410343,-0.745537,-0.525675,-0.037533,-0.611125,0.556540,0.510319,0.492932,0.275151,0.155513,0.026364,-0.124324,0.363810,0.112161,-0.305511,0.782955,-0.343932,0.668838,0.029746,-0.590243,0.798185,-0.659053,-0.564781,0.648972,-0.420900,-0.279490,-0.859401,0.057671,-0.270923,0.014173,0.001755,0.188408,-0.228630,-0.026211,0.450033,0.331104,0.097006,0.376091,0.034538,-0.094348,0.302489,-0.183431,0.397374,0.206781,0.651690,0.063149,-0.229645,-0.185371,-0.367099,0.319796,0.373757,-0.196056,0.135302,0.099750,0.087516,-0.427520,-0.051421,-0.214089,0.109376,-0.217845,0.222538,-0.148499,0.264194,-0.253457,0.167304,0.381090,0.431288,-0.189049,0.017443,-0.164726,-0.067442,0.311997,0.072331,-0.362158,0.427924,0.094931,-0.465677,0.205581,-0.654133,0.053628,-0.222759,0.223330,0.286428,-0.285686,0.067372,-0.366624,-0.016041,-0.214997,-0.092120,0.117660,-0.229803,0.049557,0.071388,-0.269398,-0.452571,0.168273,-0.197619,0.171650,-0.044117
the elder scrolls v: skyrim,game,67.000000,67.000000,0.000000,true,-0.772382,-0.882913,-0.399836,-0.542490,-0.302708,0.286849,0.115039,0.148169,-0.138353,0.114389,-0.320272,-0.087008,0.064016,0.166385,0.238243,0.046525,-0.156933,-0.219702,0.548710,0.249967,-0.460588,-0.102729,-0.471813,0.217677,-0.141329,0.125804,0.042312,0.071034,-0.104213,-0.358988,0.009035,-0.310451,-0.179628,-0.287627,-0.329836,0.099938,-0.317992,0.132472,0.130440,-0.154095,-0.314115,-0.002543,-0.027378,0.005703,0.078156,-0.012765,0.338274,-0.017748,0.132262,-0.027649,-0.102966,-0.102081,0.193071,0.292531,0.034672,-0.138962,0.076089,0.211032,-0.224641,-0.057265,0.350019,0.147348,-0.021389,0.102486,-0.161264,0.007171,0.182889,-0.177822,-0.102675,0.090734,0.059418,-0.147360,0.056927,-0.110467,-0.027201,-0.064249,-0.046502,0.047804,-0.049719,-0.264976,-0.028747,-0.091624,0.039720,0.076567,-0.087319,0.168108,-0.068289,-0.025634,-0.023150,0.213777,0.195535,0.044094,0.045007,-0.267828,-0.082048,0.207788,0.014266,0.027684,0.013870,0.055232
dota 2,game,60.000000,60.000000,0.000000,true,-0.836154,-0.267203,-0.778462,-0.967780,-0.237685,0.370037,-0.367322,-0.064002,0.163666,0.253758,-0.983637,0.076776,0.016794,-0.133726,0.345222,0.450915,-0.184522,-0.538963,0.396030,0.155766,-0.044696,-0.158678,0.242476,-0.268394,-0.308999,0.360164,0.321837,-0.323446,-0.406921,0.292753,-0.045640,-0.683783,0.083140,0.007041,-0.056865,-0.445252,-0.384007,0.661325,0.168522,-0.113276,0.079016,-0.329682,0.049432,0.149451,0.258068,0.327307,0.659957,0.059515,-0.381608,-1.331123,-0.204897,0.179737,0.200572,0.135205,-0.177771,-0.119795,0.423126,0.202990,-1.140336,-0.284033,-0.380163,0.118719,-0.357461,0.186386,-0.529433,-0.323761,0.500634,-0.481019,-0.570151,-0.418572,0.062817,0.219598,-0.357073,-0.356485,-0.275171,0.506056,-0.227571,-0.376607,0.056336,-0.093287,0.512900,-0.130412,-0.247000,-0.094854,-0.300458,-0.749897,-0.634259,0.062215,-0.120710,-0.091970,0.369097,0.062745,0.080121,0.255908,-0.284076,0.046375,-0.324250,-0.062155,0.331044,0.055594
direktchampions,game,4.233834,4.233834,0.000000,false,-0.872607,-0.416716,-1.203886,-0.242394,-0.776667,-0.146148,-0.474069,-0.496329,0.866837,-0.182836,-0.582678,-0.770343,0.442016,-0.241372,-0.337527,0.358373,-0.241945,-0.669868,0.033767,-0.064493,-0.037237,0.287135,0.395881,0.074961,0.159740,-0.125720,-0.245834,0.257946,-0.150563,0.339698,-0.609475,-0.195664,0.075057,0.141875,0.309306,-0.075689,0.080423,-0.047932,-0.362749,-0.031960,0.086390,0.016087,0.508059,0.160839,0.169800,0.203468,0.231349,-0.384603,-0.113292,-0.182269,-0.414004,0.415996,-0.012671,0.163848,-0.219876,0.362133,0.804734,0.013740,-0.503017,0.051913,0.371435,-0.009690,-0.323222,-0.259568,-0.507423,0.254056,0.165324,0.007806,-0.100914,-0.321307,0.192909,-0.123742,-0.049286,0.073910,0.532072,0.637428,0.212722,-0.391538,-0.278642,-0.085151,-0.052540,-0.294879,-0.087509,0.281099,-0.088982,0.251173,0.061237,0.437561,-0.085286,0.163584,-0.013935,-0.170317,0.208411,-0.131759,-0.103154,0.164444,0.091748,-0.022880,0.184757,-0.348994
