Word,Vector
Sverigedemokraterna,-0.06240415573120117 0.01009951252490282 0.03396516665816307 -0.010111239738762379 -0.029719693586230278 0.008352270349860191 0.01260021049529314 -0.028147535398602486 -0.008867515251040459 0.0005396604537963867 -0.031224654987454414 0.0028473022393882275 0.04436526075005531 0.013170464895665646 0.0019266518065705895 0.02491210773587227 -0.010494319722056389 -0.026362726464867592 -0.048947982490062714 -0.010852955281734467 0.020914647728204727 0.032737940549850464 0.014334970153868198 0.015674082562327385 0.007594647351652384 -0.023744352161884308 0.011750191450119019 -0.01698223687708378 -0.0025497497990727425 0.005601172801107168 -0.0006583477952517569 -0.039349183440208435 -0.02558336779475212 0.029852820560336113 0.022703096270561218 0.015152118168771267 0.025426441803574562 0.020359830930829048 -0.01651260256767273 0.0018114274134859443 0.024143323302268982 0.020461754873394966 -0.008275958709418774 0.0881444662809372 -0.004655638709664345 0.00445936294272542 0.03313155472278595 0.0014907196164131165 -0.004091492388397455 0.010611948557198048 -0.020950831472873688 -0.010200371034443378 -0.006355872843414545 0.008217187598347664 0.012075673788785934 0.016069216653704643 -0.009345733560621738 0.013515084981918335 -0.009747781790792942 -0.02003357745707035 0.0032185951713472605 -0.005996592342853546 -0.003570720087736845 -0.012030095793306828 0.01688007079064846 -0.024149322882294655 -0.009852997027337551 -0.004581383429467678 0.018205080181360245 -0.002909234957769513 -0.016245609149336815 0.012028343975543976 0.005492614582180977 0.0027867001481354237 -0.016857409849762917 -0.002813108032569289 -0.012064306065440178 0.004417073912918568 0.0002845082781277597 -0.004664785694330931 0.010189934633672237 -0.013596764765679836 0.015070446766912937 -0.012991917319595814 -0.003705669194459915 0.023514918982982635 -0.0006435310933738947 -0.011207717470824718 0.0025759427808225155 0.031213432550430298 -0.01168154738843441 -0.013446114026010036 -0.0005100618000142276 -0.005893666762858629 -0.004107899963855743 0.018184779211878777 0.003509811358526349 -0.013046632520854473 -0.019296253100037575 -0.005354986526072025
Familjen Lundell,-0.02820647321641445 0.0415906123816967 0.006215197965502739 -0.005607129540294409 0.00039841822581365705 0.033544182777404785 -0.013447137549519539 0.03168678283691406 0.014733168296515942 0.018072225153446198 -0.03697440028190613 -0.036433733999729156 0.01871483400464058 -0.014730148017406464 0.0028850079979747534 -0.008608309552073479 0.020503833889961243 -0.019415825605392456 -0.026095855981111526 -0.017406318336725235 -0.016202393919229507 0.0017203721217811108 0.008347275666892529 0.011599595658481121 0.002907506423071027 0.006480351556092501 0.005661401432007551 0.008223304525017738 0.0027653384022414684 -0.005539463832974434 0.006338697858154774 0.015583890490233898 0.012873136438429356 0.02000047266483307 0.009951899759471416 -0.004794886335730553 0.02512512169778347 0.022532708942890167 -0.0117996446788311 0.003431515069678426 0.011777382344007492 0.014590026810765266 0.0051185316406190395 0.14492236077785492 -0.027193747460842133 0.0547076053917408 0.003177496138960123 -0.011220831423997879 -0.011789468117058277 -0.013192947953939438 -0.012981430627405643 -0.01540173590183258 0.021439118310809135 -0.011748111806809902 -0.023793404921889305 -0.007553172297775745 -0.0012537159491330385 -0.0012355572544038296 -0.0017513425555080175 -0.013571647927165031 -0.01787085458636284 0.009450755082070827 0.009195438586175442 -0.002301766537129879 -0.03174541890621185 -0.010118509642779827 0.006361224222928286 0.007129226811230183 -0.004637697245925665 0.016916286200284958 -0.00428437814116478 -0.01047992892563343 0.024523308500647545 -0.01881476305425167 -0.025693107396364212 -0.019051015377044678 -0.03346564993262291 -0.0029105194844305515 -0.009987841360270977 -0.009132719598710537 0.012378518469631672 -0.008629731833934784 -0.005062147043645382 -0.003122108755633235 -0.003782047191634774 -0.007529665250331163 0.005316053982824087 0.0011757665779441595 0.0024390965700149536 0.0002195806009694934 -0.023435421288013458 -0.018687855452299118 -0.029375437647104263 -0.003863550955429673 -0.009869897738099098 0.016936790198087692 0.004905653651803732 -0.014515352435410023 -0.023606624454259872 -0.04313042387366295
SVT,-0.3131273686885834 0.3364577889442444 0.33356666564941406 -0.05177284777164459 -0.38834166526794434 -0.18713967502117157 0.09316513687372208 -0.25708332657814026 -0.031491510570049286 -0.05403286591172218 -0.22905509173870087 -0.23878376185894012 0.1314215362071991 -0.00205036997795105 -0.13952158391475677 0.10297617316246033 -0.13073718547821045 -0.10554150491952896 -0.3317641615867615 0.02629893273115158 0.04418431222438812 0.0990566685795784 -0.110369473695755 -0.14801540970802307 -0.07116848975419998 -0.22697001695632935 -0.23358747363090515 0.05479826778173447 -0.1380053609609604 0.035851702094078064 -0.08454284816980362 -0.15445125102996826 0.1642746776342392 0.10225582122802734 -0.01807953603565693 0.07371945679187775 0.24840334057807922 0.08338557183742523 -0.06343890726566315 0.09526228159666061 -0.04738017916679382 -0.18129023909568787 -0.31005263328552246 0.6712579727172852 0.03548313304781914 0.0812494084239006 0.23646846413612366 -0.0011254139244556427 -0.12151625752449036 -0.17170974612236023 -0.20063123106956482 -0.17073342204093933 -0.04151463881134987 0.04272115230560303 -0.048423171043395996 0.10087312757968903 -0.017757732421159744 0.10071289539337158 -0.03332240879535675 0.007742114365100861 -0.21979159116744995 0.2864381670951843 -0.15967467427253723 0.00019052624702453613 -0.15284638106822968 -0.17578402161598206 -0.16430076956748962 -0.05264374613761902 -0.05278073251247406 -0.10367656499147415 -0.11136494576931 -0.02829159051179886 -0.09365642070770264 -0.1244795098900795 -0.1923256814479828 0.041848424822092056 -0.004829023033380508 0.05954534932971001 -0.04407218098640442 0.13643833994865417 0.09889185428619385 -0.1212952584028244 -0.07044326514005661 -0.1849956512451172 -0.15653304755687714 0.049731917679309845 0.16806761920452118 0.07229693979024887 0.04878466576337814 0.1800207495689392 0.019142702221870422 0.06047183275222778 -0.1330147087574005 0.11037851870059967 -0.09800360351800919 -0.017133740708231926 -1.1920928955078125e-06 0.33401426672935486 -0.12810617685317993 -0.12409278750419617
TV4,-0.2978140711784363 0.34351009130477905 0.32459771633148193 -0.025911960750818253 -0.35041752457618713 -0.16133959591388702 0.15119320154190063 -0.17877373099327087 -0.1849382519721985 -0.02635093778371811 -0.14528128504753113 -0.3202546238899231 0.24453780055046082 -0.0718347355723381 -0.13796237111091614 0.10474254190921783 -0.13636568188667297 -0.11419513821601868 -0.2960960865020752 0.004560289904475212 0.09625089913606644 0.03569701313972473 -0.13570088148117065 0.04956425353884697 0.005649559199810028 -0.20314109325408936 -0.2800494432449341 0.06245160102844238 -0.17316308617591858 -0.010645993053913116 0.046852368861436844 -0.2450195848941803 0.02266102284193039 0.024394571781158447 0.0020895395427942276 0.13560359179973602 0.16165880858898163 0.25584107637405396 -0.15285858511924744 0.13669317960739136 -0.1636873483657837 -0.37135982513427734 -0.10564850270748138 0.6748077273368835 0.006279394030570984 0.10232643783092499 0.3077959418296814 0.0025264769792556763 -0.013835247606039047 -0.1747024655342102 -0.24679803848266602 -0.24508588016033173 -0.16993136703968048 0.08644019812345505 -0.026791125535964966 -0.06848129630088806 0.0207313671708107 0.0953332930803299 0.0045349933207035065 0.034980408847332 -0.30251970887184143 0.4276227355003357 -0.12836205959320068 0.12974604964256287 -0.1572808027267456 -0.12689509987831116 -0.256201833486557 -0.23499301075935364 0.02321745827794075 -0.057129718363285065 -0.047037698328495026 0.02807486802339554 -0.022262591868638992 -0.0885220468044281 -0.16550850868225098 0.004994262009859085 0.01628270372748375 0.04407310485839844 -0.08113354444503784 0.1421067863702774 0.015374904498457909 -0.14202064275741577 -0.21419981122016907 -0.24631749093532562 -0.1734570413827896 0.032622866332530975 0.09570968896150589 0.04842795059084892 0.030450202524662018 0.16507486999034882 0.014595936983823776 0.04946308210492134 -0.05850968882441521 0.07407234609127045 -0.09389179944992065 0.01585581712424755 0.05888805165886879 0.2862832248210907 -0.14316481351852417 -0.20877134799957275
Aftonbladet,-0.05984910950064659 0.05230157449841499 0.041727710515260696 -0.017705680802464485 -0.06196485087275505 0.006299117114394903 0.035202670842409134 -0.03847474604845047 -0.011677093803882599 0.04116273298859596 -0.034304503351449966 -0.06798931956291199 0.037957485765218735 -0.0060365772806108 -0.03771445155143738 0.0185623187571764 -0.01552044041454792 -0.008113289251923561 -0.06023281440138817 0.0011767352698370814 0.0365837924182415 0.009315941482782364 -0.02549428679049015 -0.025168893858790398 -0.008851050399243832 -0.042418964207172394 -0.039548587054014206 -0.02254016511142254 -0.00215166830457747 0.017262816429138184 0.017947109416127205 -0.06222357228398323 0.017912542447447777 -0.015327097848057747 -0.0179074015468359 -0.011084756813943386 0.016353627666831017 -0.004058795515447855 -0.032630909234285355 -0.008411730639636517 -0.010053728707134724 -0.012835863046348095 -0.020614711567759514 0.13199323415756226 -0.003589117666706443 0.010037334635853767 0.034695323556661606 -0.013026798143982887 -0.0330301858484745 -0.030773961916565895 -0.03579537570476532 0.006375286262482405 0.028147468343377113 -0.008959163911640644 -0.007920335046947002 0.010263371281325817 -0.01971510797739029 -0.005210496950894594 0.010575751774013042 -0.01944480836391449 -0.02071511559188366 0.03709396347403526 -0.004314738791435957 0.0075421929359436035 8.469541171507444e-06 -0.049963101744651794 0.0007339619332924485 -0.035705432295799255 0.039651643484830856 -0.01784072443842888 -0.022886425256729126 0.006078467704355717 0.010252445936203003 0.009037311188876629 -0.005187192466109991 -0.016520611941814423 -0.0036277712788432837 0.005114992149174213 0.01579594798386097 0.010285227559506893 0.04872966930270195 0.03166278079152107 -0.000841940229292959 -0.02167651057243347 -0.008392988704144955 0.04701212793588638 0.02351999096572399 0.022071991115808487 -0.018849346786737442 0.030080562457442284 -0.00356049626134336 -0.011650866828858852 -0.010562809184193611 0.004882197827100754 -0.00562185887247324 0.02235894650220871 -0.009194361977279186 0.020146531984210014 -0.03351619839668274 -0.038944095373153687
Sveriges Radio,-0.04172777757048607 0.05199279636144638 0.02862360328435898 -0.021381288766860962 -5.011508983443491e-05 -0.02532593160867691 0.011418512091040611 -0.023535549640655518 -0.023036714643239975 -0.00920704286545515 -0.026144951581954956 -0.03051619790494442 0.0024639684706926346 -0.029376961290836334 -0.0028961249627172947 0.00898455549031496 0.028575599193572998 -0.006095993798226118 -0.04892059788107872 0.021744495257735252 0.011572856456041336 0.01630229689180851 -0.013567088171839714 -0.0021727397106587887 0.004696432501077652 -0.005860568955540657 0.00199520168825984 0.008755701594054699 0.009334433823823929 -0.000352972187101841 0.0347972996532917 -0.03380594402551651 -0.012249840423464775 0.04442628473043442 -0.014642658643424511 0.03953274339437485 0.02790714055299759 -0.0044782026670873165 0.01933414861559868 0.005781668704003096 -0.016268227249383926 0.017210599035024643 0.007702087517827749 0.22317075729370117 0.06410139054059982 0.07821103930473328 0.019817637279629707 0.0003043323231395334 -0.0064896270632743835 -0.016687428578734398 -0.03439314290881157 -0.019390031695365906 0.010119305923581123 -0.001482079504057765 0.005831927992403507 0.008685624226927757 0.0038281590677797794 0.0023864402901381254 0.01636560447514057 -0.0074430303648114204 0.021842792630195618 0.010503246448934078 -0.018858570605516434 -0.021962661296129227 0.001545832841657102 -0.01780705526471138 -0.0035012410953640938 -0.00206425110809505 -0.03694496676325798 0.004076537676155567 0.008429628796875477 -0.00500782486051321 0.0224403478205204 -0.02303687110543251 -0.044593196362257004 -0.017955375835299492 -0.025556355714797974 -0.026845483109354973 -0.0016094337916001678 -0.0012246973346918821 -0.003543475177139044 -0.006123512051999569 0.0026693164836615324 -0.01299656555056572 -0.016035154461860657 0.022039007395505905 0.007014093920588493 0.008147706277668476 0.003535466967150569 0.009240183979272842 0.011768782511353493 0.0035056057386100292 0.004193104337900877 -0.003080212278291583 -0.02735098823904991 -0.0006318213418126106 -0.015903256833553314 0.014570153318345547 0.0018677389016374946 -0.034028783440589905
Expressen,-0.07155057042837143 0.07679601013660431 0.04041401296854019 -0.0343286357820034 -0.06366068124771118 0.007726000621914864 0.03936457633972168 -0.03228959068655968 -0.04271374270319939 0.017139624804258347 -0.044070594012737274 -0.08662635833024979 0.035475779324769974 -0.013093823567032814 -0.017193179577589035 0.022197745740413666 -0.017718158662319183 0.009162716567516327 -0.07066340744495392 0.005081331357359886 0.02627081423997879 0.03352871164679527 -0.04544168710708618 -0.03319553658366203 -0.017541319131851196 -0.05132443085312843 -0.03186715394258499 -0.04294135794043541 -0.007834212854504585 0.03740246221423149 0.019037624821066856 -0.07479383051395416 0.025514796376228333 -0.012930121272802353 -0.024420177564024925 -0.005827545188367367 0.03316622972488403 -0.0011311043053865433 -0.04026282578706741 -0.025505967438220978 0.023659512400627136 -0.016815906390547752 -0.03299174830317497 0.18046517670154572 -0.0030455421656370163 0.03800961375236511 0.028054816648364067 -0.009381487034261227 -0.021738983690738678 -0.03572025150060654 -0.05804729461669922 0.016146885231137276 0.0006397155812010169 0.021748516708612442 -0.038321614265441895 0.034632086753845215 -0.04070279374718666 -0.009326707571744919 -0.002796902321279049 -0.010511897504329681 0.01115630567073822 0.008999201469123363 -0.025330591946840286 -0.006638641469180584 0.00040924479253590107 -0.03627903386950493 -0.003575549926608801 -0.0698365867137909 0.03050876595079899 -0.026167811825871468 -0.04465881362557411 0.0034225392155349255 0.013510474003851414 -0.028534630313515663 -0.002776984591037035 -0.02233797498047352 -0.0028779753483831882 0.00036558532156050205 0.02197643369436264 0.007299698889255524 0.059031277894973755 0.027344660833477974 -0.005204862914979458 -0.07476340234279633 -0.024028796702623367 0.03344759717583656 0.035479359328746796 0.0301973819732666 -0.01594669371843338 0.033100325614213943 0.004038825165480375 -0.01875271089375019 -0.032604098320007324 0.019752223044633865 -0.029225941747426987 0.017309805378317833 -0.024384379386901855 0.04683937877416611 -0.04391134902834892 -0.04816703125834465
Polisen,-0.10252749919891357 0.06283485144376755 0.12386173009872437 -0.0955754816532135 -0.06398143619298935 0.017541775479912758 0.04156607761979103 -0.06758534908294678 -0.074297234416008 -0.09793558716773987 -0.05103664845228195 -0.010544536635279655 -0.0107664093375206 0.047407910227775574 0.07489490509033203 0.012748035602271557 0.05179344862699509 0.027404500171542168 -0.10383091866970062 -0.0754888653755188 -0.03657594695687294 0.13787950575351715 0.0022457342129200697 -0.04351120814681053 -0.07781501859426498 -0.04984332621097565 -0.04808352515101433 -0.09726977348327637 -0.0013386340579017997 0.014315049163997173 0.03377464413642883 -0.03365293890237808 0.02335132472217083 0.055466484278440475 0.012690527364611626 0.0018349327147006989 -0.10521026700735092 0.07325710356235504 -0.07300572842359543 -0.03321579098701477 -0.03695793077349663 -0.05010165274143219 -0.079926997423172 0.24653737246990204 0.04383910447359085 0.0082887914031744 0.04549691081047058 -0.011606447398662567 -0.08513011038303375 0.015018284320831299 -0.05371987074613571 0.01597478613257408 0.03761313855648041 -0.016788257285952568 -0.05388474464416504 0.0966329276561737 -0.05555036664009094 0.010559335350990295 -0.0061009349301457405 -0.003792187897488475 -0.04396029934287071 -0.04327860474586487 0.04047778248786926 0.014133831486105919 0.00913234706968069 -0.0789235308766365 0.0607609823346138 0.005238100420683622 -0.08102716505527496 0.08148477971553802 -0.05351654812693596 0.018719784915447235 -0.00440761586651206 -0.03401894494891167 -0.004621441476047039 0.02786318026483059 -0.016232764348387718 0.003980693873018026 -0.044420477002859116 -0.0030280244536697865 0.014789970591664314 -0.014690968208014965 0.038376521319150925 0.042272310703992844 0.052448391914367676 0.0876360684633255 0.10453405231237411 0.03497587889432907 0.04731741175055504 0.020489513874053955 -0.027238300070166588 0.00996516551822424 -0.044273629784584045 -5.974263694952242e-05 -0.02006855234503746 0.04255890101194382 0.03888062760233879 -0.016123462468385696 -0.021047016605734825 -0.07609377801418304
Socialdemokraterna,-0.04760534316301346 0.00785291101783514 0.05461696907877922 -0.029017725959420204 -0.03684249147772789 0.017497720196843147 0.017241768538951874 -0.02627827413380146 -0.0065195998176932335 -0.019173970445990562 -0.024563251063227654 -0.002936229109764099 0.04832613095641136 0.0015408818144351244 0.01736258529126644 0.027623824775218964 -0.0057477024383842945 -0.016978304833173752 -0.0342380590736866 0.0006918603903613985 0.020132314413785934 0.037833791226148605 0.024572420865297318 0.010684260167181492 0.015471281483769417 0.0011900268727913499 0.03541238605976105 -0.004429314285516739 -0.013667485676705837 0.007583696860820055 0.002104880753904581 -0.021210869774222374 -0.007470793556421995 0.03235355019569397 -0.0023783924989402294 -7.947183621581644e-05 0.03229442983865738 0.007670569233596325 -0.0069550103507936 -0.0016070937272161245 0.021415816619992256 0.024801313877105713 -0.022587712854146957 0.09869436919689178 0.0003412961959838867 0.007304885890334845 0.041327644139528275 0.012122992426156998 -0.012484446167945862 -0.014056065119802952 -3.0086321203270927e-05 -0.0013946873368695378 0.005438612774014473 0.007405014708638191 -0.003422020934522152 0.029058946296572685 -0.010510911233723164 0.010499686002731323 0.0059264530427753925 -0.020103387534618378 -0.0035297079011797905 -0.03153353929519653 -0.018444159999489784 -0.027281565591692924 0.007112482562661171 -0.011162088252604008 0.01835639216005802 -0.0016772742383182049 0.01725529320538044 -0.003080900991335511 -0.03225928917527199 0.0010216240771114826 0.0065979850478470325 -0.0033651371486485004 -0.01759796030819416 -0.0005186763592064381 -0.01705542765557766 0.011730869300663471 0.001330702449195087 -0.011644714511930943 0.008567043580114841 -0.0037911117542535067 0.015101756900548935 0.0020899688825011253 0.004288967233151197 0.013752931728959084 -0.007653800770640373 -0.014575554057955742 -0.0013925406383350492 0.050269752740859985 -0.005923942197114229 -0.020002510398626328 0.006459743715822697 -0.012554850429296494 -0.009021935053169727 0.026000306010246277 0.013890198431909084 -0.020358992740511894 -0.019966917112469673 -0.0025636448990553617
Moderaterna,-0.06950580328702927 0.003859116230159998 0.06552606076002121 -0.03114418499171734 -0.06733386218547821 0.0019173913169652224 0.03734157234430313 -0.04236617311835289 -0.0029786035884171724 -0.02479909360408783 -0.033398453146219254 -0.009853280149400234 0.07724415510892868 -0.005487083923071623 0.021736731752753258 0.06403296440839767 -0.01583714783191681 -0.037144485861063004 -0.08000103384256363 -0.016341842710971832 0.0388113334774971 0.045434124767780304 0.06106254458427429 0.03596048429608345 0.024426087737083435 0.007141002453863621 0.06049732491374016 -0.008385714143514633 0.0017560903215780854 0.010548393242061138 0.015299111604690552 -0.03431243076920509 -0.023906107991933823 0.031032228842377663 -0.0252691600471735 0.029643982648849487 0.05891871079802513 0.018790213391184807 -0.005050505045801401 0.018383532762527466 0.03556105121970177 0.011317414231598377 -0.03500399738550186 0.15278314054012299 0.00897452887147665 0.012337982654571533 0.053254690021276474 0.023424789309501648 -0.012393655255436897 -0.02103760652244091 -0.002847708063200116 -0.005252388305962086 -0.007549892645329237 0.0023691735696047544 0.0031553362496197224 0.05673796683549881 -0.008715933188796043 0.003253091825172305 -0.019312238320708275 -0.0336952768266201 0.017483141273260117 -0.04027432203292847 -0.04549173638224602 -0.02065366692841053 0.010653695091605186 -0.034093018621206284 0.041294511407613754 -0.0026818544138222933 0.020300716161727905 -0.004997029900550842 -0.05255849286913872 0.02565261535346508 0.025393983349204063 -0.0013002426130697131 -0.02381070889532566 -0.0073500946164131165 -0.007523831911385059 0.01969088427722454 -0.005653686821460724 -0.022491801530122757 0.021894164383411407 0.01166135910898447 -0.006344038527458906 0.003187559312209487 0.009132920764386654 0.016770577058196068 -0.01230732910335064 -0.019093802198767662 0.004252632614225149 0.0502760224044323 -0.03136824816465378 -0.025227848440408707 -0.0028435455169528723 -0.010368931107223034 0.00497013283893466 0.017433924600481987 0.007675765547901392 -0.046748556196689606 -0.05440634489059448 -0.023610128089785576
